START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,season,competition,event,gender,round,race
3,12.50,,2,12.26,12.26,5,12.99,12.99,1,11.89,11.89,4,12.78,12.78,2015-2016,ISU World Cup 2015/16 - Dordrecht (NED),1500m,m,Rep.Semifinals,3
3,13.14,,2,13.22,25.48,5,13.27,26.26,1,13.38,25.27,4,13.11,25.89,2015-2016,ISU World Cup 2015/16 - Dordrecht (NED),1500m,m,Rep.Semifinals,3
3,11.80,,2,11.72,37.20,5,11.46,37.72,1,11.78,37.05,4,11.68,37.57,2015-2016,ISU World Cup 2015/16 - Dordrecht (NED),1500m,m,Rep.Semifinals,3
3,11.33,,2,11.46,48.66,5,11.32,49.04,1,11.46,48.51,4,11.31,48.88,2015-2016,ISU World Cup 2015/16 - Dordrecht (NED),1500m,m,Rep.Semifinals,3
3,11.35,,2,11.35,1:00.01,5,11.39,1:00.43,1,11.36,59.87,4,11.39,1:00.27,2015-2016,ISU World Cup 2015/16 - Dordrecht (NED),1500m,m,Rep.Semifinals,3
5,10.64,,2,10.56,1:10.57,4,10.25,1:10.68,1,10.66,1:10.53,3,10.39,1:10.66,2015-2016,ISU World Cup 2015/16 - Dordrecht (NED),1500m,m,Rep.Semifinals,3
3,9.54,,4,9.74,1:20.31,5,9.80,1:20.48,1,9.45,1:19.98,2,9.45,1:20.11,2015-2016,ISU World Cup 2015/16 - Dordrecht (NED),1500m,m,Rep.Semifinals,3
4,9.47,,5,9.58,1:29.89,3,9.23,1:29.71,1,9.44,1:29.42,2,9.41,1:29.52,2015-2016,ISU World Cup 2015/16 - Dordrecht (NED),1500m,m,Rep.Semifinals,3
4,9.21,,5,9.31,1:39.20,2,9.18,1:38.89,3,9.48,1:38.90,1,9.21,1:38.73,2015-2016,ISU World Cup 2015/16 - Dordrecht (NED),1500m,m,Rep.Semifinals,3
3,9.19,,5,9.21,1:48.41,2,9.21,1:48.10,4,9.44,1:48.34,1,9.20,1:47.93,2015-2016,ISU World Cup 2015/16 - Dordrecht (NED),1500m,m,Rep.Semifinals,3
3,9.14,,5,9.35,1:57.76,2,9.14,1:57.24,4,9.22,1:57.56,1,9.17,1:57.10,2015-2016,ISU World Cup 2015/16 - Dordrecht (NED),1500m,m,Rep.Semifinals,3
3,9.35,,5,9.38,2:07.14,2,9.34,2:06.58,4,9.34,2:06.90,1,9.33,2:06.43,2015-2016,ISU World Cup 2015/16 - Dordrecht (NED),1500m,m,Rep.Semifinals,3
3,9.60,,5,9.61,2:16.75,1,9.21,2:15.79,4,9.49,2:16.39,2,9.63,2:16.06,2015-2016,ISU World Cup 2015/16 - Dordrecht (NED),1500m,m,Rep.Semifinals,3
4,10.15,,4,10.55,2:27.269,1,9.40,2:25.19,3,9.96,2:26.334,2,10.19,2:26.224,2015-2016,ISU World Cup 2015/16 - Dordrecht (NED),1500m,m,Rep.Semifinals,3
