START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
4,11.44,,5,11.58,11.58,1,11.02,11.02,6,11.87,11.87,2,11.09,11.09,3,11.25,11.25,2015-2016,ISU World Cup 2015/16 - Dordrecht (NED),1500m,m,Semifinals,2
4,15.44,,5,15.39,26.97,1,15.28,26.30,6,15.31,27.18,2,15.42,26.51,3,15.43,26.68,2015-2016,ISU World Cup 2015/16 - Dordrecht (NED),1500m,m,Semifinals,2
4,13.55,,5,13.56,40.53,2,13.80,40.10,6,13.48,40.66,1,13.45,39.96,3,13.58,40.26,2015-2016,ISU World Cup 2015/16 - Dordrecht (NED),1500m,m,Semifinals,2
5,12.12,,4,11.87,52.40,3,12.00,52.10,6,12.03,52.69,1,12.06,52.02,2,11.79,52.05,2015-2016,ISU World Cup 2015/16 - Dordrecht (NED),1500m,m,Semifinals,2
4,10.24,,5,10.43,1:02.83,3,10.58,1:02.68,6,10.31,1:03.00,1,10.56,1:02.58,2,10.57,1:02.62,2015-2016,ISU World Cup 2015/16 - Dordrecht (NED),1500m,m,Semifinals,2
2,9.65,,5,9.87,1:12.70,6,10.04,1:12.72,4,9.68,1:12.68,1,9.74,1:12.32,3,9.99,1:12.61,2015-2016,ISU World Cup 2015/16 - Dordrecht (NED),1500m,m,Semifinals,2
2,9.60,,4,9.60,1:22.30,5,9.60,1:22.32,3,9.47,1:22.15,1,9.69,1:22.01,6,9.93,1:22.54,2015-2016,ISU World Cup 2015/16 - Dordrecht (NED),1500m,m,Semifinals,2
1,9.42,,5,9.49,1:31.79,2,9.16,1:31.48,4,9.53,1:31.68,2,9.47,1:31.48,6,9.37,1:31.91,2015-2016,ISU World Cup 2015/16 - Dordrecht (NED),1500m,m,Semifinals,2
2,9.15,,5,9.10,1:40.89,1,8.98,1:40.46,4,9.10,1:40.78,2,9.13,1:40.61,6,9.12,1:41.03,2015-2016,ISU World Cup 2015/16 - Dordrecht (NED),1500m,m,Semifinals,2
2,9.08,,5,9.05,1:49.94,3,9.28,1:49.74,4,9.06,1:49.84,1,8.93,1:49.54,6,9.04,1:50.07,2015-2016,ISU World Cup 2015/16 - Dordrecht (NED),1500m,m,Semifinals,2
1,9.05,,4,9.09,1:59.03,3,9.16,1:58.90,5,9.30,1:59.14,1,9.20,1:58.74,6,9.22,1:59.29,2015-2016,ISU World Cup 2015/16 - Dordrecht (NED),1500m,m,Semifinals,2
1,9.08,,3,9.17,2:08.20,2,9.15,2:08.05,5,9.18,2:08.32,4,9.57,2:08.31,6,9.28,2:08.57,2015-2016,ISU World Cup 2015/16 - Dordrecht (NED),1500m,m,Semifinals,2
1,9.12,,2,8.97,2:17.17,3,9.23,2:17.28,4,9.07,2:17.39,5,9.26,2:17.57,6,9.36,2:17.93,2015-2016,ISU World Cup 2015/16 - Dordrecht (NED),1500m,m,Semifinals,2
1,9.19,,1,9.02,2:26.173,2,9.36,2:26.621,3,9.35,2:26.707,4,9.43,2:26.973,5,10.07,2:27.971,2015-2016,ISU World Cup 2015/16 - Dordrecht (NED),1500m,m,Semifinals,2
