START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,season,competition,event,gender,round,race
2,10.72,10.72,5,11.30,11.30,3,10.95,10.95,4,11.10,,1,10.56,10.56,2015-2016,ISU World Short Track Speed Skating Championships® 2016,1500m,m,Heats,6
2,15.69,26.41,5,15.67,26.97,3,15.70,26.65,4,15.70,,1,15.67,26.23,2015-2016,ISU World Short Track Speed Skating Championships® 2016,1500m,m,Heats,6
2,14.28,40.69,5,14.15,41.12,3,14.23,40.88,4,14.19,,1,14.32,40.55,2015-2016,ISU World Short Track Speed Skating Championships® 2016,1500m,m,Heats,6
1,14.00,54.69,4,13.73,54.85,2,13.85,54.73,5,14.03,,3,14.20,54.75,2015-2016,ISU World Short Track Speed Skating Championships® 2016,1500m,m,Heats,6
2,11.10,1:05.79,1,10.88,1:05.73,4,11.32,1:06.05,5,11.09,,3,11.13,1:05.88,2015-2016,ISU World Short Track Speed Skating Championships® 2016,1500m,m,Heats,6
3,10.60,1:16.39,2,10.51,1:16.24,5,10.58,1:16.63,1,10.03,,4,10.64,1:16.52,2015-2016,ISU World Short Track Speed Skating Championships® 2016,1500m,m,Heats,6
3,9.94,1:26.33,2,9.99,1:26.23,5,9.88,1:26.51,1,10.00,,4,9.90,1:26.42,2015-2016,ISU World Short Track Speed Skating Championships® 2016,1500m,m,Heats,6
4,10.01,1:36.34,3,9.89,1:36.12,5,9.91,1:36.42,2,9.90,,1,9.59,1:36.01,2015-2016,ISU World Short Track Speed Skating Championships® 2016,1500m,m,Heats,6
4,9.44,1:45.78,3,9.62,1:45.74,5,9.53,1:45.95,2,9.61,,1,9.53,1:45.54,2015-2016,ISU World Short Track Speed Skating Championships® 2016,1500m,m,Heats,6
2,9.33,1:55.11,5,9.63,1:55.37,3,9.18,1:55.13,4,9.58,,1,9.50,1:55.04,2015-2016,ISU World Short Track Speed Skating Championships® 2016,1500m,m,Heats,6
3,9.22,2:04.33,5,9.22,2:04.59,1,8.89,2:04.02,4,9.21,,2,9.23,2:04.27,2015-2016,ISU World Short Track Speed Skating Championships® 2016,1500m,m,Heats,6
2,9.13,2:13.46,5,9.25,2:13.84,1,9.19,2:13.21,3,9.28,,3,9.45,2:13.72,2015-2016,ISU World Short Track Speed Skating Championships® 2016,1500m,m,Heats,6
2,9.17,2:22.63,4,9.26,2:23.10,1,9.30,2:22.51,3,9.06,,5,9.80,2:23.52,2015-2016,ISU World Short Track Speed Skating Championships® 2016,1500m,m,Heats,6
3,10.77,2:33.40,1,9.22,2:32.32,5,37.47,2:59.98,2,9.71,,4,10.26,2:33.78,2015-2016,ISU World Short Track Speed Skating Championships® 2016,1500m,m,Heats,6
