START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
4,8.79,8.79,2,8.41,,5,9.01,9.01,1,8.17,8.17,6,9.09,9.09,3,8.66,8.66,2016-2017,ISU World Cup 2016/17 - Shanghai (CHN),1500m,m,Heats,1
6,11.75,20.54,4,12.04,,4,11.44,20.45,2,12.20,20.37,1,11.21,20.30,3,11.76,20.42,2016-2017,ISU World Cup 2016/17 - Shanghai (CHN),1500m,m,Heats,1
5,10.95,31.49,3,10.91,,4,10.96,31.41,6,11.15,31.52,1,10.99,31.29,2,10.92,31.34,2016-2017,ISU World Cup 2016/17 - Shanghai (CHN),1500m,m,Heats,1
5,11.12,42.61,3,10.99,,4,11.12,42.53,6,11.22,42.74,2,10.98,42.27,1,10.79,42.13,2016-2017,ISU World Cup 2016/17 - Shanghai (CHN),1500m,m,Heats,1
4,10.64,53.25,3,10.79,,5,10.84,53.37,6,10.79,53.53,2,10.80,53.07,1,10.81,52.94,2016-2017,ISU World Cup 2016/17 - Shanghai (CHN),1500m,m,Heats,1
4,10.61,1:03.86,3,10.60,,5,10.61,1:03.98,6,10.60,1:04.13,2,10.56,1:03.63,1,10.55,1:03.49,2016-2017,ISU World Cup 2016/17 - Shanghai (CHN),1500m,m,Heats,1
4,10.23,1:14.09,3,10.32,,5,10.35,1:14.33,6,10.37,1:14.50,2,10.35,1:13.98,1,10.39,1:13.88,2016-2017,ISU World Cup 2016/17 - Shanghai (CHN),1500m,m,Heats,1
1,9.45,1:23.54,3,9.79,,5,9.60,1:23.93,6,9.57,1:24.07,4,9.91,1:23.89,2,9.81,1:23.69,2016-2017,ISU World Cup 2016/17 - Shanghai (CHN),1500m,m,Heats,1
2,9.71,1:33.25,3,9.52,,4,9.55,1:33.48,6,9.57,1:33.64,5,9.63,1:33.52,1,9.51,1:33.20,2016-2017,ISU World Cup 2016/17 - Shanghai (CHN),1500m,m,Heats,1
2,9.42,1:42.67,3,9.37,,5,9.42,1:42.90,6,9.42,1:43.06,4,9.26,1:42.78,1,9.39,1:42.59,2016-2017,ISU World Cup 2016/17 - Shanghai (CHN),1500m,m,Heats,1
1,9.15,1:51.82,3,9.22,,5,9.29,1:52.19,6,9.29,1:52.35,4,9.32,1:52.10,1,9.23,1:51.82,2016-2017,ISU World Cup 2016/17 - Shanghai (CHN),1500m,m,Heats,1
1,9.07,2:00.89,4,9.20,,5,9.18,2:01.37,6,9.16,2:01.51,3,8.99,2:01.09,2,9.17,2:00.99,2016-2017,ISU World Cup 2016/17 - Shanghai (CHN),1500m,m,Heats,1
2,9.12,2:10.01,4,9.05,,5,9.34,2:10.71,6,9.22,2:10.73,3,9.11,2:10.20,1,9.01,2:10.00,2016-2017,ISU World Cup 2016/17 - Shanghai (CHN),1500m,m,Heats,1
3,9.65,2:19.639,2,9.29,,5,10.65,2:21.337,4,9.88,2:20.597,2,9.40,2:19.578,1,9.23,2:19.224,2016-2017,ISU World Cup 2016/17 - Shanghai (CHN),1500m,m,Heats,1
