START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
5,10.210,1:04.580,3,10.450,1:04.440,1,9.200,1:04.230,6,10.180,1:04.910,4,10.360,1:04.560,2,10.050,1:04.370,2007-2008,"Samsung ISU World Cup 2007/2008, Italy, Torino",1500m(1),w,Heats,1
4,10.630,1:15.210,5,10.780,1:15.220,3,10.910,1:15.140,6,10.430,1:15.340,2,10.450,1:15.010,1,10.550,1:14.920,2007-2008,"Samsung ISU World Cup 2007/2008, Italy, Torino",1500m(1),w,Heats,1
4,10.410,1:25.630,3,10.280,1:25.500,2,10.220,1:25.360,6,10.550,1:25.900,5,10.710,1:25.730,1,10.330,1:25.260,2007-2008,"Samsung ISU World Cup 2007/2008, Italy, Torino",1500m(1),w,Heats,1
3,10.360,1:35.990,5,10.740,1:36.250,2,10.590,1:35.960,6,10.430,1:36.340,4,10.460,1:36.190,1,10.600,1:35.860,2007-2008,"Samsung ISU World Cup 2007/2008, Italy, Torino",1500m(1),w,Heats,1
3,10.560,1:46.560,5,10.690,1:46.940,2,10.220,1:46.180,4,10.260,1:46.600,6,10.750,1:46.950,1,10.170,1:46.030,2007-2008,"Samsung ISU World Cup 2007/2008, Italy, Torino",1500m(1),w,Heats,1
3,10.300,1:56.860,6,11.490,1:58.440,2,10.550,1:56.730,4,10.470,1:57.070,5,10.810,1:57.760,1,10.680,1:56.720,2007-2008,"Samsung ISU World Cup 2007/2008, Italy, Torino",1500m(1),w,Heats,1
4,10.480,2:07.340,6,10.970,2:09.410,2,10.260,2:06.990,3,10.110,2:07.190,5,11.390,2:09.160,1,10.180,2:06.900,2007-2008,"Samsung ISU World Cup 2007/2008, Italy, Torino",1500m(1),w,Heats,1
2,10.200,2:17.550,5,11.030,2:20.450,4,10.890,2:17.890,3,10.400,2:17.590,6,11.410,2:20.570,1,10.520,2:17.420,2007-2008,"Samsung ISU World Cup 2007/2008, Italy, Torino",1500m(1),w,Heats,1
2,10.600,2:28.150,5,11.340,2:31.790,3,10.390,2:28.280,1,10.470,2:28.060,6,11.800,2:32.380,4,11.620,2:29.050,2007-2008,"Samsung ISU World Cup 2007/2008, Italy, Torino",1500m(1),w,Heats,1
0,,,0,,,0,,,0,,,0,,,0,,,2007-2008,"Samsung ISU World Cup 2007/2008, Italy, Torino",1500m(1),w,Heats,1
0,,,0,,,0,,,0,,,0,,,0,,,2007-2008,"Samsung ISU World Cup 2007/2008, Italy, Torino",1500m(1),w,Heats,1
0,,,0,,,0,,,0,,,0,,,0,,,2007-2008,"Samsung ISU World Cup 2007/2008, Italy, Torino",1500m(1),w,Heats,1
0,,,0,,,0,,,0,,,0,,,0,,,2007-2008,"Samsung ISU World Cup 2007/2008, Italy, Torino",1500m(1),w,Heats,1
0,,,0,,,0,,,0,,,0,,,0,,,2007-2008,"Samsung ISU World Cup 2007/2008, Italy, Torino",1500m(1),w,Heats,1
