START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
3,10.82,10.82,2,10.56,10.56,6,11.53,11.53,4,11.05,11.05,5,11.26,11.26,1,10.34,10.34,2012-2013,"2013 ISU World Junior Championships, Warsaw (POL)",1500M,w,Heats,2
3,14.06,24.88,2,14.18,24.74,6,13.93,25.46,4,13.99,25.04,5,14.02,25.28,1,14.30,24.64,2012-2013,"2013 ISU World Junior Championships, Warsaw (POL)",1500M,w,Heats,2
3,13.72,38.60,2,13.74,38.48,6,13.61,39.07,4,13.65,38.69,5,13.63,38.91,1,13.75,38.39,2012-2013,"2013 ISU World Junior Championships, Warsaw (POL)",1500M,w,Heats,2
3,13.97,52.57,2,13.98,52.46,6,14.00,53.07,4,14.01,52.70,5,14.01,52.92,1,13.94,52.33,2012-2013,"2013 ISU World Junior Championships, Warsaw (POL)",1500M,w,Heats,2
4,13.97,1:06.54,2,13.95,1:06.41,6,13.99,1:07.06,3,13.80,1:06.50,5,13.94,1:06.86,1,13.99,1:06.32,2012-2013,"2013 ISU World Junior Championships, Warsaw (POL)",1500M,w,Heats,2
1,11.75,1:18.29,2,11.93,1:18.34,6,12.54,1:19.60,3,11.96,1:18.46,5,11.83,1:18.69,4,12.21,1:18.53,2012-2013,"2013 ISU World Junior Championships, Warsaw (POL)",1500M,w,Heats,2
1,11.92,1:30.21,2,11.94,1:30.28,6,12.50,1:32.10,3,11.94,1:30.40,5,11.95,1:30.64,4,11.96,1:30.49,2012-2013,"2013 ISU World Junior Championships, Warsaw (POL)",1500M,w,Heats,2
1,12.30,1:42.51,2,12.27,1:42.55,6,12.95,1:45.05,3,12.19,1:42.59,5,12.31,1:42.95,4,12.30,1:42.79,2012-2013,"2013 ISU World Junior Championships, Warsaw (POL)",1500M,w,Heats,2
2,11.75,1:54.26,1,11.68,1:54.23,6,13.69,1:58.74,3,11.77,1:54.36,5,11.73,1:54.68,4,11.75,1:54.54,2012-2013,"2013 ISU World Junior Championships, Warsaw (POL)",1500M,w,Heats,2
4,10.71,2:04.97,1,9.94,2:04.17,6,14.33,2:13.07,2,10.42,2:04.78,3,10.10,2:04.78,5,10.68,2:05.22,2012-2013,"2013 ISU World Junior Championships, Warsaw (POL)",1500M,w,Heats,2
4,10.17,2:15.14,1,9.82,2:13.99,6,16.22,2:29.29,3,10.13,2:14.91,2,9.52,2:14.30,5,10.84,2:16.06,2012-2013,"2013 ISU World Junior Championships, Warsaw (POL)",1500M,w,Heats,2
4,10.27,2:25.41,2,10.04,2:24.03,6,16.78,2:46.07,3,10.44,2:25.35,1,9.68,2:23.98,5,11.34,2:27.40,2012-2013,"2013 ISU World Junior Championships, Warsaw (POL)",1500M,w,Heats,2
4,11.08,2:36.49,2,10.09,2:34.12,6,16.15,3:02.22,3,10.93,2:36.28,1,9.65,2:33.63,5,11.88,2:39.28,2012-2013,"2013 ISU World Junior Championships, Warsaw (POL)",1500M,w,Heats,2
4,11.28,2:47.769,2,10.61,2:44.724,6,15.58,3:17.794,3,11.36,2:47.636,1,9.98,2:43.604,5,12.36,2:51.639,2012-2013,"2013 ISU World Junior Championships, Warsaw (POL)",1500M,w,Heats,2
