START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
1,9.040,9.040,4,9.350,9.350,6,10.010,10.010,5,9.410,9.410,2,9.300,9.300,3,9.310,9.310,2007-2008,"Samsung ISU World Cup 2007/2008, Italy, Torino",1500m(1),w,Semifinals,3
1,13.520,22.570,4,13.370,22.730,6,13.090,23.100,3,13.250,22.670,5,13.480,22.780,2,13.340,22.650,2007-2008,"Samsung ISU World Cup 2007/2008, Italy, Torino",1500m(1),w,Semifinals,3
2,13.820,36.390,4,13.970,36.700,6,14.190,37.290,3,13.870,36.550,1,13.470,36.260,5,14.060,36.710,2007-2008,"Samsung ISU World Cup 2007/2008, Italy, Torino",1500m(1),w,Semifinals,3
1,13.370,49.770,3,13.530,50.240,6,13.590,50.890,2,13.540,50.090,5,14.330,50.590,4,13.560,50.280,2007-2008,"Samsung ISU World Cup 2007/2008, Italy, Torino",1500m(1),w,Semifinals,3
1,13.140,1:02.910,6,14.350,1:04.600,5,13.030,1:03.920,2,13.150,1:03.250,4,13.090,1:03.690,3,13.060,1:03.350,2007-2008,"Samsung ISU World Cup 2007/2008, Italy, Torino",1500m(1),w,Semifinals,3
2,12.770,1:15.680,4,11.340,1:15.940,6,12.460,1:16.390,3,12.570,1:15.820,1,11.960,1:15.660,5,12.630,1:15.990,2007-2008,"Samsung ISU World Cup 2007/2008, Italy, Torino",1500m(1),w,Semifinals,3
2,11.350,1:27.040,1,11.060,1:27.010,6,11.660,1:28.050,4,11.690,1:27.510,3,11.760,1:27.420,5,11.650,1:27.650,2007-2008,"Samsung ISU World Cup 2007/2008, Italy, Torino",1500m(1),w,Semifinals,3
1,10.310,1:37.360,2,10.600,1:37.610,6,10.110,1:38.170,2,10.090,1:37.610,4,10.220,1:37.640,5,10.070,1:37.720,2007-2008,"Samsung ISU World Cup 2007/2008, Italy, Torino",1500m(1),w,Semifinals,3
1,10.360,1:47.730,2,10.250,1:47.870,6,10.520,1:48.690,5,10.580,1:48.200,3,10.270,1:47.910,4,10.250,1:47.970,2007-2008,"Samsung ISU World Cup 2007/2008, Italy, Torino",1500m(1),w,Semifinals,3
3,10.150,1:57.880,1,9.980,1:57.860,6,9.810,1:58.500,5,9.950,1:58.160,1,9.940,1:57.860,4,10.000,1:57.980,2007-2008,"Samsung ISU World Cup 2007/2008, Italy, Torino",1500m(1),w,Semifinals,3
2,9.830,2:07.710,3,9.910,2:07.770,6,9.660,2:08.160,4,9.690,2:07.850,5,10.270,2:08.130,1,9.640,2:07.620,2007-2008,"Samsung ISU World Cup 2007/2008, Italy, Torino",1500m(1),w,Semifinals,3
3,9.540,2:17.260,2,9.270,2:17.040,6,9.530,2:17.700,5,9.750,2:17.610,4,9.130,2:17.260,1,9.350,2:16.970,2007-2008,"Samsung ISU World Cup 2007/2008, Italy, Torino",1500m(1),w,Semifinals,3
4,9.760,2:27.020,2,9.620,2:26.660,6,9.610,2:27.310,5,9.650,2:27.260,3,9.570,2:26.830,1,9.120,2:26.100,2007-2008,"Samsung ISU World Cup 2007/2008, Italy, Torino",1500m(1),w,Semifinals,3
5,10.390,2:37.410,2,10.080,2:36.750,4,10.040,2:37.350,6,10.500,2:37.770,3,10.060,2:36.900,1,9.620,2:35.720,2007-2008,"Samsung ISU World Cup 2007/2008, Italy, Torino",1500m(1),w,Semifinals,3
