START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,START_POS_7 POSITION,START_POS_7 LAP TIME,START_POS_7 ELAPSED TIME,season,competition,event,gender,round,race
2,8.55,8.55,1,8.43,8.43,3,8.67,8.67,5,8.84,8.84,6,8.88,8.88,4,8.76,8.76,7,9.18,,2016-2017,ISU World Cup 2016/17 - Gangneung (KOR),1500m,m,Rep.Semifinals,2
2,12.11,20.66,1,12.10,20.53,3,12.17,20.84,5,12.22,21.06,6,12.30,21.18,4,12.18,20.94,7,12.20,,2016-2017,ISU World Cup 2016/17 - Gangneung (KOR),1500m,m,Rep.Semifinals,2
2,10.82,31.48,1,10.85,31.38,3,10.74,31.58,5,10.70,31.76,6,10.71,31.89,4,10.66,31.60,7,10.67,,2016-2017,ISU World Cup 2016/17 - Gangneung (KOR),1500m,m,Rep.Semifinals,2
1,10.33,41.81,2,10.52,41.90,3,10.43,42.01,5,10.39,42.15,6,10.39,42.28,4,10.46,42.06,7,10.42,,2016-2017,ISU World Cup 2016/17 - Gangneung (KOR),1500m,m,Rep.Semifinals,2
1,10.48,52.29,7,10.81,52.71,2,10.41,52.42,6,10.39,52.54,2,10.14,52.42,5,10.45,52.51,4,9.97,,2016-2017,ISU World Cup 2016/17 - Gangneung (KOR),1500m,m,Rep.Semifinals,2
3,9.88,1:02.17,7,10.11,1:02.82,4,9.84,1:02.26,6,9.89,1:02.43,5,9.92,1:02.34,2,9.61,1:02.12,1,9.58,,2016-2017,ISU World Cup 2016/17 - Gangneung (KOR),1500m,m,Rep.Semifinals,2
3,10.04,1:12.21,7,9.81,1:12.63,4,10.06,1:12.32,5,9.97,1:12.40,6,10.15,1:12.49,2,10.03,1:12.15,1,10.04,,2016-2017,ISU World Cup 2016/17 - Gangneung (KOR),1500m,m,Rep.Semifinals,2
1,9.63,1:21.84,7,9.85,1:22.48,3,9.71,1:22.03,5,9.87,1:22.27,6,9.86,1:22.35,4,9.93,1:22.08,2,9.95,,2016-2017,ISU World Cup 2016/17 - Gangneung (KOR),1500m,m,Rep.Semifinals,2
1,9.66,1:31.50,5,9.44,1:31.92,2,9.60,1:31.63,4,9.53,1:31.80,3,9.36,1:31.71,7,24.14,1:46.22,6,23.47,,2016-2017,ISU World Cup 2016/17 - Gangneung (KOR),1500m,m,Rep.Semifinals,2
1,9.44,1:40.94,5,9.47,1:41.39,2,9.43,1:41.06,4,9.45,1:41.25,3,9.44,1:41.15,7,10.71,1:56.93,6,11.07,,2016-2017,ISU World Cup 2016/17 - Gangneung (KOR),1500m,m,Rep.Semifinals,2
1,9.21,1:50.15,5,9.27,1:50.66,2,9.18,1:50.24,4,9.23,1:50.48,3,9.22,1:50.37,6,10.08,2:07.01,7,10.51,,2016-2017,ISU World Cup 2016/17 - Gangneung (KOR),1500m,m,Rep.Semifinals,2
1,9.03,1:59.18,5,9.26,1:59.92,2,9.06,1:59.30,4,9.05,1:59.53,3,9.05,1:59.42,6,11.10,2:18.11,7,11.12,,2016-2017,ISU World Cup 2016/17 - Gangneung (KOR),1500m,m,Rep.Semifinals,2
1,8.83,2:08.01,5,9.59,2:09.51,2,8.91,2:08.21,4,9.03,2:08.56,3,8.85,2:08.27,6,9.82,2:27.93,7,10.31,,2016-2017,ISU World Cup 2016/17 - Gangneung (KOR),1500m,m,Rep.Semifinals,2
1,8.84,2:16.85,5,9.98,2:19.457,2,9.13,2:17.321,4,9.35,2:17.894,3,9.15,2:17.400,6,12.42,2:40.316,6,10.81,,2016-2017,ISU World Cup 2016/17 - Gangneung (KOR),1500m,m,Rep.Semifinals,2
