START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
4,9.85,9.85,1,9.47,9.47,5,10.04,10.04,2,9.70,9.70,6,10.23,10.23,3,9.81,9.81,2011-2012,"2012 ISU European Championships, CZE, Mlada Boleslav",1500m,m,Heats,3
4,12.65,22.50,1,12.54,22.01,6,12.62,22.66,2,12.50,22.20,5,12.38,22.61,3,12.55,22.36,2011-2012,"2012 ISU European Championships, CZE, Mlada Boleslav",1500m,m,Heats,3
5,11.91,34.41,1,11.83,33.84,6,11.88,34.54,2,11.80,34.00,4,11.63,34.24,3,11.76,34.12,2011-2012,"2012 ISU European Championships, CZE, Mlada Boleslav",1500m,m,Heats,3
5,11.66,46.07,1,11.65,45.49,6,11.64,46.18,2,11.65,45.65,4,11.67,45.91,3,11.67,45.79,2011-2012,"2012 ISU European Championships, CZE, Mlada Boleslav",1500m,m,Heats,3
5,11.42,57.49,1,11.47,56.96,6,11.44,57.62,2,11.47,57.12,4,11.44,57.35,3,11.45,57.24,2011-2012,"2012 ISU European Championships, CZE, Mlada Boleslav",1500m,m,Heats,3
5,11.19,1:08.68,1,11.23,1:08.19,6,11.19,1:08.81,2,11.19,1:08.31,4,11.19,1:08.54,3,11.20,1:08.44,2011-2012,"2012 ISU European Championships, CZE, Mlada Boleslav",1500m,m,Heats,3
5,10.91,1:19.59,2,11.00,1:19.19,6,10.94,1:19.75,1,10.86,1:19.17,4,10.90,1:19.44,3,10.85,1:19.29,2011-2012,"2012 ISU European Championships, CZE, Mlada Boleslav",1500m,m,Heats,3
4,9.75,1:29.34,5,10.37,1:29.56,6,10.17,1:29.92,1,9.88,1:29.05,3,9.78,1:29.22,2,9.85,1:29.14,2011-2012,"2012 ISU European Championships, CZE, Mlada Boleslav",1500m,m,Heats,3
4,9.97,1:39.31,5,9.94,1:39.50,6,10.02,1:39.94,1,10.02,1:39.07,3,10.02,1:39.24,2,10.02,1:39.16,2011-2012,"2012 ISU European Championships, CZE, Mlada Boleslav",1500m,m,Heats,3
4,10.15,1:49.46,5,10.19,1:49.69,6,10.20,1:50.14,1,10.05,1:49.12,3,10.09,1:49.33,2,10.06,1:49.22,2011-2012,"2012 ISU European Championships, CZE, Mlada Boleslav",1500m,m,Heats,3
4,9.78,1:59.24,5,10.06,1:59.75,6,10.42,2:00.56,1,9.87,1:58.99,3,9.74,1:59.07,2,9.83,1:59.05,2011-2012,"2012 ISU European Championships, CZE, Mlada Boleslav",1500m,m,Heats,3
4,9.49,2:08.73,5,10.38,2:10.13,6,10.67,2:11.23,1,9.33,2:08.32,3,9.49,2:08.56,2,9.38,2:08.43,2011-2012,"2012 ISU European Championships, CZE, Mlada Boleslav",1500m,m,Heats,3
4,9.70,2:18.43,5,10.71,2:20.84,6,11.06,2:22.29,1,9.28,2:17.60,3,9.43,2:17.99,2,9.26,2:17.69,2011-2012,"2012 ISU European Championships, CZE, Mlada Boleslav",1500m,m,Heats,3
4,10.22,2:28.644,5,11.16,2:31.992,6,11.58,2:33.870,1,9.29,2:26.886,3,9.74,2:27.729,2,9.30,2:26.986,2011-2012,"2012 ISU European Championships, CZE, Mlada Boleslav",1500m,m,Heats,3
