START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
1,7.40,7.40,3,7.65,7.65,2,7.53,7.53,4,7.77,7.77,6,7.96,7.96,5,7.87,7.87,2010-2011,"ISU World Cup 2010/2011, CAN, Montreal",1500m(1),m,Heats,3
1,11.25,18.65,3,11.19,18.84,2,11.21,18.74,4,11.15,18.92,6,11.17,19.13,5,11.16,19.03,2010-2011,"ISU World Cup 2010/2011, CAN, Montreal",1500m(1),m,Heats,3
2,10.96,29.61,4,10.98,29.82,3,10.98,29.72,1,10.59,29.51,6,10.90,30.03,5,10.91,29.94,2010-2011,"ISU World Cup 2010/2011, CAN, Montreal",1500m(1),m,Heats,3
3,10.23,39.84,4,10.11,39.93,1,9.83,39.55,2,10.23,39.74,6,10.13,40.16,5,10.12,40.06,2010-2011,"ISU World Cup 2010/2011, CAN, Montreal",1500m(1),m,Heats,3
3,10.23,50.07,4,10.27,50.20,1,10.33,49.88,2,10.23,49.97,6,10.28,50.44,5,10.26,50.32,2010-2011,"ISU World Cup 2010/2011, CAN, Montreal",1500m(1),m,Heats,3
3,10.51,1:00.58,4,10.48,1:00.68,1,10.51,1:00.39,2,10.52,1:00.49,6,10.42,1:00.86,5,10.46,1:00.78,2010-2011,"ISU World Cup 2010/2011, CAN, Montreal",1500m(1),m,Heats,3
3,10.51,1:11.09,4,10.42,1:11.10,1,10.47,1:10.86,2,10.45,1:10.94,6,10.57,1:11.43,5,10.49,1:11.27,2010-2011,"ISU World Cup 2010/2011, CAN, Montreal",1500m(1),m,Heats,3
4,9.67,1:20.76,3,9.46,1:20.56,1,9.57,1:20.43,2,9.58,1:20.52,6,9.57,1:21.00,5,9.66,1:20.93,2010-2011,"ISU World Cup 2010/2011, CAN, Montreal",1500m(1),m,Heats,3
4,9.49,1:30.25,3,9.59,1:30.15,1,9.47,1:29.90,2,9.48,1:30.00,5,9.36,1:30.36,6,9.71,1:30.64,2010-2011,"ISU World Cup 2010/2011, CAN, Montreal",1500m(1),m,Heats,3
4,9.59,1:39.84,3,9.59,1:39.74,1,9.65,1:39.55,2,9.64,1:39.64,5,9.58,1:39.94,6,9.72,1:40.36,2010-2011,"ISU World Cup 2010/2011, CAN, Montreal",1500m(1),m,Heats,3
4,9.68,1:49.52,2,9.56,1:49.30,1,9.70,1:49.25,3,9.69,1:49.33,5,9.67,1:49.61,6,9.87,1:50.23,2010-2011,"ISU World Cup 2010/2011, CAN, Montreal",1500m(1),m,Heats,3
4,9.63,1:59.15,2,9.63,1:58.93,1,9.60,1:58.85,3,9.70,1:59.03,5,9.71,1:59.32,6,10.19,2:00.42,2010-2011,"ISU World Cup 2010/2011, CAN, Montreal",1500m(1),m,Heats,3
4,9.81,2:08.96,1,9.64,2:08.57,3,9.96,2:08.81,2,9.71,2:08.74,5,9.73,2:09.05,6,10.61,2:11.03,2010-2011,"ISU World Cup 2010/2011, CAN, Montreal",1500m(1),m,Heats,3
4,10.10,2:19.055,1,9.96,2:18.526,3,10.06,2:18.863,2,9.83,2:18.570,5,10.39,2:19.439,6,10.77,2:21.793,2010-2011,"ISU World Cup 2010/2011, CAN, Montreal",1500m(1),m,Heats,3
