START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
1,8.065,8.065,4,8.459,8.459,6,8.776,8.776,5,8.757,8.757,2,8.120,8.120,3,8.348,8.348,2007-2008,"Samsung ISU World Cup 2007/2008, USA, Salt Lake City",1500m,m,RepSemifinals,1
2,12.664,20.729,1,12.219,20.677,5,12.512,21.288,6,12.622,21.379,4,12.820,20.939,3,12.548,20.896,2007-2008,"Samsung ISU World Cup 2007/2008, USA, Salt Lake City",1500m,m,RepSemifinals,1
2,11.134,31.863,1,11.046,31.723,5,10.902,32.190,6,10.936,32.314,3,10.952,31.891,4,11.057,31.954,2007-2008,"Samsung ISU World Cup 2007/2008, USA, Salt Lake City",1500m,m,RepSemifinals,1
1,10.375,42.238,2,10.632,42.355,5,10.428,42.617,6,10.450,42.764,3,10.529,42.420,4,10.662,42.615,2007-2008,"Samsung ISU World Cup 2007/2008, USA, Salt Lake City",1500m,m,RepSemifinals,1
3,9.617,51.855,2,9.395,51.750,5,9.559,52.176,6,9.544,52.308,4,9.588,52.008,1,9.063,51.678,2007-2008,"Samsung ISU World Cup 2007/2008, USA, Salt Lake City",1500m,m,RepSemifinals,1
2,9.537,1:01.391,6,25.091,1:16.840,4,9.395,1:01.571,5,9.517,1:01.824,3,9.530,1:01.538,1,9.431,1:01.109,2007-2008,"Samsung ISU World Cup 2007/2008, USA, Salt Lake City",1500m,m,RepSemifinals,1
2,9.842,1:11.234,6,12.752,1:29.593,4,9.914,1:11.485,5,9.704,1:11.528,3,9.859,1:11.397,1,10.108,1:11.217,2007-2008,"Samsung ISU World Cup 2007/2008, USA, Salt Lake City",1500m,m,RepSemifinals,1
2,9.876,1:21.109,6,11.991,1:41.584,4,9.968,1:21.454,5,10.011,1:21.540,3,9.739,1:21.137,1,9.866,1:21.083,2007-2008,"Samsung ISU World Cup 2007/2008, USA, Salt Lake City",1500m,m,RepSemifinals,1
2,9.365,1:30.474,6,11.270,1:52.854,4,9.321,1:30.774,5,9.371,1:30.910,1,9.091,1:30.228,3,9.518,1:30.600,2007-2008,"Samsung ISU World Cup 2007/2008, USA, Salt Lake City",1500m,m,RepSemifinals,1
2,9.375,1:39.849,6,10.579,2:03.433,3,9.291,1:40.065,4,9.292,1:40.202,1,9.492,1:39.720,5,9.829,1:40.429,2007-2008,"Samsung ISU World Cup 2007/2008, USA, Salt Lake City",1500m,m,RepSemifinals,1
2,9.682,1:49.530,6,9.924,2:13.357,3,9.579,1:49.645,4,9.517,1:49.719,1,9.681,1:49.400,5,10.121,1:50.550,2007-2008,"Samsung ISU World Cup 2007/2008, USA, Salt Lake City",1500m,m,RepSemifinals,1
2,9.792,1:59.323,6,10.152,2:23.509,4,9.953,1:59.598,3,9.679,1:59.398,1,9.872,1:59.273,5,10.234,2:00.784,2007-2008,"Samsung ISU World Cup 2007/2008, USA, Salt Lake City",1500m,m,RepSemifinals,1
2,9.735,2:09.058,6,10.006,2:33.515,4,9.784,2:09.382,1,9.116,2:08.513,3,9.983,2:09.256,5,11.079,2:11.862,2007-2008,"Samsung ISU World Cup 2007/2008, USA, Salt Lake City",1500m,m,RepSemifinals,1
2,10.007,2:19.065,6,10.001,2:43.515,4,10.145,2:19.526,1,9.568,2:18.082,3,9.884,2:19.140,5,11.506,2:23.368,2007-2008,"Samsung ISU World Cup 2007/2008, USA, Salt Lake City",1500m,m,RepSemifinals,1
