START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,season,competition,event,gender,round,race
3,9.989,9.989,2,9.985,9.985,5,10.395,10.395,4,10.332,10.332,1,9.882,9.882,2005-2006,"2006 World Junior Championships, Romania",1500M,w,Heats,11
2,13.866,23.855,4,14.138,24.122,3,13.705,24.099,5,13.897,24.228,1,13.710,23.592,2005-2006,"2006 World Junior Championships, Romania",1500M,w,Heats,11
2,13.518,37.372,3,13.339,37.460,5,13.712,37.811,4,13.461,37.689,1,13.607,37.198,2005-2006,"2006 World Junior Championships, Romania",1500M,w,Heats,11
3,13.571,50.943,2,13.326,50.786,5,13.380,51.190,4,13.436,51.125,1,13.568,50.765,2005-2006,"2006 World Junior Championships, Romania",1500M,w,Heats,11
3,12.553,1:03.495,1,12.438,1:03.223,5,12.511,1:03.701,4,12.505,1:03.629,2,12.560,1:03.325,2005-2006,"2006 World Junior Championships, Romania",1500M,w,Heats,11
3,12.723,1:16.218,1,12.612,1:15.835,5,12.893,1:16.593,4,12.816,1:16.445,2,12.625,1:15.949,2005-2006,"2006 World Junior Championships, Romania",1500M,w,Heats,11
3,12.757,1:28.975,2,12.765,1:28.600,5,12.622,1:29.215,4,12.614,1:29.059,1,12.628,1:28.577,2005-2006,"2006 World Junior Championships, Romania",1500M,w,Heats,11
3,12.368,1:41.343,1,12.503,1:41.102,4,12.403,1:41.617,5,12.671,1:41.729,2,12.592,1:41.169,2005-2006,"2006 World Junior Championships, Romania",1500M,w,Heats,11
3,11.432,1:52.774,1,11.383,1:52.485,4,11.427,1:53.044,5,12.164,1:53.893,2,11.453,1:52.621,2005-2006,"2006 World Junior Championships, Romania",1500M,w,Heats,11
3,10.822,2:03.595,1,10.839,2:03.323,4,10.808,2:03.852,5,12.537,2:06.429,2,10.884,2:03.504,2005-2006,"2006 World Junior Championships, Romania",1500M,w,Heats,11
2,10.867,2:14.462,1,10.876,2:14.199,4,11.080,2:14.931,5,12.788,2:19.217,3,11.041,2:14.544,2005-2006,"2006 World Junior Championships, Romania",1500M,w,Heats,11
2,10.693,2:25.155,1,10.804,2:25.003,4,11.230,2:26.161,5,12.754,2:31.970,3,10.876,2:25.420,2005-2006,"2006 World Junior Championships, Romania",1500M,w,Heats,11
2,10.852,2:36.007,1,10.715,2:35.718,4,11.994,2:38.155,5,13.049,2:45.019,3,10.846,2:36.265,2005-2006,"2006 World Junior Championships, Romania",1500M,w,Heats,11
2,10.84,2:46.841,1,10.61,2:46.324,4,11.93,2:50.077,5,13.17,2:58.182,3,11.70,2:47.960,2005-2006,"2006 World Junior Championships, Romania",1500M,w,Heats,11
