START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
2,10.68,10.68,1,10.66,10.66,5,11.12,11.12,4,11.01,11.01,6,11.22,11.22,3,10.78,10.78,2016-2017,ISU World Cup 2016/17 - Minsk (BLR),1500m,w,Heats,1
6,14.31,24.99,3,13.96,24.62,5,13.73,24.85,4,13.71,24.72,1,13.03,24.25,2,13.69,24.47,2016-2017,ISU World Cup 2016/17 - Minsk (BLR),1500m,w,Heats,1
5,11.73,36.72,3,11.88,36.50,4,11.76,36.61,2,11.67,36.39,1,11.96,36.21,6,12.33,36.80,2016-2017,ISU World Cup 2016/17 - Minsk (BLR),1500m,w,Heats,1
3,11.43,48.15,4,11.66,48.16,6,11.65,48.26,2,11.65,48.04,1,11.63,47.84,5,11.41,48.21,2016-2017,ISU World Cup 2016/17 - Minsk (BLR),1500m,w,Heats,1
1,10.10,58.25,6,10.75,58.91,5,10.48,58.74,3,10.45,58.49,2,10.50,58.34,4,10.40,58.61,2016-2017,ISU World Cup 2016/17 - Minsk (BLR),1500m,w,Heats,1
2,10.24,1:08.49,6,9.97,1:08.88,5,10.03,1:08.77,3,10.09,1:08.58,1,10.02,1:08.36,4,10.06,1:08.67,2016-2017,ISU World Cup 2016/17 - Minsk (BLR),1500m,w,Heats,1
2,10.27,1:18.76,5,10.19,1:19.07,6,10.32,1:19.09,3,10.20,1:18.78,1,10.28,1:18.64,4,10.31,1:18.98,2016-2017,ISU World Cup 2016/17 - Minsk (BLR),1500m,w,Heats,1
3,10.17,1:28.93,5,10.11,1:29.18,6,10.24,1:29.33,2,10.05,1:28.83,1,10.04,1:28.68,4,10.09,1:29.07,2016-2017,ISU World Cup 2016/17 - Minsk (BLR),1500m,w,Heats,1
2,10.02,1:38.95,5,10.09,1:39.27,6,10.05,1:39.38,3,10.22,1:39.05,1,10.13,1:38.81,4,10.08,1:39.15,2016-2017,ISU World Cup 2016/17 - Minsk (BLR),1500m,w,Heats,1
2,10.26,1:49.21,5,10.30,1:49.57,6,10.32,1:49.70,3,10.28,1:49.33,1,10.25,1:49.06,4,10.31,1:49.46,2016-2017,ISU World Cup 2016/17 - Minsk (BLR),1500m,w,Heats,1
2,9.86,1:59.07,5,9.90,1:59.47,6,10.12,1:59.82,3,9.85,1:59.18,1,9.84,1:58.90,4,9.87,1:59.33,2016-2017,ISU World Cup 2016/17 - Minsk (BLR),1500m,w,Heats,1
2,9.75,2:08.82,5,9.66,2:09.13,6,10.41,2:10.23,3,9.69,2:08.87,1,9.75,2:08.65,4,9.72,2:09.05,2016-2017,ISU World Cup 2016/17 - Minsk (BLR),1500m,w,Heats,1
2,9.77,2:18.59,5,9.74,2:18.87,6,10.85,2:21.08,3,9.85,2:18.72,1,9.76,2:18.41,4,9.81,2:18.86,2016-2017,ISU World Cup 2016/17 - Minsk (BLR),1500m,w,Heats,1
2,9.91,2:28.493,5,10.86,2:29.716,6,11.29,2:32.353,3,9.84,2:28.553,1,9.99,2:28.349,4,10.12,2:28.962,2016-2017,ISU World Cup 2016/17 - Minsk (BLR),1500m,w,Heats,1
