START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,season,competition,event,gender,round,race
3,10.96,10.96,2,10.94,10.94,4,11.16,11.16,5,11.22,11.22,1,10.88,10.88,2018-2019,ISU World Cup 2018/19 - Calgary (CAN),1500m,w,Quarterfinals,1
3,15.51,26.47,2,15.35,26.29,4,15.43,26.59,5,15.40,26.62,1,15.27,26.15,2018-2019,ISU World Cup 2018/19 - Calgary (CAN),1500m,w,Quarterfinals,1
5,13.62,40.09,4,13.68,39.97,1,12.94,39.53,2,13.05,39.67,3,13.70,39.85,2018-2019,ISU World Cup 2018/19 - Calgary (CAN),1500m,w,Quarterfinals,1
5,11.73,51.82,4,11.72,51.69,1,11.80,51.33,2,11.79,51.46,3,11.74,51.59,2018-2019,ISU World Cup 2018/19 - Calgary (CAN),1500m,w,Quarterfinals,1
4,11.91,1:03.73,5,12.06,1:03.75,1,12.05,1:03.38,2,12.06,1:03.52,3,12.06,1:03.65,2018-2019,ISU World Cup 2018/19 - Calgary (CAN),1500m,w,Quarterfinals,1
1,10.24,1:13.97,4,10.37,1:14.12,2,10.61,1:13.99,3,10.52,1:14.04,5,10.53,1:14.18,2018-2019,ISU World Cup 2018/19 - Calgary (CAN),1500m,w,Quarterfinals,1
5,10.30,1:24.27,1,9.76,1:23.88,2,9.97,1:23.96,3,10.07,1:24.11,4,10.01,1:24.19,2018-2019,ISU World Cup 2018/19 - Calgary (CAN),1500m,w,Quarterfinals,1
4,9.79,1:34.06,1,9.88,1:33.76,2,9.87,1:33.83,3,9.85,1:33.96,5,9.91,1:34.10,2018-2019,ISU World Cup 2018/19 - Calgary (CAN),1500m,w,Quarterfinals,1
4,9.69,1:43.75,1,9.75,1:43.51,2,9.76,1:43.59,3,9.71,1:43.67,5,9.78,1:43.88,2018-2019,ISU World Cup 2018/19 - Calgary (CAN),1500m,w,Quarterfinals,1
4,9.54,1:53.29,2,9.62,1:53.13,3,9.61,1:53.20,1,9.43,1:53.10,5,9.59,1:53.47,2018-2019,ISU World Cup 2018/19 - Calgary (CAN),1500m,w,Quarterfinals,1
4,9.49,2:02.78,2,9.49,2:02.62,3,9.51,2:02.71,1,9.05,2:02.15,5,9.51,2:02.98,2018-2019,ISU World Cup 2018/19 - Calgary (CAN),1500m,w,Quarterfinals,1
2,9.60,2:12.38,3,9.79,2:12.41,4,9.72,2:12.43,1,9.39,2:11.54,5,9.66,2:12.64,2018-2019,ISU World Cup 2018/19 - Calgary (CAN),1500m,w,Quarterfinals,1
2,9.56,2:21.94,4,10.04,2:22.45,3,9.61,2:22.04,1,9.51,2:21.05,5,10.05,2:22.69,2018-2019,ISU World Cup 2018/19 - Calgary (CAN),1500m,w,Quarterfinals,1
2,9.78,2:31.72,4,10.67,2:33.12,3,9.82,2:31.86,1,9.95,2:31.00,5,10.57,2:33.26,2018-2019,ISU World Cup 2018/19 - Calgary (CAN),1500m,w,Quarterfinals,1
