START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
2,8.451,8.451,3,8.518,8.518,4,8.684,8.684,1,8.432,8.432,5,8.821,8.821,6,8.870,8.870,2007-2008,"Samsung ISU World Cup 2007/2008, Canada, Quebec City",1500m,m,Heats,3
1,11.949,20.400,3,12.173,20.691,5,12.192,20.876,2,12.244,20.676,6,12.244,21.065,4,11.911,20.781,2007-2008,"Samsung ISU World Cup 2007/2008, Canada, Quebec City",1500m,m,Heats,3
1,11.576,31.976,2,11.438,32.128,5,11.508,32.383,3,11.458,32.134,6,11.368,32.433,4,11.450,32.231,2007-2008,"Samsung ISU World Cup 2007/2008, Canada, Quebec City",1500m,m,Heats,3
1,11.526,43.503,3,11.503,43.631,5,11.348,43.731,2,11.404,43.538,6,11.426,43.859,4,11.463,43.694,2007-2008,"Samsung ISU World Cup 2007/2008, Canada, Quebec City",1500m,m,Heats,3
1,10.417,53.920,5,10.623,54.254,6,10.655,54.386,3,10.478,54.016,4,10.326,54.185,2,10.315,54.009,2007-2008,"Samsung ISU World Cup 2007/2008, Canada, Quebec City",1500m,m,Heats,3
1,9.825,1:03.744,5,9.827,1:04.081,6,9.802,1:04.188,3,9.800,1:03.816,4,9.880,1:04.065,2,9.776,1:03.785,2007-2008,"Samsung ISU World Cup 2007/2008, Canada, Quebec City",1500m,m,Heats,3
2,9.683,1:13.428,5,9.485,1:13.566,6,9.549,1:13.737,1,9.414,1:13.230,4,9.392,1:13.456,3,9.645,1:13.430,2007-2008,"Samsung ISU World Cup 2007/2008, Canada, Quebec City",1500m,m,Heats,3
4,9.932,1:23.359,6,9.889,1:23.455,5,9.677,1:23.414,1,9.847,1:23.077,3,9.654,1:23.110,2,9.670,1:23.100,2007-2008,"Samsung ISU World Cup 2007/2008, Canada, Quebec City",1500m,m,Heats,3
6,26.445,1:49.805,4,9.753,1:33.208,5,11.278,1:34.692,1,9.607,1:32.684,3,9.895,1:33.005,2,9.786,1:32.886,2007-2008,"Samsung ISU World Cup 2007/2008, Canada, Quebec City",1500m,m,Heats,3
6,27.797,2:17.601,4,9.499,1:42.706,5,12.225,1:46.917,2,9.673,1:42.357,1,9.294,1:42.298,3,9.476,1:42.362,2007-2008,"Samsung ISU World Cup 2007/2008, Canada, Quebec City",1500m,m,Heats,3
6,11.462,2:29.064,4,9.695,1:52.402,5,11.925,1:58.842,1,9.240,1:51.597,2,9.310,1:51.608,3,9.711,1:52.073,2007-2008,"Samsung ISU World Cup 2007/2008, Canada, Quebec City",1500m,m,Heats,3
6,11.609,2:40.673,4,9.940,2:02.341,5,13.202,2:12.044,3,9.315,2:00.912,1,9.081,2:00.689,2,8.697,2:00.770,2007-2008,"Samsung ISU World Cup 2007/2008, Canada, Quebec City",1500m,m,Heats,3
6,12.267,2:52.940,4,10.758,2:13.099,5,13.234,2:25.278,2,9.205,2:10.117,1,9.148,2:09.836,3,10.162,2:10.932,2007-2008,"Samsung ISU World Cup 2007/2008, Canada, Quebec City",1500m,m,Heats,3
6,11.686,3:04.625,4,11.527,2:24.626,5,12.594,2:37.872,2,9.116,2:19.232,1,9.293,2:19.130,3,9.977,2:20.909,2007-2008,"Samsung ISU World Cup 2007/2008, Canada, Quebec City",1500m,m,Heats,3
