START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
2,9.40,9.40,1,9.21,9.21,4,9.53,9.53,6,10.00,10.00,5,9.78,9.78,3,9.49,9.49,2013-2014,ISU World Short Track Speed Skating Championships 2014,1500m,m,Heats,1
2,12.32,21.72,1,12.37,21.58,3,12.32,21.85,6,12.24,22.24,5,12.37,22.15,4,12.51,22.00,2013-2014,ISU World Short Track Speed Skating Championships 2014,1500m,m,Heats,1
2,11.72,33.44,1,11.74,33.32,3,11.72,33.57,6,11.70,33.94,5,11.69,33.84,4,11.70,33.70,2013-2014,ISU World Short Track Speed Skating Championships 2014,1500m,m,Heats,1
2,11.64,45.08,1,11.63,44.95,3,11.63,45.20,6,11.55,45.49,4,11.42,45.26,5,11.66,45.36,2013-2014,ISU World Short Track Speed Skating Championships 2014,1500m,m,Heats,1
3,10.64,55.72,2,10.68,55.63,4,10.57,55.77,6,10.54,56.03,1,10.24,55.50,5,10.47,55.83,2013-2014,ISU World Short Track Speed Skating Championships 2014,1500m,m,Heats,1
4,10.09,1:05.81,3,10.02,1:05.65,1,9.56,1:05.33,6,10.06,1:06.09,2,10.06,1:05.56,5,10.16,1:05.99,2013-2014,ISU World Short Track Speed Skating Championships 2014,1500m,m,Heats,1
4,9.74,1:15.55,3,9.81,1:15.46,2,10.00,1:15.33,5,9.55,1:15.64,1,9.75,1:15.31,6,9.68,1:15.67,2013-2014,ISU World Short Track Speed Skating Championships 2014,1500m,m,Heats,1
4,9.63,1:25.18,3,9.62,1:25.08,6,10.25,1:25.58,1,9.28,1:24.92,2,9.66,1:24.97,5,9.65,1:25.32,2013-2014,ISU World Short Track Speed Skating Championships 2014,1500m,m,Heats,1
4,9.36,1:34.54,3,9.35,1:34.43,6,9.77,1:35.35,2,9.33,1:34.25,1,9.26,1:34.23,5,9.35,1:34.67,2013-2014,ISU World Short Track Speed Skating Championships 2014,1500m,m,Heats,1
4,9.11,1:43.65,3,9.08,1:43.51,6,10.06,1:45.41,2,9.20,1:43.45,1,9.14,1:43.37,5,9.13,1:43.80,2013-2014,ISU World Short Track Speed Skating Championships 2014,1500m,m,Heats,1
4,9.09,1:52.74,3,9.11,1:52.62,6,10.24,1:55.65,2,9.06,1:52.51,1,9.05,1:52.42,5,9.25,1:53.05,2013-2014,ISU World Short Track Speed Skating Championships 2014,1500m,m,Heats,1
4,8.94,2:01.68,3,8.95,2:01.57,6,10.64,2:06.29,2,8.97,2:01.48,1,8.96,2:01.38,5,9.61,2:02.66,2013-2014,ISU World Short Track Speed Skating Championships 2014,1500m,m,Heats,1
4,8.98,2:10.66,3,8.94,2:10.51,6,10.91,2:17.20,2,8.91,2:10.39,1,8.93,2:10.31,5,10.20,2:12.86,2013-2014,ISU World Short Track Speed Skating Championships 2014,1500m,m,Heats,1
6,24.50,2:35.156,3,9.06,2:19.565,5,10.95,2:28.144,2,9.03,2:19.411,1,9.03,2:19.337,4,10.99,2:23.841,2013-2014,ISU World Short Track Speed Skating Championships 2014,1500m,m,Heats,1
