START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,START_POS_7 POSITION,START_POS_7 LAP TIME,START_POS_7 ELAPSED TIME,season,competition,event,gender,round,race
1,8.18,8.18,4,8.55,8.55,5,8.85,8.85,3,8.45,8.45,6,9.04,9.04,2,8.35,8.35,7,9.17,9.17,2012-2013,"ISU World Cup 2012/2013, Montreal (CAN)",1500m,m,Semifinals,2
3,11.48,19.66,4,11.29,19.84,5,11.23,20.08,1,10.99,19.44,6,11.14,20.18,2,11.21,19.56,7,11.12,20.29,2012-2013,"ISU World Cup 2012/2013, Montreal (CAN)",1500m,m,Semifinals,2
2,10.92,30.58,1,10.73,30.57,5,10.91,30.99,3,11.28,30.72,6,10.95,31.13,4,11.31,30.87,7,10.94,31.23,2012-2013,"ISU World Cup 2012/2013, Montreal (CAN)",1500m,m,Semifinals,2
1,10.64,41.22,3,10.93,41.50,5,10.81,41.80,2,10.63,41.35,6,10.76,41.89,4,10.80,41.67,7,10.77,42.00,2012-2013,"ISU World Cup 2012/2013, Montreal (CAN)",1500m,m,Semifinals,2
1,10.41,51.63,3,10.36,51.86,6,10.48,52.28,2,10.39,51.74,7,10.48,52.37,4,10.32,51.99,5,10.12,52.12,2012-2013,"ISU World Cup 2012/2013, Montreal (CAN)",1500m,m,Semifinals,2
1,10.06,1:01.69,3,10.10,1:01.96,5,9.87,1:02.15,2,10.09,1:01.83,6,10.02,1:02.39,7,10.56,1:02.55,4,9.96,1:02.08,2012-2013,"ISU World Cup 2012/2013, Montreal (CAN)",1500m,m,Semifinals,2
2,9.83,1:11.52,4,9.82,1:11.78,5,9.71,1:11.86,1,9.64,1:11.47,6,9.54,1:11.93,7,13.65,1:16.20,3,9.58,1:11.66,2012-2013,"ISU World Cup 2012/2013, Montreal (CAN)",1500m,m,Semifinals,2
2,9.79,1:21.31,5,9.70,1:21.48,4,9.54,1:21.40,1,9.78,1:21.25,6,9.69,1:21.62,7,16.99,1:33.19,3,9.67,1:21.33,2012-2013,"ISU World Cup 2012/2013, Montreal (CAN)",1500m,m,Semifinals,2
4,9.62,1:30.93,5,9.62,1:31.10,1,9.19,1:30.59,2,9.46,1:30.71,6,9.56,1:31.18,7,11.91,1:45.10,3,9.50,1:30.83,2012-2013,"ISU World Cup 2012/2013, Montreal (CAN)",1500m,m,Semifinals,2
4,9.52,1:40.45,5,9.46,1:40.56,1,9.61,1:40.20,3,9.52,1:40.23,6,9.50,1:40.68,7,11.58,1:56.68,2,9.39,1:40.22,2012-2013,"ISU World Cup 2012/2013, Montreal (CAN)",1500m,m,Semifinals,2
4,9.25,1:49.70,6,9.55,1:50.11,1,9.21,1:49.41,3,9.39,1:49.62,5,9.16,1:49.84,7,13.51,2:10.19,2,9.27,1:49.49,2012-2013,"ISU World Cup 2012/2013, Montreal (CAN)",1500m,m,Semifinals,2
4,9.44,1:59.14,6,9.71,1:59.82,2,9.53,1:58.94,3,9.44,1:59.06,5,9.31,1:59.15,7,12.28,2:22.47,1,9.32,1:58.81,2012-2013,"ISU World Cup 2012/2013, Montreal (CAN)",1500m,m,Semifinals,2
5,9.43,2:08.57,6,10.28,2:10.10,3,9.38,2:08.32,4,9.38,2:08.44,2,9.06,2:08.21,7,11.80,2:34.27,1,9.32,2:08.13,2012-2013,"ISU World Cup 2012/2013, Montreal (CAN)",1500m,m,Semifinals,2
0,,PEN,5,10.99,2:21.087,3,9.77,2:18.088,4,10.19,2:18.627,2,9.52,2:17.725,6,13.07,2:47.338,1,9.54,2:17.666,2012-2013,"ISU World Cup 2012/2013, Montreal (CAN)",1500m,m,Semifinals,2
