START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
5,11.25,11.25,3,11.07,11.07,1,10.92,10.92,2,10.95,10.95,4,11.13,11.13,6,11.44,11.44,2016-2017,ISU World Cup 2016/17 - Minsk (BLR),1500m,m,Rep.Heats,2
3,14.04,25.29,2,14.12,25.19,3,14.37,25.29,1,14.20,25.15,5,14.23,25.36,6,14.12,25.56,2016-2017,ISU World Cup 2016/17 - Minsk (BLR),1500m,m,Rep.Heats,2
2,11.18,36.47,1,11.12,36.31,4,11.43,36.72,3,11.46,36.61,6,11.65,37.01,5,11.33,36.89,2016-2017,ISU World Cup 2016/17 - Minsk (BLR),1500m,m,Rep.Heats,2
2,10.63,47.10,1,10.68,46.99,3,10.47,47.19,4,10.59,47.20,6,10.36,47.37,5,10.37,47.26,2016-2017,ISU World Cup 2016/17 - Minsk (BLR),1500m,m,Rep.Heats,2
4,10.57,57.67,2,10.43,57.42,1,9.96,57.15,3,10.35,57.55,6,10.57,57.94,5,10.57,57.83,2016-2017,ISU World Cup 2016/17 - Minsk (BLR),1500m,m,Rep.Heats,2
4,9.87,1:07.54,3,10.00,1:07.42,1,10.14,1:07.29,2,9.80,1:07.35,6,9.85,1:07.79,5,9.84,1:07.67,2016-2017,ISU World Cup 2016/17 - Minsk (BLR),1500m,m,Rep.Heats,2
4,9.78,1:17.32,3,9.81,1:17.23,2,9.81,1:17.10,1,9.66,1:17.01,6,9.77,1:17.56,5,9.76,1:17.43,2016-2017,ISU World Cup 2016/17 - Minsk (BLR),1500m,m,Rep.Heats,2
4,9.93,1:27.25,3,9.93,1:27.16,2,9.92,1:27.02,1,9.91,1:26.92,6,9.94,1:27.50,5,9.92,1:27.35,2016-2017,ISU World Cup 2016/17 - Minsk (BLR),1500m,m,Rep.Heats,2
4,9.73,1:36.98,3,9.72,1:36.88,2,9.74,1:36.76,1,9.75,1:36.67,6,9.76,1:37.26,5,9.72,1:37.07,2016-2017,ISU World Cup 2016/17 - Minsk (BLR),1500m,m,Rep.Heats,2
4,9.46,1:46.44,3,9.45,1:46.33,2,9.46,1:46.22,1,9.44,1:46.11,6,9.56,1:46.82,5,9.45,1:46.52,2016-2017,ISU World Cup 2016/17 - Minsk (BLR),1500m,m,Rep.Heats,2
4,9.26,1:55.70,2,9.22,1:55.55,2,9.33,1:55.55,1,9.30,1:55.41,6,9.78,1:56.60,5,9.20,1:55.72,2016-2017,ISU World Cup 2016/17 - Minsk (BLR),1500m,m,Rep.Heats,2
4,9.55,2:05.25,2,9.39,2:04.94,3,9.59,2:05.14,1,9.23,2:04.64,6,10.28,2:06.88,5,9.63,2:05.35,2016-2017,ISU World Cup 2016/17 - Minsk (BLR),1500m,m,Rep.Heats,2
3,9.48,2:14.73,2,9.46,2:14.40,4,9.73,2:14.87,1,9.45,2:14.09,6,10.55,2:17.43,5,9.53,2:14.88,2016-2017,ISU World Cup 2016/17 - Minsk (BLR),1500m,m,Rep.Heats,2
4,9.53,2:24.242,2,9.71,2:24.11,5,11.09,2:25.943,1,9.77,2:23.86,6,10.83,2:28.235,3,9.29,2:24.17,2016-2017,ISU World Cup 2016/17 - Minsk (BLR),1500m,m,Rep.Heats,2
