START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
3,10.261,10.261,4,10.319,10.319,1,9.862,9.862,5,10.351,10.351,2,10.069,10.069,6,10.469,10.469,2007-2008,"2008 ISU European Championships, Latvia",1500m,w,Semifinals,1
6,12.973,23.233,4,12.832,23.151,3,12.918,22.779,1,12.132,22.483,2,12.607,22.675,5,12.746,23.215,2007-2008,"2008 ISU European Championships, Latvia",1500m,w,Semifinals,1
4,11.498,34.731,5,11.597,34.748,1,11.492,34.271,3,12.071,34.554,2,11.813,34.488,6,11.689,34.903,2007-2008,"2008 ISU European Championships, Latvia",1500m,w,Semifinals,1
4,12.406,47.137,5,12.402,47.150,2,12.428,46.699,1,12.114,46.668,3,12.339,46.827,6,12.280,47.183,2007-2008,"2008 ISU European Championships, Latvia",1500m,w,Semifinals,1
5,11.559,58.696,4,11.465,58.615,1,11.746,58.445,2,11.814,58.482,3,11.726,58.553,6,11.598,58.782,2007-2008,"2008 ISU European Championships, Latvia",1500m,w,Semifinals,1
4,10.935,1:09.631,5,11.336,1:09.952,2,11.155,1:09.600,3,11.143,1:09.625,1,11.014,1:09.567,6,11.230,1:10.012,2007-2008,"2008 ISU European Championships, Latvia",1500m,w,Semifinals,1
3,10.405,1:20.036,2,10.079,1:20.031,4,10.526,1:20.126,1,10.266,1:19.891,6,10.777,1:20.344,5,10.220,1:20.232,2007-2008,"2008 ISU European Championships, Latvia",1500m,w,Semifinals,1
2,10.172,1:30.207,4,10.294,1:30.324,3,10.195,1:30.322,1,10.215,1:30.105,6,10.099,1:30.443,5,10.098,1:30.330,2007-2008,"2008 ISU European Championships, Latvia",1500m,w,Semifinals,1
3,10.372,1:40.579,5,10.431,1:40.755,2,10.196,1:40.517,1,10.337,1:40.442,6,10.393,1:40.836,4,10.378,1:40.708,2007-2008,"2008 ISU European Championships, Latvia",1500m,w,Semifinals,1
2,10.393,1:50.972,4,10.412,1:51.168,3,10.542,1:51.060,1,10.492,1:50.934,5,10.361,1:51.196,6,10.534,1:51.242,2007-2008,"2008 ISU European Championships, Latvia",1500m,w,Semifinals,1
4,10.457,2:01.430,3,10.255,2:01.422,2,10.163,2:01.223,1,10.212,2:01.146,6,10.530,2:01.727,5,10.256,2:01.498,2007-2008,"2008 ISU European Championships, Latvia",1500m,w,Semifinals,1
3,10.034,2:11.464,2,10.012,2:11.435,4,10.348,2:11.570,1,10.134,2:11.279,6,10.396,2:12.122,5,10.264,2:11.762,2007-2008,"2008 ISU European Championships, Latvia",1500m,w,Semifinals,1
1,9.553,2:21.017,6,20.219,2:31.653,3,10.171,2:21.741,2,9.951,2:21.230,5,11.164,2:23.286,4,10.168,2:21.930,2007-2008,"2008 ISU European Championships, Latvia",1500m,w,Semifinals,1
1,10.164,2:31.180,0,,,3,10.350,2:32.091,2,10.018,2:31.249,5,12.264,2:35.550,4,10.338,2:32.268,2007-2008,"2008 ISU European Championships, Latvia",1500m,w,Semifinals,1
