START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,season,competition,event,gender,round,race
1,10.67,10.67,2,10.93,10.93,3,11.10,11.10,4,11.30,11.30,5,11.46,11.46,2018-2019,ISU World Short Track Championships 2019 - Sofia (BUL),1500m,m,RankingFinals,1
1,13.83,24.50,2,13.75,24.68,3,13.66,24.76,4,13.59,24.89,5,13.61,25.07,2018-2019,ISU World Short Track Championships 2019 - Sofia (BUL),1500m,m,RankingFinals,1
1,12.68,37.18,2,12.72,37.40,3,12.77,37.53,4,12.81,37.70,5,12.85,37.92,2018-2019,ISU World Short Track Championships 2019 - Sofia (BUL),1500m,m,RankingFinals,1
1,12.72,49.90,2,12.66,50.06,3,12.61,50.14,4,12.58,50.28,5,12.49,50.41,2018-2019,ISU World Short Track Championships 2019 - Sofia (BUL),1500m,m,RankingFinals,1
1,12.80,1:02.70,2,12.77,1:02.83,3,12.78,1:02.92,3,12.64,1:02.92,5,12.69,1:03.10,2018-2019,ISU World Short Track Championships 2019 - Sofia (BUL),1500m,m,RankingFinals,1
2,11.71,1:14.41,4,11.66,1:14.49,3,11.54,1:14.46,1,11.38,1:14.30,5,11.56,1:14.66,2018-2019,ISU World Short Track Championships 2019 - Sofia (BUL),1500m,m,RankingFinals,1
3,11.25,1:25.66,5,11.40,1:25.89,2,11.08,1:25.54,1,11.13,1:25.43,4,11.11,1:25.77,2018-2019,ISU World Short Track Championships 2019 - Sofia (BUL),1500m,m,RankingFinals,1
3,10.94,1:36.60,5,10.86,1:36.75,2,10.89,1:36.43,1,10.83,1:36.26,4,10.96,1:36.73,2018-2019,ISU World Short Track Championships 2019 - Sofia (BUL),1500m,m,RankingFinals,1
4,10.05,1:46.65,3,9.88,1:46.63,2,9.96,1:46.39,1,10.05,1:46.31,5,10.09,1:46.82,2018-2019,ISU World Short Track Championships 2019 - Sofia (BUL),1500m,m,RankingFinals,1
3,9.53,1:56.18,2,9.54,1:56.17,4,9.87,1:56.26,1,9.42,1:55.73,5,9.69,1:56.51,2018-2019,ISU World Short Track Championships 2019 - Sofia (BUL),1500m,m,RankingFinals,1
3,9.55,2:05.73,2,9.48,2:05.65,4,9.95,2:06.21,1,9.24,2:04.97,5,9.72,2:06.23,2018-2019,ISU World Short Track Championships 2019 - Sofia (BUL),1500m,m,RankingFinals,1
3,9.75,2:15.48,2,9.76,2:15.41,5,10.64,2:16.85,1,9.24,2:14.21,4,10.20,2:16.43,2018-2019,ISU World Short Track Championships 2019 - Sofia (BUL),1500m,m,RankingFinals,1
3,10.01,2:25.49,2,9.78,2:25.19,5,10.66,2:27.51,1,9.35,2:23.56,4,10.45,2:26.88,2018-2019,ISU World Short Track Championships 2019 - Sofia (BUL),1500m,m,RankingFinals,1
3,9.88,2:35.373,2,10.03,2:35.229,5,10.83,2:38.342,1,10.00,2:33.566,4,11.09,2:37.971,2018-2019,ISU World Short Track Championships 2019 - Sofia (BUL),1500m,m,RankingFinals,1
