START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,START_POS_7 POSITION,START_POS_7 LAP TIME,START_POS_7 ELAPSED TIME,season,competition,event,gender,round,race
6,9.01,9.01,4,8.69,8.69,3,8.52,8.52,2,8.48,,1,8.32,8.32,5,8.87,8.87,7,9.14,9.14,2016-2017,ISU World Short Track Championships 2017,1500m,m,Semifinals,2
6,11.40,20.41,4,11.39,20.08,1,11.22,19.74,3,11.47,,2,11.52,19.84,5,11.39,20.26,7,11.36,20.50,2016-2017,ISU World Short Track Championships 2017,1500m,m,Semifinals,2
6,10.87,31.28,4,10.86,30.94,2,10.84,30.58,3,10.73,,1,10.57,30.41,5,10.82,31.08,7,10.86,31.36,2016-2017,ISU World Short Track Championships 2017,1500m,m,Semifinals,2
4,9.80,41.08,5,10.16,41.10,1,10.22,40.80,3,10.30,,2,10.47,40.88,6,10.12,41.20,7,9.94,41.30,2016-2017,ISU World Short Track Championships 2017,1500m,m,Semifinals,2
3,9.88,50.96,6,9.99,51.09,1,9.97,50.77,4,10.04,,2,9.96,50.84,5,9.87,51.07,7,9.94,51.24,2016-2017,ISU World Short Track Championships 2017,1500m,m,Semifinals,2
5,9.77,1:00.73,6,9.74,1:00.83,2,9.72,1:00.49,4,9.61,,3,9.70,1:00.54,1,9.32,1:00.39,7,9.73,1:00.97,2016-2017,ISU World Short Track Championships 2017,1500m,m,Semifinals,2
4,9.63,1:10.36,5,9.65,1:10.48,7,10.13,1:10.62,3,9.62,,1,9.42,1:09.96,2,9.76,1:10.15,6,9.60,1:10.57,2016-2017,ISU World Short Track Championships 2017,1500m,m,Semifinals,2
4,9.31,1:19.67,5,9.34,1:19.82,7,9.51,1:20.13,2,9.27,,1,9.46,1:19.42,3,9.39,1:19.54,6,9.37,1:19.94,2016-2017,ISU World Short Track Championships 2017,1500m,m,Semifinals,2
4,9.41,1:29.08,5,9.35,1:29.17,7,9.25,1:29.38,2,9.41,,1,9.41,1:28.83,3,9.47,1:29.01,6,9.31,1:29.25,2016-2017,ISU World Short Track Championships 2017,1500m,m,Semifinals,2
4,9.40,1:38.48,5,9.42,1:38.59,7,9.41,1:38.79,1,9.25,,2,9.36,1:38.19,3,9.33,1:38.34,6,9.43,1:38.68,2016-2017,ISU World Short Track Championships 2017,1500m,m,Semifinals,2
4,9.01,1:47.49,5,9.02,1:47.61,7,9.05,1:47.84,1,9.05,,2,9.12,1:47.31,3,9.02,1:47.36,6,9.04,1:47.72,2016-2017,ISU World Short Track Championships 2017,1500m,m,Semifinals,2
3,8.89,1:56.38,5,8.90,1:56.51,7,8.99,1:56.83,2,9.07,,4,9.19,1:56.50,1,8.86,1:56.22,6,8.91,1:56.63,2016-2017,ISU World Short Track Championships 2017,1500m,m,Semifinals,2
3,9.02,2:05.40,4,9.04,2:05.55,6,9.13,2:05.96,2,8.99,,5,9.41,2:05.91,1,8.99,2:05.21,7,9.95,2:06.58,2016-2017,ISU World Short Track Championships 2017,1500m,m,Semifinals,2
7,26.71,2:32.11,2,9.36,2:14.91,4,9.74,2:15.70,1,9.46,,3,9.34,2:15.25,6,23.37,2:28.58,5,12.83,2:19.41,2016-2017,ISU World Short Track Championships 2017,1500m,m,Semifinals,2
