START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
4,9.11,9.11,0,,,3,9.09,9.09,5,9.19,9.19,1,8.82,8.82,2,9.05,9.05,2008-2009,"Samsung ISU World Cup 2008/2009, JPN, Nagano",1500m(1),w,Semifinals,2
5,12.17,21.29,0,,,2,12.03,21.12,1,11.89,21.08,4,12.34,21.17,3,12.08,21.13,2008-2009,"Samsung ISU World Cup 2008/2009, JPN, Nagano",1500m(1),w,Semifinals,2
1,10.49,31.78,0,,,3,10.93,32.05,2,10.83,31.91,4,10.96,32.14,5,11.05,32.19,2008-2009,"Samsung ISU World Cup 2008/2009, JPN, Nagano",1500m(1),w,Semifinals,2
4,10.84,42.63,0,,,3,10.56,42.62,2,10.68,42.59,5,10.63,42.78,1,10.18,42.38,2008-2009,"Samsung ISU World Cup 2008/2009, JPN, Nagano",1500m(1),w,Semifinals,2
2,10.22,52.86,0,,,3,10.29,52.92,4,10.46,53.05,5,10.46,53.24,1,10.46,52.84,2008-2009,"Samsung ISU World Cup 2008/2009, JPN, Nagano",1500m(1),w,Semifinals,2
2,10.68,1:03.55,0,,,3,10.68,1:03.60,4,10.64,1:03.70,5,10.64,1:03.88,1,10.62,1:03.46,2008-2009,"Samsung ISU World Cup 2008/2009, JPN, Nagano",1500m(1),w,Semifinals,2
2,10.73,1:14.28,0,,,3,10.76,1:14.36,4,10.81,1:14.51,5,10.82,1:14.71,1,10.70,1:14.17,2008-2009,"Samsung ISU World Cup 2008/2009, JPN, Nagano",1500m(1),w,Semifinals,2
1,10.32,1:24.60,0,,,3,10.46,1:24.82,4,10.40,1:24.92,5,10.42,1:25.14,2,10.58,1:24.75,2008-2009,"Samsung ISU World Cup 2008/2009, JPN, Nagano",1500m(1),w,Semifinals,2
1,10.17,1:34.78,0,,,2,10.03,1:34.86,4,10.04,1:34.96,5,9.93,1:35.07,3,10.17,1:34.93,2008-2009,"Samsung ISU World Cup 2008/2009, JPN, Nagano",1500m(1),w,Semifinals,2
1,9.70,1:44.49,0,,,2,9.69,1:44.56,4,10.13,1:45.10,3,9.64,1:44.71,5,10.32,1:45.25,2008-2009,"Samsung ISU World Cup 2008/2009, JPN, Nagano",1500m(1),w,Semifinals,2
2,9.79,1:54.28,0,,,1,9.66,1:54.23,4,9.84,1:54.94,3,9.72,1:54.44,5,10.77,1:56.03,2008-2009,"Samsung ISU World Cup 2008/2009, JPN, Nagano",1500m(1),w,Semifinals,2
2,9.63,2:03.91,0,,,1,9.62,2:03.85,4,9.46,2:04.41,3,9.73,2:04.18,5,11.17,2:07.20,2008-2009,"Samsung ISU World Cup 2008/2009, JPN, Nagano",1500m(1),w,Semifinals,2
2,9.65,2:13.57,0,,,1,9.60,2:13.46,4,9.65,2:14.06,3,9.76,2:13.94,5,11.97,2:19.18,2008-2009,"Samsung ISU World Cup 2008/2009, JPN, Nagano",1500m(1),w,Semifinals,2
2,10.00,2:23.566,0,,DNS,1,9.97,2:23.423,4,10.03,2:24.082,3,10.12,2:24.055,5,13.08,2:32.255,2008-2009,"Samsung ISU World Cup 2008/2009, JPN, Nagano",1500m(1),w,Semifinals,2
