START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,season,competition,event,gender,round,race
3,8.812,8.812,2,8.775,8.775,5,9.132,9.132,4,9.109,9.109,1,8.751,8.751,2003-2004,"2004 World Championship, Sweden",1500M,m,QuarterFinals,3
5,13.171,21.983,3,12.930,21.705,4,12.589,21.720,2,12.595,21.704,1,12.657,21.407,2003-2004,"2004 World Championship, Sweden",1500M,m,QuarterFinals,3
5,11.799,33.781,2,11.628,33.332,4,11.794,33.513,1,11.577,33.281,3,11.977,33.383,2003-2004,"2004 World Championship, Sweden",1500M,m,QuarterFinals,3
5,11.748,45.529,2,11.768,45.100,3,11.688,45.201,1,11.750,45.030,4,11.854,45.237,2003-2004,"2004 World Championship, Sweden",1500M,m,QuarterFinals,3
5,10.983,56.511,1,11.100,56.199,2,11.011,56.212,4,11.410,56.440,3,10.995,56.232,2003-2004,"2004 World Championship, Sweden",1500M,m,QuarterFinals,3
5,10.826,1:07.337,3,10.751,1:06.950,1,10.472,1:06.683,4,10.766,1:07.205,2,10.697,1:06.928,2003-2004,"2004 World Championship, Sweden",1500M,m,QuarterFinals,3
5,10.044,1:17.381,3,10.214,1:17.163,2,10.209,1:16.892,4,9.987,1:17.191,1,9.954,1:16.881,2003-2004,"2004 World Championship, Sweden",1500M,m,QuarterFinals,3
4,9.661,1:27.041,3,9.669,1:26.831,2,9.803,1:26.695,5,9.924,1:27.115,1,9.784,1:26.665,2003-2004,"2004 World Championship, Sweden",1500M,m,QuarterFinals,3
5,9.969,1:37.009,3,9.812,1:36.643,2,9.796,1:36.490,4,9.666,1:36.781,1,9.694,1:36.359,2003-2004,"2004 World Championship, Sweden",1500M,m,QuarterFinals,3
5,9.611,1:46.620,3,9.639,1:46.282,2,9.677,1:46.167,4,9.757,1:46.537,1,9.704,1:46.063,2003-2004,"2004 World Championship, Sweden",1500M,m,QuarterFinals,3
5,9.575,1:56.195,3,9.526,1:55.807,2,9.610,1:55.777,4,9.645,1:56.182,1,9.626,1:55.688,2003-2004,"2004 World Championship, Sweden",1500M,m,QuarterFinals,3
4,9.394,2:05.589,3,9.762,2:05.569,2,9.539,2:05.315,5,9.834,2:06.015,1,9.516,2:05.203,2003-2004,"2004 World Championship, Sweden",1500M,m,QuarterFinals,3
4,9.688,2:15.277,2,9.308,2:14.877,3,9.707,2:15.021,5,10.609,2:16.624,1,9.531,2:14.734,2003-2004,"2004 World Championship, Sweden",1500M,m,QuarterFinals,3
4,9.59,2:24.863,2,9.73,2:24.602,3,9.77,2:24.788,5,11.64,2:28.257,1,9.73,2:24.456,2003-2004,"2004 World Championship, Sweden",1500M,m,QuarterFinals,3
