START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,season,competition,event,gender,round,race
2,9.64,9.64,4,9.98,9.98,3,9.76,9.76,5,10.16,10.16,1,9.29,9.29,2014-2015,ISU World Cup 2014/15 - Dresden (GER),1500m(1),m,Preliminaries,9
2,10.96,20.60,4,10.99,20.97,3,10.96,20.72,5,11.02,21.18,1,11.15,20.44,2014-2015,ISU World Cup 2014/15 - Dresden (GER),1500m(1),m,Preliminaries,9
2,10.49,31.09,4,10.39,31.36,3,10.48,31.20,5,10.26,31.44,1,10.52,30.96,2014-2015,ISU World Cup 2014/15 - Dresden (GER),1500m(1),m,Preliminaries,9
2,10.62,41.71,4,10.55,41.91,3,10.60,41.80,5,10.57,42.01,1,10.62,41.58,2014-2015,ISU World Cup 2014/15 - Dresden (GER),1500m(1),m,Preliminaries,9
2,10.46,52.17,4,10.46,52.37,3,10.45,52.25,5,10.48,52.49,1,10.48,52.06,2014-2015,ISU World Cup 2014/15 - Dresden (GER),1500m(1),m,Preliminaries,9
2,10.52,1:02.69,4,10.52,1:02.89,3,10.52,1:02.77,5,10.50,1:02.99,1,10.54,1:02.60,2014-2015,ISU World Cup 2014/15 - Dresden (GER),1500m(1),m,Preliminaries,9
2,10.42,1:13.11,4,10.38,1:13.27,3,10.35,1:13.12,5,10.28,1:13.27,1,10.41,1:13.01,2014-2015,ISU World Cup 2014/15 - Dresden (GER),1500m(1),m,Preliminaries,9
3,9.88,1:22.99,4,9.84,1:23.11,2,9.76,1:22.88,1,9.57,1:22.84,5,10.19,1:23.20,2014-2015,ISU World Cup 2014/15 - Dresden (GER),1500m(1),m,Preliminaries,9
3,9.64,1:32.63,4,9.63,1:32.74,2,9.66,1:32.54,1,9.62,1:32.46,5,9.76,1:32.96,2014-2015,ISU World Cup 2014/15 - Dresden (GER),1500m(1),m,Preliminaries,9
3,9.53,1:42.16,4,9.52,1:42.26,2,9.55,1:42.09,1,9.56,1:42.02,5,9.64,1:42.60,2014-2015,ISU World Cup 2014/15 - Dresden (GER),1500m(1),m,Preliminaries,9
3,9.32,1:51.48,2,9.15,1:51.41,4,9.40,1:51.49,1,9.21,1:51.23,5,9.79,1:52.39,2014-2015,ISU World Cup 2014/15 - Dresden (GER),1500m(1),m,Preliminaries,9
4,9.68,2:01.16,2,8.91,2:00.32,3,9.08,2:00.57,1,9.06,2:00.29,5,10.06,2:02.45,2014-2015,ISU World Cup 2014/15 - Dresden (GER),1500m(1),m,Preliminaries,9
4,10.26,2:11.42,1,8.93,2:09.25,3,8.91,2:09.48,2,9.12,2:09.41,5,10.46,2:12.91,2014-2015,ISU World Cup 2014/15 - Dresden (GER),1500m(1),m,Preliminaries,9
3,10.72,2:22.131,0,,PEN,1,9.16,2:18.632,2,9.41,2:18.817,4,10.77,2:23.673,2014-2015,ISU World Cup 2014/15 - Dresden (GER),1500m(1),m,Preliminaries,9
