START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,season,competition,event,gender,round,race
3,12.01,12.01,1,11.66,11.66,4,12.13,12.13,2,11.81,11.81,5,12.23,12.23,2017-2018,ISU World Short Track Championships 2018 - Montreal (CAN),1500m,w,Heats,4
4,17.98,29.99,1,17.85,29.51,3,17.64,29.77,2,17.90,29.71,5,17.87,30.10,2017-2018,ISU World Short Track Championships 2018 - Montreal (CAN),1500m,w,Heats,4
2,14.82,44.81,4,15.56,45.07,1,14.95,44.72,3,15.20,44.91,5,15.08,45.18,2017-2018,ISU World Short Track Championships 2018 - Montreal (CAN),1500m,w,Heats,4
2,13.43,58.24,4,13.52,58.59,3,13.68,58.40,1,13.30,58.21,5,13.51,58.69,2017-2018,ISU World Short Track Championships 2018 - Montreal (CAN),1500m,w,Heats,4
1,12.25,1:10.49,4,12.32,1:10.91,3,12.36,1:10.76,2,12.41,1:10.62,5,12.30,1:10.99,2017-2018,ISU World Short Track Championships 2018 - Montreal (CAN),1500m,w,Heats,4
2,11.74,1:22.23,3,11.36,1:22.27,1,11.44,1:22.20,5,11.83,1:22.45,4,11.44,1:22.43,2017-2018,ISU World Short Track Championships 2018 - Montreal (CAN),1500m,w,Heats,4
3,11.07,1:33.30,2,10.97,1:33.24,1,10.93,1:33.13,4,10.99,1:33.44,5,11.03,1:33.46,2017-2018,ISU World Short Track Championships 2018 - Montreal (CAN),1500m,w,Heats,4
4,11.26,1:44.56,2,11.21,1:44.45,1,11.17,1:44.30,3,11.10,1:44.54,5,11.32,1:44.78,2017-2018,ISU World Short Track Championships 2018 - Montreal (CAN),1500m,w,Heats,4
3,10.74,1:55.30,2,10.81,1:55.26,1,10.81,1:55.11,4,10.95,1:55.49,5,10.83,1:55.61,2017-2018,ISU World Short Track Championships 2018 - Montreal (CAN),1500m,w,Heats,4
3,10.43,2:05.73,2,10.41,2:05.67,1,10.42,2:05.53,4,10.43,2:05.92,5,10.42,2:06.03,2017-2018,ISU World Short Track Championships 2018 - Montreal (CAN),1500m,w,Heats,4
2,9.85,2:15.58,3,10.04,2:15.71,1,9.88,2:15.41,4,9.93,2:15.85,5,10.05,2:16.08,2017-2018,ISU World Short Track Championships 2018 - Montreal (CAN),1500m,w,Heats,4
2,9.55,2:25.13,3,9.63,2:25.34,1,9.56,2:24.97,4,9.61,2:25.46,5,9.81,2:25.89,2017-2018,ISU World Short Track Championships 2018 - Montreal (CAN),1500m,w,Heats,4
2,9.61,2:34.74,3,9.79,2:35.13,1,9.49,2:34.46,4,9.75,2:35.21,5,9.93,2:35.82,2017-2018,ISU World Short Track Championships 2018 - Montreal (CAN),1500m,w,Heats,4
2,10.17,2:44.91,5,43.51,3:18.64,1,10.05,2:44.51,3,10.75,2:45.96,4,10.49,2:46.31,2017-2018,ISU World Short Track Championships 2018 - Montreal (CAN),1500m,w,Heats,4
