START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
4,9.42,9.42,6,9.62,9.62,3,9.26,,5,9.52,9.52,1,9.11,9.11,2,9.18,9.18,2018-2019,ISU World Cup 2018/19 - Dresden (GER),1500m,w,Quarterfinals,1
4,11.94,21.36,6,12.03,21.65,3,11.95,,5,11.97,21.49,1,11.89,21.00,2,11.90,21.08,2018-2019,ISU World Cup 2018/19 - Dresden (GER),1500m,w,Quarterfinals,1
1,11.77,33.13,6,11.86,33.51,3,11.99,,5,11.88,33.37,4,12.23,33.23,2,12.06,33.14,2018-2019,ISU World Cup 2018/19 - Dresden (GER),1500m,w,Quarterfinals,1
1,11.24,44.37,5,11.13,44.64,2,11.27,,6,11.29,44.66,4,11.31,44.54,3,11.39,44.53,2018-2019,ISU World Cup 2018/19 - Dresden (GER),1500m,w,Quarterfinals,1
3,11.07,55.44,6,11.19,55.83,2,10.82,,4,10.85,55.51,5,11.14,55.68,1,10.75,55.28,2018-2019,ISU World Cup 2018/19 - Dresden (GER),1500m,w,Quarterfinals,1
3,10.40,1:05.84,6,10.48,1:06.31,2,10.42,,4,10.41,1:05.92,5,10.45,1:06.13,1,10.34,1:05.62,2018-2019,ISU World Cup 2018/19 - Dresden (GER),1500m,w,Quarterfinals,1
4,10.47,1:16.31,6,10.26,1:16.57,1,10.42,,5,10.52,1:16.44,2,10.07,1:16.20,3,10.59,1:16.21,2018-2019,ISU World Cup 2018/19 - Dresden (GER),1500m,w,Quarterfinals,1
4,9.86,1:26.17,6,9.83,1:26.40,1,9.75,,5,9.86,1:26.30,2,9.79,1:25.99,3,9.87,1:26.08,2018-2019,ISU World Cup 2018/19 - Dresden (GER),1500m,w,Quarterfinals,1
4,9.71,1:35.88,6,9.75,1:36.15,1,9.72,,5,9.70,1:36.00,2,9.71,1:35.70,3,9.70,1:35.78,2018-2019,ISU World Cup 2018/19 - Dresden (GER),1500m,w,Quarterfinals,1
4,9.60,1:45.48,6,9.61,1:45.76,2,9.68,,5,9.61,1:45.61,1,9.55,1:45.25,3,9.62,1:45.40,2018-2019,ISU World Cup 2018/19 - Dresden (GER),1500m,w,Quarterfinals,1
2,9.40,1:54.88,6,9.38,1:55.14,3,9.62,,5,9.47,1:55.08,1,9.58,1:54.83,4,9.63,1:55.03,2018-2019,ISU World Cup 2018/19 - Dresden (GER),1500m,w,Quarterfinals,1
1,9.20,2:04.08,4,9.56,2:04.70,3,9.68,,6,9.85,2:04.93,2,9.70,2:04.53,5,9.76,2:04.79,2018-2019,ISU World Cup 2018/19 - Dresden (GER),1500m,w,Quarterfinals,1
1,9.45,2:13.53,2,9.30,2:14.00,3,9.86,,5,9.96,2:14.89,4,10.28,2:14.81,5,10.10,2:14.89,2018-2019,ISU World Cup 2018/19 - Dresden (GER),1500m,w,Quarterfinals,1
1,9.74,2:23.27,2,9.60,2:23.60,3,10.40,,5,20.85,2:35.74,4,10.79,2:25.60,6,27.56,2:42.45,2018-2019,ISU World Cup 2018/19 - Dresden (GER),1500m,w,Quarterfinals,1
