START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,season,competition,event,gender,round,race
2,11.37,11.37,1,11.27,11.27,5,11.74,11.74,4,11.68,11.68,3,11.51,,2016-2017,ISU European Short Track Speed Skating Championships 2017,1500m,w,Heats,6
2,19.11,30.48,1,19.11,30.38,5,19.24,30.98,4,19.09,30.77,3,19.07,,2016-2017,ISU European Short Track Speed Skating Championships 2017,1500m,w,Heats,6
2,16.54,47.02,1,16.49,46.87,5,16.52,47.50,4,16.54,47.31,3,16.56,,2016-2017,ISU European Short Track Speed Skating Championships 2017,1500m,w,Heats,6
2,15.84,1:02.86,1,15.86,1:02.73,5,15.82,1:03.32,4,15.85,1:03.16,3,15.85,,2016-2017,ISU European Short Track Speed Skating Championships 2017,1500m,w,Heats,6
3,14.34,1:17.20,2,14.27,1:17.00,5,14.24,1:17.56,4,14.23,1:17.39,1,13.98,,2016-2017,ISU European Short Track Speed Skating Championships 2017,1500m,w,Heats,6
3,11.40,1:28.60,2,11.51,1:28.51,4,11.13,1:28.69,5,11.32,1:28.71,1,11.44,,2016-2017,ISU European Short Track Speed Skating Championships 2017,1500m,w,Heats,6
3,11.26,1:39.86,1,11.11,1:39.62,4,11.31,1:40.00,5,11.43,1:40.14,2,11.30,,2016-2017,ISU European Short Track Speed Skating Championships 2017,1500m,w,Heats,6
3,10.37,1:50.23,1,10.50,1:50.12,4,10.41,1:50.41,5,10.40,1:50.54,2,10.47,,2016-2017,ISU European Short Track Speed Skating Championships 2017,1500m,w,Heats,6
5,23.02,2:13.25,1,9.47,1:59.59,2,9.50,1:59.91,3,9.50,2:00.04,4,19.86,,2016-2017,ISU European Short Track Speed Skating Championships 2017,1500m,w,Heats,6
4,22.25,2:35.50,1,9.42,2:09.01,2,9.32,2:09.23,3,9.31,2:09.35,5,29.59,,2016-2017,ISU European Short Track Speed Skating Championships 2017,1500m,w,Heats,6
4,16.98,2:52.48,1,9.80,2:18.81,2,9.66,2:18.89,3,9.64,2:18.99,5,14.48,,2016-2017,ISU European Short Track Speed Skating Championships 2017,1500m,w,Heats,6
4,13.90,3:06.38,1,9.99,2:28.80,2,10.00,2:28.89,3,10.00,2:28.99,5,12.75,,2016-2017,ISU European Short Track Speed Skating Championships 2017,1500m,w,Heats,6
5,14.06,3:20.44,1,10.01,2:38.81,2,10.00,2:38.89,3,10.00,2:38.99,4,12.50,,2016-2017,ISU European Short Track Speed Skating Championships 2017,1500m,w,Heats,6
5,14.68,3:35.12,1,9.83,2:48.64,2,9.78,2:48.67,3,9.89,2:48.88,4,12.41,,2016-2017,ISU European Short Track Speed Skating Championships 2017,1500m,w,Heats,6
