START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,START_POS_7 POSITION,START_POS_7 LAP TIME,START_POS_7 ELAPSED TIME,season,competition,event,gender,round,race
1,9.87,9.87,3,10.14,10.14,6,10.65,10.65,4,10.34,10.34,2,9.98,9.98,5,10.50,10.50,7,10.81,10.81,2018-2019,ISU World Cup 2018/19 - Almaty (KAZ),1500m(2),w,Semifinals,2
3,14.00,23.87,4,13.90,24.04,1,13.15,23.80,5,13.93,24.27,2,13.85,23.83,6,13.86,24.36,7,13.72,24.53,2018-2019,ISU World Cup 2018/19 - Almaty (KAZ),1500m(2),w,Semifinals,2
2,11.32,35.19,3,11.23,35.27,1,11.35,35.15,6,11.19,35.46,3,11.44,35.27,5,10.97,35.33,7,11.09,35.62,2018-2019,ISU World Cup 2018/19 - Almaty (KAZ),1500m(2),w,Semifinals,2
1,10.40,45.59,4,10.66,45.93,3,10.68,45.83,7,10.66,46.12,5,10.73,46.00,2,10.36,45.69,6,10.43,46.05,2018-2019,ISU World Cup 2018/19 - Almaty (KAZ),1500m(2),w,Semifinals,2
1,10.16,55.75,5,10.24,56.17,6,10.45,56.28,7,10.18,56.30,4,10.00,56.00,3,10.21,55.90,2,9.78,55.83,2018-2019,ISU World Cup 2018/19 - Almaty (KAZ),1500m(2),w,Semifinals,2
1,9.99,1:05.74,5,9.89,1:06.06,7,10.03,1:06.31,6,9.87,1:06.17,4,9.99,1:05.99,3,10.00,1:05.90,2,10.00,1:05.83,2018-2019,ISU World Cup 2018/19 - Almaty (KAZ),1500m(2),w,Semifinals,2
1,10.35,1:16.09,6,10.30,1:16.36,1,9.78,1:16.09,7,10.30,1:16.47,5,10.30,1:16.29,4,10.34,1:16.24,3,10.28,1:16.11,2018-2019,ISU World Cup 2018/19 - Almaty (KAZ),1500m(2),w,Semifinals,2
6,10.05,1:26.14,5,9.69,1:26.05,1,9.62,1:25.71,7,9.70,1:26.17,2,9.46,1:25.75,4,9.67,1:25.91,3,9.73,1:25.84,2018-2019,ISU World Cup 2018/19 - Almaty (KAZ),1500m(2),w,Semifinals,2
6,10.16,1:36.30,5,10.19,1:36.24,1,10.06,1:35.77,7,10.14,1:36.31,2,10.12,1:35.87,3,10.09,1:36.00,4,10.26,1:36.10,2018-2019,ISU World Cup 2018/19 - Almaty (KAZ),1500m(2),w,Semifinals,2
4,9.69,1:45.99,6,9.99,1:46.23,1,10.00,1:45.77,7,9.95,1:46.26,2,9.92,1:45.79,3,9.91,1:45.91,5,10.03,1:46.13,2018-2019,ISU World Cup 2018/19 - Almaty (KAZ),1500m(2),w,Semifinals,2
4,9.66,1:55.65,5,10.16,1:56.39,2,9.61,1:55.38,6,10.25,1:56.51,1,9.44,1:55.23,3,9.59,1:55.50,7,10.59,1:56.72,2018-2019,ISU World Cup 2018/19 - Almaty (KAZ),1500m(2),w,Semifinals,2
4,9.53,2:05.18,7,10.57,2:06.96,2,9.41,2:04.79,5,10.20,2:06.71,1,9.46,2:04.69,3,9.43,2:04.93,6,10.18,2:06.90,2018-2019,ISU World Cup 2018/19 - Almaty (KAZ),1500m(2),w,Semifinals,2
4,9.99,2:15.17,7,10.41,2:17.37,2,9.48,2:14.27,5,10.07,2:16.78,1,9.47,2:14.16,3,9.65,2:14.58,6,10.37,2:17.27,2018-2019,ISU World Cup 2018/19 - Almaty (KAZ),1500m(2),w,Semifinals,2
4,10.66,2:25.83,7,10.33,2:27.707,2,9.72,2:23.99,5,10.07,2:26.85,1,9.65,2:23.81,3,10.11,2:24.69,6,10.33,2:27.602,2018-2019,ISU World Cup 2018/19 - Almaty (KAZ),1500m(2),w,Semifinals,2
