START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,season,competition,event,gender,round,race
1,9.27,9.27,6,10.28,10.28,5,10.05,10.05,3,9.67,9.67,2,9.47,9.47,2014-2015,"ISU World Cup 2014/15 - Salt Lake City, UT (USA)",1500m,m,Heats,3
1,12.66,21.93,6,12.30,22.58,5,12.42,22.47,3,12.56,22.23,2,12.61,22.08,2014-2015,"ISU World Cup 2014/15 - Salt Lake City, UT (USA)",1500m,m,Heats,3
1,11.61,33.54,6,11.66,34.24,5,11.63,34.10,3,11.57,33.80,2,11.59,33.67,2014-2015,"ISU World Cup 2014/15 - Salt Lake City, UT (USA)",1500m,m,Heats,3
3,11.18,44.72,1,10.37,44.61,6,11.10,45.20,4,11.03,44.83,2,11.04,44.71,2014-2015,"ISU World Cup 2014/15 - Salt Lake City, UT (USA)",1500m,m,Heats,3
3,9.76,54.48,1,9.67,54.28,6,9.66,54.86,4,9.73,54.56,2,9.66,54.37,2014-2015,"ISU World Cup 2014/15 - Salt Lake City, UT (USA)",1500m,m,Heats,3
4,9.81,1:04.29,1,9.68,1:03.96,6,9.66,1:04.52,3,9.59,1:04.15,2,9.67,1:04.04,2014-2015,"ISU World Cup 2014/15 - Salt Lake City, UT (USA)",1500m,m,Heats,3
4,9.44,1:13.73,1,9.44,1:13.40,6,9.47,1:13.99,3,9.45,1:13.60,2,9.45,1:13.49,2014-2015,"ISU World Cup 2014/15 - Salt Lake City, UT (USA)",1500m,m,Heats,3
4,9.34,1:23.07,1,9.24,1:22.64,6,9.28,1:23.27,2,9.15,1:22.75,3,9.38,1:22.87,2014-2015,"ISU World Cup 2014/15 - Salt Lake City, UT (USA)",1500m,m,Heats,3
6,9.48,1:32.55,1,9.33,1:31.97,5,9.18,1:32.45,2,9.33,1:32.08,3,9.29,1:32.16,2014-2015,"ISU World Cup 2014/15 - Salt Lake City, UT (USA)",1500m,m,Heats,3
6,9.49,1:42.04,1,9.38,1:41.35,4,9.18,1:41.63,2,9.37,1:41.45,3,9.39,1:41.55,2014-2015,"ISU World Cup 2014/15 - Salt Lake City, UT (USA)",1500m,m,Heats,3
6,9.51,1:51.55,1,9.14,1:50.49,4,9.17,1:50.80,2,9.13,1:50.58,3,9.16,1:50.71,2014-2015,"ISU World Cup 2014/15 - Salt Lake City, UT (USA)",1500m,m,Heats,3
6,9.86,2:01.41,1,8.92,1:59.41,4,8.98,1:59.78,2,8.92,1:59.50,3,8.98,1:59.69,2014-2015,"ISU World Cup 2014/15 - Salt Lake City, UT (USA)",1500m,m,Heats,3
6,10.32,2:11.73,1,9.22,2:08.63,3,9.09,2:08.87,2,9.25,2:08.75,4,9.18,2:08.87,2014-2015,"ISU World Cup 2014/15 - Salt Lake City, UT (USA)",1500m,m,Heats,3
6,10.58,2:22.308,1,9.47,2:18.092,3,9.45,2:18.318,2,9.37,2:18.113,4,9.51,2:18.377,2014-2015,"ISU World Cup 2014/15 - Salt Lake City, UT (USA)",1500m,m,Heats,3
