START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,START_POS_7 POSITION,START_POS_7 LAP TIME,START_POS_7 ELAPSED TIME,season,competition,event,gender,round,race
3,9.31,9.31,1,7.90,7.90,6,9.43,9.43,2,9.28,9.28,7,9.58,9.58,5,9.40,9.40,4,9.37,9.37,2015-2016,ISU World Short Track Speed Skating Championships® 2016,1500m,m,RankingRaces-Heats,4
3,14.32,23.63,1,10.06,17.96,5,14.46,23.89,2,14.18,23.46,7,14.59,24.17,6,14.68,24.08,4,14.38,23.75,2015-2016,ISU World Short Track Speed Skating Championships® 2016,1500m,m,RankingRaces-Heats,4
3,10.77,34.40,1,9.27,27.23,5,10.75,34.64,2,10.77,34.23,7,10.71,34.88,6,10.66,34.74,4,10.74,34.49,2015-2016,ISU World Short Track Speed Skating Championships® 2016,1500m,m,RankingRaces-Heats,4
3,9.74,44.14,1,9.33,36.56,5,9.68,44.32,2,9.76,43.99,7,9.63,44.51,6,9.68,44.42,4,9.74,44.23,2015-2016,ISU World Short Track Speed Skating Championships® 2016,1500m,m,RankingRaces-Heats,4
3,9.50,53.64,1,9.64,46.20,5,9.51,53.83,2,9.49,53.48,7,9.47,53.98,6,9.50,53.92,4,9.51,53.74,2015-2016,ISU World Short Track Speed Skating Championships® 2016,1500m,m,RankingRaces-Heats,4
3,9.35,1:02.99,1,10.02,56.22,5,9.36,1:03.19,2,9.40,1:02.88,7,9.39,1:03.37,6,9.37,1:03.29,4,9.34,1:03.08,2015-2016,ISU World Short Track Speed Skating Championships® 2016,1500m,m,RankingRaces-Heats,4
3,9.56,1:12.55,1,10.22,1:06.44,5,9.52,1:12.71,2,9.57,1:12.45,7,9.50,1:12.87,6,9.50,1:12.79,4,9.54,1:12.62,2015-2016,ISU World Short Track Speed Skating Championships® 2016,1500m,m,RankingRaces-Heats,4
3,10.10,1:22.65,1,10.39,1:16.83,5,10.08,1:22.79,2,10.11,1:22.56,7,10.08,1:22.95,6,10.09,1:22.88,4,10.10,1:22.72,2015-2016,ISU World Short Track Speed Skating Championships® 2016,1500m,m,RankingRaces-Heats,4
3,10.45,1:33.10,1,10.53,1:27.36,5,10.45,1:33.24,2,10.46,1:33.02,7,10.55,1:33.50,6,10.49,1:33.37,4,10.48,1:33.20,2015-2016,ISU World Short Track Speed Skating Championships® 2016,1500m,m,RankingRaces-Heats,4
2,9.56,1:42.66,1,10.74,1:38.10,3,9.49,1:42.73,7,10.33,1:43.35,6,9.59,1:43.09,5,9.63,1:43.00,4,9.67,1:42.87,2015-2016,ISU World Short Track Speed Skating Championships® 2016,1500m,m,RankingRaces-Heats,4
2,9.48,1:52.14,1,10.72,1:48.82,3,9.49,1:52.22,7,9.81,1:53.16,6,9.59,1:52.68,5,9.62,1:52.62,4,9.54,1:52.41,2015-2016,ISU World Short Track Speed Skating Championships® 2016,1500m,m,RankingRaces-Heats,4
2,9.62,2:01.76,1,10.61,1:59.43,3,9.63,2:01.85,7,9.96,2:03.12,5,9.66,2:02.34,6,9.98,2:02.60,4,9.55,2:01.96,2015-2016,ISU World Short Track Speed Skating Championships® 2016,1500m,m,RankingRaces-Heats,4
4,10.02,2:11.78,1,10.71,2:10.14,2,9.74,2:11.59,7,10.27,2:13.39,5,9.77,2:12.11,6,10.63,2:13.23,3,9.77,2:11.73,2015-2016,ISU World Short Track Speed Skating Championships® 2016,1500m,m,RankingRaces-Heats,4
3,10.22,2:21.974,1,10.88,2:21.000,7,32.41,2:43.942,5,,2:24.248,4,9.98,2:22.079,6,,2:24.254,2,9.79,2:21.495,2015-2016,ISU World Short Track Speed Skating Championships® 2016,1500m,m,RankingRaces-Heats,4
