START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
6,10.07,10.07,5,9.93,9.93,3,9.64,9.64,2,9.45,9.45,1,9.33,9.33,4,9.75,9.75,2015-2016,ISU World Cup 2015/16 - Dresden (GER),1500m(1),m,Rep.Heats,5
6,13.34,23.41,5,13.32,23.25,4,13.47,23.11,2,13.34,22.79,1,13.25,22.58,3,13.20,22.95,2015-2016,ISU World Cup 2015/16 - Dresden (GER),1500m(1),m,Rep.Heats,5
6,12.15,35.56,3,11.91,35.16,5,12.24,35.35,4,12.45,35.24,1,12.35,34.93,2,12.17,35.12,2015-2016,ISU World Cup 2015/16 - Dresden (GER),1500m(1),m,Rep.Heats,5
6,11.46,47.02,1,11.26,46.42,5,11.57,46.92,3,11.37,46.61,2,11.60,46.53,4,11.61,46.73,2015-2016,ISU World Cup 2015/16 - Dresden (GER),1500m(1),m,Rep.Heats,5
6,11.47,58.49,1,11.45,57.87,5,11.43,58.35,3,11.49,58.10,2,11.45,57.98,4,11.45,58.18,2015-2016,ISU World Cup 2015/16 - Dresden (GER),1500m(1),m,Rep.Heats,5
6,11.28,1:09.77,2,11.34,1:09.21,5,11.30,1:09.65,3,11.35,1:09.45,1,11.17,1:09.15,4,11.30,1:09.48,2015-2016,ISU World Cup 2015/16 - Dresden (GER),1500m(1),m,Rep.Heats,5
6,10.43,1:20.20,2,10.45,1:19.66,5,10.45,1:20.10,3,10.28,1:19.73,1,10.49,1:19.64,4,10.47,1:19.95,2015-2016,ISU World Cup 2015/16 - Dresden (GER),1500m(1),m,Rep.Heats,5
5,9.57,1:29.77,1,9.76,1:29.42,3,9.47,1:29.57,4,9.88,1:29.61,2,9.89,1:29.53,6,9.83,1:29.78,2015-2016,ISU World Cup 2015/16 - Dresden (GER),1500m(1),m,Rep.Heats,5
3,9.15,1:38.92,2,9.45,1:38.87,1,9.21,1:38.78,4,9.44,1:39.05,5,9.56,1:39.09,6,9.72,1:39.50,2015-2016,ISU World Cup 2015/16 - Dresden (GER),1500m(1),m,Rep.Heats,5
1,8.99,1:47.91,3,9.25,1:48.12,2,9.27,1:48.05,4,9.29,1:48.34,5,9.41,1:48.50,6,9.61,1:49.11,2015-2016,ISU World Cup 2015/16 - Dresden (GER),1500m(1),m,Rep.Heats,5
1,9.04,1:56.95,3,9.06,1:57.18,2,8.98,1:57.03,4,9.26,1:57.60,5,9.23,1:57.73,6,9.85,1:58.96,2015-2016,ISU World Cup 2015/16 - Dresden (GER),1500m(1),m,Rep.Heats,5
1,9.05,2:06.00,3,9.03,2:06.21,2,9.10,2:06.13,4,9.55,2:07.15,5,9.54,2:07.27,6,10.35,2:09.31,2015-2016,ISU World Cup 2015/16 - Dresden (GER),1500m(1),m,Rep.Heats,5
1,9.28,2:15.28,3,9.28,2:15.49,2,9.22,2:15.35,4,10.08,2:17.23,5,11.32,2:18.59,6,10.93,2:20.24,2015-2016,ISU World Cup 2015/16 - Dresden (GER),1500m(1),m,Rep.Heats,5
0,,PHOTO,3,9.78,2:25.27,0,,PHOTO,4,10.59,2:27.796,5,12.46,2:31.019,6,10.89,2:31.111,2015-2016,ISU World Cup 2015/16 - Dresden (GER),1500m(1),m,Rep.Heats,5
