START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
6,9.19,9.19,3,8.90,8.90,4,8.97,8.97,1,8.81,8.81,2,8.83,8.83,5,9.01,9.01,2012-2013,"ISU World Cup 2012/2013, Calgary (CAN)",1500m,m,Preliminaries,9
6,11.83,21.02,4,11.81,20.71,3,11.70,20.67,1,11.70,20.51,2,11.76,20.59,5,11.83,20.84,2012-2013,"ISU World Cup 2012/2013, Calgary (CAN)",1500m,m,Preliminaries,9
6,10.53,31.55,4,10.56,31.27,1,10.24,30.91,2,10.53,31.04,3,10.51,31.10,5,10.55,31.39,2012-2013,"ISU World Cup 2012/2013, Calgary (CAN)",1500m,m,Preliminaries,9
6,10.41,41.96,4,10.46,41.73,3,10.68,41.59,2,10.44,41.48,1,10.38,41.48,5,10.47,41.86,2012-2013,"ISU World Cup 2012/2013, Calgary (CAN)",1500m,m,Preliminaries,9
6,10.47,52.43,4,10.50,52.23,3,10.51,52.10,2,10.51,51.99,1,10.40,51.88,5,10.50,52.36,2012-2013,"ISU World Cup 2012/2013, Calgary (CAN)",1500m,m,Preliminaries,9
5,10.37,1:02.80,4,10.45,1:02.68,3,10.47,1:02.57,2,10.41,1:02.40,1,10.49,1:02.37,6,10.52,1:02.88,2012-2013,"ISU World Cup 2012/2013, Calgary (CAN)",1500m,m,Preliminaries,9
5,9.81,1:12.61,2,9.74,1:12.42,3,9.89,1:12.46,1,9.97,1:12.37,4,10.10,1:12.47,6,9.85,1:12.73,2012-2013,"ISU World Cup 2012/2013, Calgary (CAN)",1500m,m,Preliminaries,9
5,9.72,1:22.33,1,9.51,1:21.93,3,9.67,1:22.13,2,9.66,1:22.03,4,9.77,1:22.24,6,9.75,1:22.48,2012-2013,"ISU World Cup 2012/2013, Calgary (CAN)",1500m,m,Preliminaries,9
5,9.60,1:31.93,1,9.60,1:31.53,3,9.67,1:31.80,2,9.60,1:31.63,4,9.57,1:31.81,6,9.56,1:32.04,2012-2013,"ISU World Cup 2012/2013, Calgary (CAN)",1500m,m,Preliminaries,9
3,9.30,1:41.23,1,9.44,1:40.97,4,9.67,1:41.47,2,9.45,1:41.08,6,25.69,1:57.50,5,9.59,1:41.63,2012-2013,"ISU World Cup 2012/2013, Calgary (CAN)",1500m,m,Preliminaries,9
3,9.33,1:50.56,1,9.34,1:50.31,4,9.31,1:50.78,2,9.35,1:50.43,6,14.61,2:12.11,5,9.60,1:51.23,2012-2013,"ISU World Cup 2012/2013, Calgary (CAN)",1500m,m,Preliminaries,9
2,9.02,1:59.58,1,9.05,1:59.36,4,9.38,2:00.16,3,9.23,1:59.66,6,12.53,2:24.64,5,9.81,2:01.04,2012-2013,"ISU World Cup 2012/2013, Calgary (CAN)",1500m,m,Preliminaries,9
2,8.99,2:08.57,1,9.07,2:08.43,4,9.84,2:10.00,3,9.35,2:09.01,6,12.47,2:37.11,5,10.15,2:11.19,2012-2013,"ISU World Cup 2012/2013, Calgary (CAN)",1500m,m,Preliminaries,9
2,9.16,2:17.725,1,9.27,2:17.695,4,10.49,2:20.482,3,9.92,2:18.921,6,12.48,2:49.581,5,10.47,2:21.651,2012-2013,"ISU World Cup 2012/2013, Calgary (CAN)",1500m,m,Preliminaries,9
