START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
3,9.89,9.89,1,9.64,9.64,2,9.77,9.77,4,9.90,9.90,5,10.13,10.13,6,10.27,10.27,2016-2017,ISU World Cup 2016/17 - Calgary (CAN),1500m,m,Heats,6
4,13.71,23.60,1,13.54,23.18,2,13.56,23.33,3,13.58,23.48,5,13.60,23.73,6,13.60,23.87,2016-2017,ISU World Cup 2016/17 - Calgary (CAN),1500m,m,Heats,6
4,12.38,35.98,1,12.48,35.66,2,12.44,35.77,3,12.44,35.92,5,12.40,36.13,6,12.30,36.17,2016-2017,ISU World Cup 2016/17 - Calgary (CAN),1500m,m,Heats,6
5,11.96,47.94,1,11.88,47.54,2,11.91,47.68,4,11.90,47.82,3,11.63,47.76,6,11.79,47.96,2016-2017,ISU World Cup 2016/17 - Calgary (CAN),1500m,m,Heats,6
5,10.69,58.63,1,10.68,58.22,3,10.71,58.39,4,10.70,58.52,2,10.47,58.23,6,11.19,59.15,2016-2017,ISU World Cup 2016/17 - Calgary (CAN),1500m,m,Heats,6
5,9.98,1:08.61,2,10.14,1:08.36,1,9.95,1:08.34,3,9.85,1:08.37,4,10.25,1:08.48,6,9.94,1:09.09,2016-2017,ISU World Cup 2016/17 - Calgary (CAN),1500m,m,Heats,6
5,9.69,1:18.30,3,9.64,1:18.00,2,9.54,1:17.88,1,9.41,1:17.78,4,9.65,1:18.13,6,9.56,1:18.65,2016-2017,ISU World Cup 2016/17 - Calgary (CAN),1500m,m,Heats,6
5,9.43,1:27.73,2,9.30,1:27.30,3,9.50,1:27.38,1,9.50,1:27.28,4,9.44,1:27.57,6,9.72,1:28.37,2016-2017,ISU World Cup 2016/17 - Calgary (CAN),1500m,m,Heats,6
5,9.50,1:37.23,1,9.15,1:36.45,3,9.19,1:36.57,2,9.18,1:36.46,4,9.12,1:36.69,6,10.03,1:38.40,2016-2017,ISU World Cup 2016/17 - Calgary (CAN),1500m,m,Heats,6
5,9.87,1:47.10,2,9.44,1:45.89,3,9.41,1:45.98,1,9.32,1:45.78,4,9.41,1:46.10,6,10.61,1:49.01,2016-2017,ISU World Cup 2016/17 - Calgary (CAN),1500m,m,Heats,6
5,10.32,1:57.42,2,9.24,1:55.13,3,9.21,1:55.19,1,9.25,1:55.03,4,9.23,1:55.33,6,11.34,2:00.35,2016-2017,ISU World Cup 2016/17 - Calgary (CAN),1500m,m,Heats,6
5,10.69,2:08.11,2,9.13,2:04.26,3,9.14,2:04.33,1,9.09,2:04.12,4,9.11,2:04.44,6,11.82,2:12.17,2016-2017,ISU World Cup 2016/17 - Calgary (CAN),1500m,m,Heats,6
5,11.13,2:19.24,1,8.91,2:13.17,3,9.07,2:13.40,2,9.13,2:13.25,4,9.09,2:13.53,6,12.24,2:24.41,2016-2017,ISU World Cup 2016/17 - Calgary (CAN),1500m,m,Heats,6
5,11.42,2:30.66,1,9.23,2:22.40,3,9.20,2:22.60,2,9.26,2:22.51,4,9.20,2:22.73,6,12.28,2:36.69,2016-2017,ISU World Cup 2016/17 - Calgary (CAN),1500m,m,Heats,6
