START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
2,9.17,9.17,6,9.71,9.71,4,9.33,9.33,5,9.53,9.53,1,9.14,9.14,3,9.26,9.26,2010-2011,"ISU World Cup 2010/2011, CHN, Shanghai",1500m(1),w,FinalB,1
2,13.81,22.98,6,13.83,23.54,3,13.78,23.11,4,13.68,23.21,1,13.66,22.80,5,14.06,23.32,2010-2011,"ISU World Cup 2010/2011, CHN, Shanghai",1500m(1),w,FinalB,1
2,13.56,36.54,6,13.56,37.10,3,13.54,36.65,4,13.56,36.77,1,13.58,36.38,5,13.59,36.91,2010-2011,"ISU World Cup 2010/2011, CHN, Shanghai",1500m(1),w,FinalB,1
3,13.09,49.63,6,12.79,49.89,1,12.80,49.45,5,12.96,49.73,2,13.16,49.54,4,12.76,49.67,2010-2011,"ISU World Cup 2010/2011, CHN, Shanghai",1500m(1),w,FinalB,1
6,12.06,1:01.69,5,11.74,1:01.63,2,11.96,1:01.41,4,11.85,1:01.58,3,11.94,1:01.48,1,11.63,1:01.30,2010-2011,"ISU World Cup 2010/2011, CHN, Shanghai",1500m(1),w,FinalB,1
6,11.16,1:12.85,1,10.76,1:12.39,4,11.18,1:12.59,5,11.15,1:12.73,3,11.09,1:12.57,2,11.19,1:12.49,2010-2011,"ISU World Cup 2010/2011, CHN, Shanghai",1500m(1),w,FinalB,1
6,10.69,1:23.54,1,10.76,1:23.15,2,10.62,1:23.21,5,10.70,1:23.43,4,10.77,1:23.34,3,10.79,1:23.28,2010-2011,"ISU World Cup 2010/2011, CHN, Shanghai",1500m(1),w,FinalB,1
4,11.18,1:34.72,1,11.18,1:34.33,6,22.64,1:45.85,3,11.18,1:34.61,2,11.19,1:34.53,5,19.46,1:42.74,2010-2011,"ISU World Cup 2010/2011, CHN, Shanghai",1500m(1),w,FinalB,1
4,11.14,1:45.86,1,11.25,1:45.58,6,13.02,1:58.87,2,11.06,1:45.67,3,11.18,1:45.71,5,14.18,1:56.92,2010-2011,"ISU World Cup 2010/2011, CHN, Shanghai",1500m(1),w,FinalB,1
4,10.48,1:56.34,1,10.50,1:56.08,6,11.76,2:10.63,2,10.51,1:56.18,3,10.52,1:56.23,5,10.82,2:07.74,2010-2011,"ISU World Cup 2010/2011, CHN, Shanghai",1500m(1),w,FinalB,1
4,9.90,2:06.24,1,9.96,2:06.04,6,11.97,2:22.60,2,9.97,2:06.15,3,9.95,2:06.18,5,10.62,2:18.36,2010-2011,"ISU World Cup 2010/2011, CHN, Shanghai",1500m(1),w,FinalB,1
4,10.17,2:16.41,1,10.02,2:16.06,6,12.49,2:35.09,3,10.21,2:16.36,2,10.00,2:16.18,5,11.31,2:29.67,2010-2011,"ISU World Cup 2010/2011, CHN, Shanghai",1500m(1),w,FinalB,1
3,9.60,2:26.01,1,9.76,2:25.82,6,11.98,2:47.07,4,9.88,2:26.24,2,9.77,2:25.95,5,11.13,2:40.80,2010-2011,"ISU World Cup 2010/2011, CHN, Shanghai",1500m(1),w,FinalB,1
0,,PEN,1,10.19,2:36.009,5,12.17,2:59.239,2,10.17,2:36.409,4,28.72,2:54.669,3,11.28,2:52.071,2010-2011,"ISU World Cup 2010/2011, CHN, Shanghai",1500m(1),w,FinalB,1
