START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
5,11.56,11.56,1,10.78,10.78,2,10.96,10.96,4,11.32,11.32,3,11.13,11.13,5,11.56,11.56,2016-2017,ISU World Cup 2016/17 - Shanghai (CHN),1500m,w,Heats,1
6,14.70,26.26,2,14.73,25.51,3,14.73,25.69,4,14.58,25.90,1,14.18,25.31,5,14.57,26.13,2016-2017,ISU World Cup 2016/17 - Shanghai (CHN),1500m,w,Heats,1
6,11.27,37.53,2,11.53,37.04,3,11.47,37.16,4,11.37,37.27,1,11.57,36.88,5,11.34,37.47,2016-2017,ISU World Cup 2016/17 - Shanghai (CHN),1500m,w,Heats,1
6,11.03,48.56,2,11.02,48.06,3,11.00,48.16,4,10.98,48.25,1,11.03,47.91,5,11.01,48.48,2016-2017,ISU World Cup 2016/17 - Shanghai (CHN),1500m,w,Heats,1
6,10.73,59.29,1,10.79,58.85,4,10.87,59.03,2,10.65,58.90,3,11.01,58.92,5,10.75,59.23,2016-2017,ISU World Cup 2016/17 - Shanghai (CHN),1500m,w,Heats,1
6,10.39,1:09.68,2,10.53,1:09.38,4,10.50,1:09.53,1,10.39,1:09.29,3,10.55,1:09.47,5,10.43,1:09.66,2016-2017,ISU World Cup 2016/17 - Shanghai (CHN),1500m,w,Heats,1
6,11.07,1:20.75,1,10.89,1:20.27,3,10.84,1:20.37,2,11.04,1:20.33,4,10.91,1:20.38,5,10.96,1:20.62,2016-2017,ISU World Cup 2016/17 - Shanghai (CHN),1500m,w,Heats,1
5,10.11,1:30.86,1,10.37,1:30.64,2,10.36,1:30.73,3,10.47,1:30.80,4,10.46,1:30.84,6,10.37,1:30.99,2016-2017,ISU World Cup 2016/17 - Shanghai (CHN),1500m,w,Heats,1
3,9.69,1:40.55,1,9.77,1:40.41,2,9.78,1:40.51,4,10.16,1:40.96,5,10.13,1:40.97,6,10.15,1:41.14,2016-2017,ISU World Cup 2016/17 - Shanghai (CHN),1500m,w,Heats,1
3,9.71,1:50.26,1,9.74,1:50.15,2,9.69,1:50.20,6,10.26,1:51.22,4,9.51,1:50.48,5,9.58,1:50.72,2016-2017,ISU World Cup 2016/17 - Shanghai (CHN),1500m,w,Heats,1
3,9.86,2:00.12,1,9.80,1:59.95,2,9.84,2:00.04,6,10.72,2:01.94,4,9.76,2:00.24,5,9.53,2:00.25,2016-2017,ISU World Cup 2016/17 - Shanghai (CHN),1500m,w,Heats,1
4,9.88,2:10.00,1,9.71,2:09.66,2,9.74,2:09.78,6,11.48,2:13.42,5,9.89,2:10.13,3,9.54,2:09.79,2016-2017,ISU World Cup 2016/17 - Shanghai (CHN),1500m,w,Heats,1
4,9.76,2:19.76,1,9.74,2:19.40,3,9.78,2:19.56,6,12.07,2:25.49,5,9.90,2:20.03,2,9.68,2:19.47,2016-2017,ISU World Cup 2016/17 - Shanghai (CHN),1500m,w,Heats,1
3,10.27,2:30.004,1,10.00,2:29.375,4,10.51,2:30.019,6,12.45,2:37.914,5,10.16,2:30.164,2,10.02,2:29.472,2016-2017,ISU World Cup 2016/17 - Shanghai (CHN),1500m,w,Heats,1
