START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,START_POS_7 POSITION,START_POS_7 LAP TIME,START_POS_7 ELAPSED TIME,season,competition,event,gender,round,race
4,9.31,9.31,5,9.42,9.42,1,9.03,9.03,2,9.16,9.16,7,9.64,9.64,6,9.50,9.50,3,9.26,9.26,2012-2013,"ISU World Cup 2012/2013, Nagoya (JPN)",1500m(2),w,Semifinals,2
4,11.49,20.80,5,11.55,20.97,1,11.59,20.62,2,11.57,20.73,7,11.62,21.26,6,11.60,21.10,3,11.54,20.80,2012-2013,"ISU World Cup 2012/2013, Nagoya (JPN)",1500m(2),w,Semifinals,2
4,11.53,32.33,5,11.46,32.43,1,11.49,32.11,2,11.50,32.23,7,11.41,32.67,6,11.48,32.58,3,11.43,32.23,2012-2013,"ISU World Cup 2012/2013, Nagoya (JPN)",1500m(2),w,Semifinals,2
4,11.18,43.51,5,11.19,43.62,2,11.22,43.33,3,11.19,43.42,7,11.23,43.90,6,11.18,43.76,1,10.99,43.22,2012-2013,"ISU World Cup 2012/2013, Nagoya (JPN)",1500m(2),w,Semifinals,2
4,11.44,54.95,6,11.45,55.07,1,11.39,54.72,3,11.47,54.89,7,11.27,55.17,5,11.24,55.00,2,11.57,54.79,2012-2013,"ISU World Cup 2012/2013, Nagoya (JPN)",1500m(2),w,Semifinals,2
3,10.70,1:05.65,5,10.65,1:05.72,1,10.70,1:05.42,4,10.77,1:05.66,6,10.72,1:05.89,7,11.05,1:06.05,2,10.76,1:05.55,2012-2013,"ISU World Cup 2012/2013, Nagoya (JPN)",1500m(2),w,Semifinals,2
4,10.24,1:15.89,5,10.23,1:15.95,2,10.28,1:15.70,1,9.88,1:15.54,6,10.17,1:16.06,7,10.13,1:16.18,3,10.27,1:15.82,2012-2013,"ISU World Cup 2012/2013, Nagoya (JPN)",1500m(2),w,Semifinals,2
4,10.24,1:26.13,5,10.28,1:26.23,2,10.23,1:25.93,1,10.29,1:25.83,6,10.28,1:26.34,7,10.28,1:26.46,3,10.22,1:26.04,2012-2013,"ISU World Cup 2012/2013, Nagoya (JPN)",1500m(2),w,Semifinals,2
4,10.29,1:36.42,5,10.21,1:36.44,2,10.29,1:36.22,1,10.30,1:36.13,6,10.28,1:36.62,7,10.28,1:36.74,3,10.30,1:36.34,2012-2013,"ISU World Cup 2012/2013, Nagoya (JPN)",1500m(2),w,Semifinals,2
5,9.75,1:46.17,3,9.52,1:45.96,2,9.68,1:45.90,1,9.68,1:45.81,6,9.94,1:46.56,7,9.85,1:46.59,4,9.80,1:46.14,2012-2013,"ISU World Cup 2012/2013, Nagoya (JPN)",1500m(2),w,Semifinals,2
4,9.58,1:55.75,2,9.60,1:55.56,3,9.68,1:55.58,1,9.65,1:55.46,7,9.93,1:56.49,6,9.56,1:56.15,5,9.88,1:56.02,2012-2013,"ISU World Cup 2012/2013, Nagoya (JPN)",1500m(2),w,Semifinals,2
3,9.37,2:05.12,2,9.45,2:05.01,4,9.68,2:05.26,1,9.44,2:04.90,7,10.12,2:06.61,5,9.96,2:06.11,6,10.44,2:06.46,2012-2013,"ISU World Cup 2012/2013, Nagoya (JPN)",1500m(2),w,Semifinals,2
3,9.52,2:14.64,2,9.63,2:14.64,4,9.67,2:14.93,1,9.63,2:14.53,7,10.57,2:17.18,5,10.34,2:16.45,6,10.67,2:17.13,2012-2013,"ISU World Cup 2012/2013, Nagoya (JPN)",1500m(2),w,Semifinals,2
2,9.89,2:24.526,3,10.05,2:24.683,4,10.05,2:24.979,1,9.87,2:24.398,7,10.89,2:28.063,5,10.76,2:27.203,6,10.78,2:27.907,2012-2013,"ISU World Cup 2012/2013, Nagoya (JPN)",1500m(2),w,Semifinals,2
