START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
1,8.20,8.20,3,8.37,8.37,2,8.30,8.30,4,8.53,8.53,5,8.67,8.67,6,8.79,8.79,2010-2011,"ISU World Cup 2010/2011, CHN, Shanghai",1500m(2),m,Heats,2
1,12.38,20.58,3,12.41,20.78,2,12.35,20.65,4,12.38,20.91,5,12.36,21.03,6,12.41,21.20,2010-2011,"ISU World Cup 2010/2011, CHN, Shanghai",1500m(2),m,Heats,2
2,11.48,32.06,3,11.37,32.15,1,11.29,31.94,5,11.49,32.40,4,11.26,32.29,6,11.32,32.52,2010-2011,"ISU World Cup 2010/2011, CHN, Shanghai",1500m(2),m,Heats,2
2,11.38,43.44,3,11.45,43.60,1,11.36,43.30,5,11.48,43.88,4,11.45,43.74,6,11.55,44.07,2010-2011,"ISU World Cup 2010/2011, CHN, Shanghai",1500m(2),m,Heats,2
2,10.86,54.30,3,10.82,54.42,1,10.88,54.18,5,10.83,54.71,4,10.84,54.58,6,10.81,54.88,2010-2011,"ISU World Cup 2010/2011, CHN, Shanghai",1500m(2),m,Heats,2
2,10.43,1:04.73,3,10.42,1:04.84,1,10.45,1:04.63,5,10.42,1:05.13,4,10.40,1:04.98,6,10.41,1:05.29,2010-2011,"ISU World Cup 2010/2011, CHN, Shanghai",1500m(2),m,Heats,2
2,9.93,1:14.66,3,9.91,1:14.75,1,9.95,1:14.58,4,9.74,1:14.87,5,9.99,1:14.97,6,9.84,1:15.13,2010-2011,"ISU World Cup 2010/2011, CHN, Shanghai",1500m(2),m,Heats,2
2,9.78,1:24.44,3,9.69,1:24.44,1,9.76,1:24.34,4,9.80,1:24.67,5,9.84,1:24.81,6,9.91,1:25.04,2010-2011,"ISU World Cup 2010/2011, CHN, Shanghai",1500m(2),m,Heats,2
3,9.80,1:34.24,1,9.46,1:33.90,2,9.78,1:34.12,4,9.70,1:34.37,5,9.67,1:34.48,6,10.31,1:35.35,2010-2011,"ISU World Cup 2010/2011, CHN, Shanghai",1500m(2),m,Heats,2
2,9.11,1:43.35,1,9.25,1:43.15,3,9.51,1:43.63,4,9.47,1:43.84,5,9.45,1:43.93,6,10.44,1:45.79,2010-2011,"ISU World Cup 2010/2011, CHN, Shanghai",1500m(2),m,Heats,2
2,9.20,1:52.55,1,9.28,1:52.43,3,9.73,1:53.36,5,10.10,1:53.94,4,9.74,1:53.67,6,10.60,1:56.39,2010-2011,"ISU World Cup 2010/2011, CHN, Shanghai",1500m(2),m,Heats,2
2,9.43,2:01.98,1,9.45,2:01.88,3,10.20,2:03.56,5,10.65,2:04.59,4,10.12,2:03.79,6,11.01,2:07.40,2010-2011,"ISU World Cup 2010/2011, CHN, Shanghai",1500m(2),m,Heats,2
2,9.73,2:11.71,1,9.75,2:11.63,3,10.51,2:14.07,5,11.61,2:16.20,4,10.42,2:14.21,6,11.26,2:18.66,2010-2011,"ISU World Cup 2010/2011, CHN, Shanghai",1500m(2),m,Heats,2
1,9.88,2:21.587,2,10.33,2:21.959,3,10.97,2:25.036,5,12.29,2:28.487,4,10.94,2:25.150,6,11.21,2:29.866,2010-2011,"ISU World Cup 2010/2011, CHN, Shanghai",1500m(2),m,Heats,2
