START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,season,competition,event,gender,round,race
1,9.43,9.43,3,9.65,9.65,5,9.87,9.87,4,9.75,9.75,2,9.57,9.57,2013-2014,ISU European Short Track Speed Skating Championships 2014,1500m,m,Heats,6
1,13.84,23.27,3,13.85,23.50,5,13.88,23.75,4,13.89,23.64,2,13.80,23.37,2013-2014,ISU European Short Track Speed Skating Championships 2014,1500m,m,Heats,6
2,12.34,35.61,4,12.34,35.84,5,12.16,35.91,3,12.05,35.69,1,12.15,35.52,2013-2014,ISU European Short Track Speed Skating Championships 2014,1500m,m,Heats,6
1,11.07,46.68,4,11.14,46.98,5,11.18,47.09,2,11.07,46.76,3,11.33,46.85,2013-2014,ISU European Short Track Speed Skating Championships 2014,1500m,m,Heats,6
1,10.73,57.41,4,10.68,57.66,5,10.70,57.79,2,10.67,57.43,3,10.69,57.54,2013-2014,ISU European Short Track Speed Skating Championships 2014,1500m,m,Heats,6
2,10.63,1:08.04,4,10.65,1:08.31,5,10.70,1:08.49,1,10.60,1:08.03,3,10.64,1:08.18,2013-2014,ISU European Short Track Speed Skating Championships 2014,1500m,m,Heats,6
1,10.29,1:18.33,4,10.27,1:18.58,5,10.21,1:18.70,2,10.37,1:18.40,3,10.31,1:18.49,2013-2014,ISU European Short Track Speed Skating Championships 2014,1500m,m,Heats,6
2,10.28,1:28.61,4,10.29,1:28.87,5,10.30,1:29.00,1,10.18,1:28.58,3,10.26,1:28.75,2013-2014,ISU European Short Track Speed Skating Championships 2014,1500m,m,Heats,6
2,9.68,1:38.29,4,9.61,1:38.48,5,9.79,1:38.79,1,9.63,1:38.21,3,9.65,1:38.40,2013-2014,ISU European Short Track Speed Skating Championships 2014,1500m,m,Heats,6
2,9.51,1:47.80,3,9.46,1:47.94,5,9.92,1:48.71,1,9.50,1:47.71,4,9.57,1:47.97,2013-2014,ISU European Short Track Speed Skating Championships 2014,1500m,m,Heats,6
3,9.37,1:57.17,2,9.22,1:57.16,5,10.17,1:58.88,1,9.35,1:57.06,4,9.50,1:57.47,2013-2014,ISU European Short Track Speed Skating Championships 2014,1500m,m,Heats,6
3,9.26,2:06.43,2,9.16,2:06.32,5,10.60,2:09.48,1,9.18,2:06.24,4,9.48,2:06.95,2013-2014,ISU European Short Track Speed Skating Championships 2014,1500m,m,Heats,6
3,9.09,2:15.52,2,9.12,2:15.44,5,11.27,2:20.75,1,9.12,2:15.36,4,9.86,2:16.81,2013-2014,ISU European Short Track Speed Skating Championships 2014,1500m,m,Heats,6
3,9.24,2:24.757,2,9.18,2:24.614,5,11.53,2:32.274,1,9.18,2:24.534,4,10.41,2:27.215,2013-2014,ISU European Short Track Speed Skating Championships 2014,1500m,m,Heats,6
