START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
2,9.24,9.24,5,9.54,9.54,3,9.32,9.32,1,9.07,9.07,6,9.72,9.72,4,9.44,9.44,2013-2014,"ISU World Cup 2013/2014, Kolomna (RUS)",1500m,w,Quarterfinals,1
3,12.47,21.71,2,12.10,21.64,5,12.54,21.86,1,12.54,21.61,4,12.04,21.76,6,12.53,21.97,2013-2014,"ISU World Cup 2013/2014, Kolomna (RUS)",1500m,w,Quarterfinals,1
4,10.67,32.38,2,10.55,32.19,5,10.64,32.50,3,10.70,32.31,1,10.31,32.07,6,10.64,32.61,2013-2014,"ISU World Cup 2013/2014, Kolomna (RUS)",1500m,w,Quarterfinals,1
4,10.72,43.10,2,10.70,42.89,5,10.72,43.22,3,10.72,43.03,1,10.70,42.77,6,10.71,43.32,2013-2014,"ISU World Cup 2013/2014, Kolomna (RUS)",1500m,w,Quarterfinals,1
4,10.84,53.94,2,10.86,53.75,5,10.84,54.06,3,10.85,53.88,1,10.87,53.64,6,10.85,54.17,2013-2014,"ISU World Cup 2013/2014, Kolomna (RUS)",1500m,w,Quarterfinals,1
4,10.56,1:04.50,1,10.65,1:04.40,5,10.63,1:04.69,3,10.55,1:04.43,2,10.79,1:04.43,6,10.63,1:04.80,2013-2014,"ISU World Cup 2013/2014, Kolomna (RUS)",1500m,w,Quarterfinals,1
2,9.80,1:14.30,3,10.03,1:14.43,5,10.08,1:14.77,1,9.82,1:14.25,4,10.23,1:14.66,6,10.04,1:14.84,2013-2014,"ISU World Cup 2013/2014, Kolomna (RUS)",1500m,w,Quarterfinals,1
2,10.16,1:24.46,3,10.14,1:24.57,4,9.87,1:24.64,1,10.16,1:24.41,5,9.98,1:24.64,6,9.92,1:24.76,2013-2014,"ISU World Cup 2013/2014, Kolomna (RUS)",1500m,w,Quarterfinals,1
2,10.21,1:34.67,3,10.24,1:34.81,4,10.28,1:34.92,1,10.18,1:34.59,5,10.43,1:35.07,6,10.39,1:35.15,2013-2014,"ISU World Cup 2013/2014, Kolomna (RUS)",1500m,w,Quarterfinals,1
2,9.82,1:44.49,3,9.78,1:44.59,4,9.79,1:44.71,1,9.82,1:44.41,6,10.40,1:45.47,5,9.93,1:45.08,2013-2014,"ISU World Cup 2013/2014, Kolomna (RUS)",1500m,w,Quarterfinals,1
2,9.78,1:54.27,3,9.79,1:54.38,4,9.80,1:54.51,1,9.80,1:54.21,6,10.71,1:56.18,5,9.87,1:54.95,2013-2014,"ISU World Cup 2013/2014, Kolomna (RUS)",1500m,w,Quarterfinals,1
2,9.70,2:03.97,3,9.72,2:04.10,4,9.75,2:04.26,1,9.68,2:03.89,6,11.01,2:07.19,5,10.14,2:05.09,2013-2014,"ISU World Cup 2013/2014, Kolomna (RUS)",1500m,w,Quarterfinals,1
2,9.68,2:13.65,3,9.72,2:13.82,4,9.91,2:14.17,1,9.69,2:13.58,6,11.39,2:18.58,5,10.48,2:15.57,2013-2014,"ISU World Cup 2013/2014, Kolomna (RUS)",1500m,w,Quarterfinals,1
2,9.85,2:23.500,3,9.90,2:23.712,4,10.66,2:24.824,1,9.84,2:23.414,6,11.66,2:30.239,5,10.73,2:26.294,2013-2014,"ISU World Cup 2013/2014, Kolomna (RUS)",1500m,w,Quarterfinals,1
