START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,season,competition,event,gender,round,race
1,9.41,9.41,2,9.90,9.90,5,10.23,10.23,3,10.00,10.00,4,10.01,10.01,2009-2010,"ISU World Cup 2009/2010, USA, Marquette",1500m,w,Heats,3
2,14.79,24.20,3,14.63,24.53,5,14.55,24.78,4,14.59,24.59,1,13.93,23.94,2009-2010,"ISU World Cup 2009/2010, USA, Marquette",1500m,w,Heats,3
1,12.06,36.26,4,12.12,36.65,5,12.29,37.07,3,12.03,36.62,2,12.36,36.30,2009-2010,"ISU World Cup 2009/2010, USA, Marquette",1500m,w,Heats,3
1,11.74,48.00,3,11.65,48.30,5,11.59,48.66,4,11.76,48.38,2,11.78,48.08,2009-2010,"ISU World Cup 2009/2010, USA, Marquette",1500m,w,Heats,3
1,11.18,59.18,4,11.46,59.76,5,11.30,59.96,3,11.30,59.68,2,11.29,59.37,2009-2010,"ISU World Cup 2009/2010, USA, Marquette",1500m,w,Heats,3
1,10.91,1:10.09,4,10.85,1:10.61,5,10.85,1:10.81,3,10.92,1:10.60,2,11.02,1:10.39,2009-2010,"ISU World Cup 2009/2010, USA, Marquette",1500m,w,Heats,3
1,10.01,1:20.10,3,17.06,1:27.67,4,17.80,1:28.61,5,20.45,1:31.05,2,10.22,1:20.61,2009-2010,"ISU World Cup 2009/2010, USA, Marquette",1500m,w,Heats,3
1,8.18,1:28.28,3,10.65,1:38.32,4,10.84,1:39.45,5,10.70,1:41.75,2,11.00,1:31.61,2009-2010,"ISU World Cup 2009/2010, USA, Marquette",1500m,w,Heats,3
1,12.88,1:41.16,3,10.84,1:49.16,4,10.16,1:49.61,5,10.84,1:52.59,2,10.03,1:41.64,2009-2010,"ISU World Cup 2009/2010, USA, Marquette",1500m,w,Heats,3
1,11.30,1:52.46,3,11.07,2:00.23,4,10.79,2:00.40,5,10.35,2:02.94,2,11.08,1:52.72,2009-2010,"ISU World Cup 2009/2010, USA, Marquette",1500m,w,Heats,3
1,10.61,2:03.07,4,11.18,2:11.41,3,10.75,2:11.15,5,10.64,2:13.58,2,10.63,2:03.35,2009-2010,"ISU World Cup 2009/2010, USA, Marquette",1500m,w,Heats,3
2,10.06,2:13.13,4,11.18,2:22.59,3,11.09,2:22.24,5,10.59,2:24.17,1,9.53,2:12.88,2009-2010,"ISU World Cup 2009/2010, USA, Marquette",1500m,w,Heats,3
2,9.53,2:22.66,3,12.11,2:34.70,5,35.67,2:57.91,4,10.93,2:35.10,1,9.54,2:22.42,2009-2010,"ISU World Cup 2009/2010, USA, Marquette",1500m,w,Heats,3
2,22.85,2:45.507,4,11.65,2:46.343,5,22.91,3:20.814,3,11.08,2:46.175,1,10.35,2:32.766,2009-2010,"ISU World Cup 2009/2010, USA, Marquette",1500m,w,Heats,3
