START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
2,8.50,8.50,1,8.47,8.47,4,9.42,9.42,6,10.27,10.27,3,9.29,9.29,5,10.27,10.27,2013-2014,ISU World Junior Short Track Speed Skating Championships 2014,1500m,m,Heats,1
4,11.98,20.48,1,10.97,19.44,3,10.85,20.27,6,11.14,21.41,5,11.43,20.72,2,9.62,19.89,2013-2014,ISU World Junior Short Track Speed Skating Championships 2014,1500m,m,Heats,1
3,9.85,30.33,2,10.46,29.90,4,10.33,30.60,6,9.75,31.16,5,10.29,31.01,1,9.95,29.84,2013-2014,ISU World Junior Short Track Speed Skating Championships 2014,1500m,m,Heats,1
6,11.07,41.40,2,10.39,40.29,4,10.25,40.85,5,10.14,41.30,3,9.83,40.84,1,9.83,39.67,2013-2014,ISU World Junior Short Track Speed Skating Championships 2014,1500m,m,Heats,1
6,10.85,52.25,2,10.41,50.70,4,10.47,51.32,5,10.48,51.78,3,10.33,51.17,1,10.70,50.37,2013-2014,ISU World Junior Short Track Speed Skating Championships 2014,1500m,m,Heats,1
6,11.09,1:03.34,2,10.38,1:01.08,3,10.34,1:01.66,5,10.37,1:02.15,4,10.56,1:01.73,1,10.33,1:00.70,2013-2014,ISU World Junior Short Track Speed Skating Championships 2014,1500m,m,Heats,1
6,11.61,1:14.95,2,10.07,1:11.15,5,10.28,1:11.94,3,9.36,1:11.51,4,9.85,1:11.58,1,9.54,1:10.24,2013-2014,ISU World Junior Short Track Speed Skating Championships 2014,1500m,m,Heats,1
6,11.84,1:26.79,5,10.13,1:21.28,2,8.63,1:20.57,4,9.57,1:21.08,3,9.47,1:21.05,1,9.56,1:19.80,2013-2014,ISU World Junior Short Track Speed Skating Championships 2014,1500m,m,Heats,1
6,14.28,1:41.07,5,9.78,1:31.06,2,9.46,1:30.03,3,9.39,1:30.47,4,9.55,1:30.60,1,9.58,1:29.38,2013-2014,ISU World Junior Short Track Speed Skating Championships 2014,1500m,m,Heats,1
6,13.44,1:54.51,5,10.06,1:41.12,3,9.61,1:39.64,4,9.95,1:40.42,2,8.97,1:39.57,1,9.53,1:38.91,2013-2014,ISU World Junior Short Track Speed Skating Championships 2014,1500m,m,Heats,1
6,15.38,2:09.89,5,10.29,1:51.41,3,9.44,1:49.08,4,9.60,1:50.02,2,9.00,1:48.57,1,9.25,1:48.16,2013-2014,ISU World Junior Short Track Speed Skating Championships 2014,1500m,m,Heats,1
6,15.32,2:25.21,4,10.93,2:02.34,5,18.13,2:07.21,3,10.90,2:00.92,2,9.55,1:58.12,1,9.51,1:57.67,2013-2014,ISU World Junior Short Track Speed Skating Championships 2014,1500m,m,Heats,1
6,13.97,2:39.18,4,11.11,2:13.45,5,17.71,2:24.92,3,10.19,2:11.11,2,9.96,2:08.08,1,10.22,2:07.89,2013-2014,ISU World Junior Short Track Speed Skating Championships 2014,1500m,m,Heats,1
5,14.19,2:53.362,3,11.42,2:24.870,4,12.69,2:37.603,2,10.28,2:21.385,1,9.72,2:17.797,0,,PEN,2013-2014,ISU World Junior Short Track Speed Skating Championships 2014,1500m,m,Heats,1
