START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
1,7.900,7.900,5,8.440,8.440,6,8.660,8.660,3,8.180,8.180,4,8.310,8.310,2,8.150,8.150,2007-2008,"Samsung ISU World Cup 2007/2008, China, Harbin",1500m(2),m,Heats,4
2,11.660,19.570,4,11.480,19.930,5,11.310,19.970,6,11.960,20.150,1,11.190,19.510,3,11.540,19.690,2007-2008,"Samsung ISU World Cup 2007/2008, China, Harbin",1500m(2),m,Heats,4
1,10.900,30.470,6,11.060,31.000,5,10.930,30.910,3,10.610,30.760,4,11.300,30.810,2,10.920,30.610,2007-2008,"Samsung ISU World Cup 2007/2008, China, Harbin",1500m(2),m,Heats,4
2,10.850,41.320,6,10.680,41.680,5,10.760,41.670,4,10.620,41.390,3,10.540,41.360,1,10.630,41.250,2007-2008,"Samsung ISU World Cup 2007/2008, China, Harbin",1500m(2),m,Heats,4
1,10.370,51.690,5,10.550,52.230,6,10.610,52.280,2,10.360,51.750,4,10.580,51.940,3,10.660,51.910,2007-2008,"Samsung ISU World Cup 2007/2008, China, Harbin",1500m(2),m,Heats,4
2,10.330,1:02.030,5,10.150,1:02.390,6,10.120,1:02.410,1,10.200,1:01.960,4,10.150,1:02.090,3,10.130,1:02.050,2007-2008,"Samsung ISU World Cup 2007/2008, China, Harbin",1500m(2),m,Heats,4
2,10.320,1:12.360,6,10.490,1:12.880,5,10.380,1:12.790,1,10.250,1:12.210,4,10.470,1:12.570,3,10.430,1:12.490,2007-2008,"Samsung ISU World Cup 2007/2008, China, Harbin",1500m(2),m,Heats,4
3,10.310,1:22.670,4,10.100,1:22.990,6,10.230,1:23.030,5,10.790,1:23.010,1,10.030,1:22.600,2,10.160,1:22.660,2007-2008,"Samsung ISU World Cup 2007/2008, China, Harbin",1500m(2),m,Heats,4
4,9.790,1:32.470,5,9.480,1:32.480,6,9.690,1:32.720,1,9.150,1:32.160,3,9.670,1:32.280,2,9.590,1:32.250,2007-2008,"Samsung ISU World Cup 2007/2008, China, Harbin",1500m(2),m,Heats,4
4,9.560,1:42.030,5,9.620,1:42.100,6,9.540,1:42.270,1,9.300,1:41.460,2,9.420,1:41.700,3,9.550,1:41.800,2007-2008,"Samsung ISU World Cup 2007/2008, China, Harbin",1500m(2),m,Heats,4
5,9.850,1:51.880,3,9.130,1:51.240,6,9.890,1:52.170,4,10.050,1:51.520,2,9.300,1:51.010,1,9.120,1:50.930,2007-2008,"Samsung ISU World Cup 2007/2008, China, Harbin",1500m(2),m,Heats,4
5,10.300,2:02.190,4,9.210,2:00.460,6,10.340,2:02.510,1,8.730,2:00.250,3,9.270,2:00.290,2,9.350,2:00.280,2007-2008,"Samsung ISU World Cup 2007/2008, China, Harbin",1500m(2),m,Heats,4
5,10.570,2:12.760,4,9.590,2:10.050,6,10.350,2:12.870,2,9.640,2:09.890,1,9.240,2:09.530,3,9.650,2:09.930,2007-2008,"Samsung ISU World Cup 2007/2008, China, Harbin",1500m(2),m,Heats,4
5,10.800,2:23.570,4,9.540,2:19.600,6,10.870,2:23.740,3,9.530,2:19.430,1,9.640,2:19.180,2,9.420,2:19.360,2007-2008,"Samsung ISU World Cup 2007/2008, China, Harbin",1500m(2),m,Heats,4
