START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
6,9.40,9.40,5,9.15,9.15,3,8.68,8.68,2,8.57,8.57,4,8.91,8.91,1,8.56,8.56,2019-2020,"ISU World Cup 2019/20 - Salt Lake City, UT (USA)",1500m,m,Quarterfinals,6
6,10.69,20.09,5,10.81,19.96,3,10.91,19.59,2,10.95,19.52,4,10.90,19.81,1,10.86,19.42,2019-2020,"ISU World Cup 2019/20 - Salt Lake City, UT (USA)",1500m,m,Quarterfinals,6
6,10.18,30.27,5,10.19,30.15,3,10.37,29.96,2,10.32,29.84,4,10.23,30.04,1,10.32,29.74,2019-2020,"ISU World Cup 2019/20 - Salt Lake City, UT (USA)",1500m,m,Quarterfinals,6
6,10.43,40.70,5,10.45,40.60,3,10.34,40.30,2,10.37,40.21,4,10.42,40.46,1,10.44,40.18,2019-2020,"ISU World Cup 2019/20 - Salt Lake City, UT (USA)",1500m,m,Quarterfinals,6
5,9.58,50.28,6,9.80,50.40,3,9.65,49.95,1,9.72,49.93,4,9.68,50.14,1,9.75,49.93,2019-2020,"ISU World Cup 2019/20 - Salt Lake City, UT (USA)",1500m,m,Quarterfinals,6
5,9.49,59.77,6,9.50,59.90,1,9.38,59.33,3,9.58,59.51,4,9.52,59.66,2,9.49,59.42,2019-2020,"ISU World Cup 2019/20 - Salt Lake City, UT (USA)",1500m,m,Quarterfinals,6
4,9.40,1:09.17,6,9.45,1:09.35,1,9.61,1:08.94,3,9.60,1:09.11,5,9.53,1:09.19,2,9.62,1:09.04,2019-2020,"ISU World Cup 2019/20 - Salt Lake City, UT (USA)",1500m,m,Quarterfinals,6
4,9.83,1:19.00,5,9.74,1:19.09,1,9.81,1:18.75,3,9.79,1:18.90,6,9.92,1:19.11,2,9.72,1:18.76,2019-2020,"ISU World Cup 2019/20 - Salt Lake City, UT (USA)",1500m,m,Quarterfinals,6
4,9.51,1:28.51,3,9.29,1:28.38,5,9.87,1:28.62,2,9.42,1:28.32,6,9.81,1:28.92,1,9.46,1:28.22,2019-2020,"ISU World Cup 2019/20 - Salt Lake City, UT (USA)",1500m,m,Quarterfinals,6
4,9.43,1:37.94,3,9.43,1:37.81,5,9.94,1:38.56,1,9.37,1:37.69,6,9.88,1:38.80,2,9.49,1:37.71,2019-2020,"ISU World Cup 2019/20 - Salt Lake City, UT (USA)",1500m,m,Quarterfinals,6
4,9.30,1:47.24,2,9.25,1:47.06,5,9.95,1:48.51,1,9.27,1:46.96,6,10.08,1:48.88,3,9.42,1:47.13,2019-2020,"ISU World Cup 2019/20 - Salt Lake City, UT (USA)",1500m,m,Quarterfinals,6
3,9.06,1:56.30,2,9.20,1:56.26,5,10.38,1:58.89,1,9.16,1:56.12,6,10.44,1:59.32,4,9.20,1:56.33,2019-2020,"ISU World Cup 2019/20 - Salt Lake City, UT (USA)",1500m,m,Quarterfinals,6
2,9.00,2:05.30,3,9.14,2:05.40,5,10.59,2:09.48,1,9.10,2:05.22,6,10.84,2:10.16,4,9.19,2:05.52,2019-2020,"ISU World Cup 2019/20 - Salt Lake City, UT (USA)",1500m,m,Quarterfinals,6
2,9.15,2:14.45,3,9.57,2:14.97,5,10.89,2:20.37,1,9.19,2:14.41,6,11.30,2:21.46,4,9.55,2:15.07,2019-2020,"ISU World Cup 2019/20 - Salt Lake City, UT (USA)",1500m,m,Quarterfinals,6
