START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,season,competition,event,gender,round,race
1,12.09,12.09,3,12.43,12.43,4,12.79,12.79,2,12.24,12.24,2014-2015,ISU World Cup 2014/15 - Montreal (CAN),1500m,m,RepHeats,1
1,15.68,27.77,3,15.65,28.08,4,15.42,28.21,2,15.63,27.87,2014-2015,ISU World Cup 2014/15 - Montreal (CAN),1500m,m,RepHeats,1
1,13.99,41.76,3,13.87,41.95,4,13.91,42.12,2,13.97,41.84,2014-2015,ISU World Cup 2014/15 - Montreal (CAN),1500m,m,RepHeats,1
2,13.47,55.23,1,13.21,55.16,3,13.21,55.33,4,13.51,55.35,2014-2015,ISU World Cup 2014/15 - Montreal (CAN),1500m,m,RepHeats,1
3,12.29,1:07.52,1,12.16,1:07.32,2,12.10,1:07.43,4,12.30,1:07.65,2014-2015,ISU World Cup 2014/15 - Montreal (CAN),1500m,m,RepHeats,1
3,11.96,1:19.48,2,12.14,1:19.46,1,11.92,1:19.35,4,11.85,1:19.50,2014-2015,ISU World Cup 2014/15 - Montreal (CAN),1500m,m,RepHeats,1
2,10.77,1:30.25,4,10.89,1:30.35,3,10.96,1:30.31,1,10.67,1:30.17,2014-2015,ISU World Cup 2014/15 - Montreal (CAN),1500m,m,RepHeats,1
3,10.56,1:40.81,1,10.21,1:40.56,4,10.62,1:40.93,2,10.55,1:40.72,2014-2015,ISU World Cup 2014/15 - Montreal (CAN),1500m,m,RepHeats,1
3,9.83,1:50.64,1,9.89,1:50.45,2,9.57,1:50.50,4,9.95,1:50.67,2014-2015,ISU World Cup 2014/15 - Montreal (CAN),1500m,m,RepHeats,1
3,9.51,2:00.15,1,9.47,1:59.92,2,9.47,1:59.97,4,9.58,2:00.25,2014-2015,ISU World Cup 2014/15 - Montreal (CAN),1500m,m,RepHeats,1
3,9.20,2:09.35,1,9.26,2:09.18,2,9.33,2:09.30,4,9.27,2:09.52,2014-2015,ISU World Cup 2014/15 - Montreal (CAN),1500m,m,RepHeats,1
1,8.86,2:18.21,2,9.03,2:18.21,3,9.20,2:18.50,4,9.17,2:18.69,2014-2015,ISU World Cup 2014/15 - Montreal (CAN),1500m,m,RepHeats,1
1,9.04,2:27.25,2,9.14,2:27.35,3,9.21,2:27.71,4,9.34,2:28.03,2014-2015,ISU World Cup 2014/15 - Montreal (CAN),1500m,m,RepHeats,1
1,9.26,2:36.508,2,9.42,2:36.762,3,9.59,2:37.299,4,10.07,2:38.097,2014-2015,ISU World Cup 2014/15 - Montreal (CAN),1500m,m,RepHeats,1
