START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,START_POS_7 POSITION,START_POS_7 LAP TIME,START_POS_7 ELAPSED TIME,season,competition,event,gender,round,race
2,11.81,11.81,6,12.14,12.14,7,12.32,12.32,1,11.80,,4,11.95,11.95,5,12.12,12.12,3,11.85,11.85,2016-2017,ISU World Short Track Championships 2017,1500m,w,Semifinals,1
4,16.35,28.16,5,16.26,28.40,6,16.24,28.56,2,16.10,,3,16.10,28.05,7,16.62,28.74,1,15.80,27.65,2016-2017,ISU World Short Track Championships 2017,1500m,w,Semifinals,1
1,13.33,41.49,5,13.83,42.23,6,13.76,42.32,3,14.06,,4,14.01,42.06,7,13.73,42.47,2,14.13,41.78,2016-2017,ISU World Short Track Championships 2017,1500m,w,Semifinals,1
1,13.35,54.84,1,12.61,54.84,7,13.08,55.40,6,13.30,,3,12.91,54.97,4,12.66,55.13,5,13.36,55.14,2016-2017,ISU World Short Track Championships 2017,1500m,w,Semifinals,1
1,11.76,1:06.60,3,11.90,1:06.74,7,11.86,1:07.26,5,11.72,,4,11.85,1:06.82,6,12.02,1:07.15,2,11.47,1:06.61,2016-2017,ISU World Short Track Championships 2017,1500m,w,Semifinals,1
1,11.10,1:17.70,4,11.13,1:17.87,7,10.97,1:18.23,3,10.81,,5,11.22,1:18.04,6,10.97,1:18.12,2,11.12,1:17.73,2016-2017,ISU World Short Track Championships 2017,1500m,w,Semifinals,1
1,10.83,1:28.53,4,11.08,1:28.95,7,11.02,1:29.25,2,10.92,,5,11.05,1:29.09,6,11.04,1:29.16,3,11.12,1:28.85,2016-2017,ISU World Short Track Championships 2017,1500m,w,Semifinals,1
1,11.26,1:39.79,5,11.11,1:40.06,7,11.00,1:40.25,2,11.17,,3,10.93,1:40.02,6,10.94,1:40.10,3,11.17,1:40.02,2016-2017,ISU World Short Track Championships 2017,1500m,w,Semifinals,1
2,9.63,1:49.42,7,9.96,1:50.02,6,9.67,1:49.92,4,9.75,,1,9.36,1:49.38,3,9.40,1:49.50,5,9.87,1:49.89,2016-2017,ISU World Short Track Championships 2017,1500m,w,Semifinals,1
2,9.27,1:58.69,7,9.23,1:59.25,5,9.12,1:59.04,4,9.27,,1,9.22,1:58.60,3,9.30,1:58.80,6,9.32,1:59.21,2016-2017,ISU World Short Track Championships 2017,1500m,w,Semifinals,1
2,9.36,2:08.05,5,9.15,2:08.40,6,9.39,2:08.43,4,9.40,,1,9.41,2:08.01,3,9.36,2:08.16,7,9.47,2:08.68,2016-2017,ISU World Short Track Championships 2017,1500m,w,Semifinals,1
2,9.50,2:17.55,4,9.37,2:17.77,6,9.51,2:17.94,3,9.37,,1,9.42,2:17.43,5,9.65,2:17.81,7,9.73,2:18.41,2016-2017,ISU World Short Track Championships 2017,1500m,w,Semifinals,1
2,9.35,2:26.90,3,9.20,2:26.97,6,9.48,2:27.42,4,9.35,,1,9.36,2:26.79,5,9.33,2:27.14,7,10.39,2:28.80,2016-2017,ISU World Short Track Championships 2017,1500m,w,Semifinals,1
3,9.65,2:36.534,2,9.42,2:36.375,4,9.71,2:37.127,4,9.59,,1,9.46,2:36.243,6,12.16,2:41.588,5,11.43,2:40.212,2016-2017,ISU World Short Track Championships 2017,1500m,w,Semifinals,1
