START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,season,competition,event,gender,round,race
2,8.90,8.90,4,9.10,9.10,5,9.35,9.35,3,9.04,9.04,1,8.90,8.90,2008-2009,"Samsung ISU World Cup 2008/2009, GER, Dresden",1500m,m,Heats,7
2,12.90,21.81,3,12.79,21.89,5,12.98,22.34,4,13.02,22.07,1,12.68,21.58,2008-2009,"Samsung ISU World Cup 2008/2009, GER, Dresden",1500m,m,Heats,7
4,12.55,34.36,2,12.31,34.21,5,12.02,34.37,1,12.08,34.16,3,12.64,34.22,2008-2009,"Samsung ISU World Cup 2008/2009, GER, Dresden",1500m,m,Heats,7
2,11.18,45.54,3,11.37,45.58,4,11.30,45.67,1,11.23,45.39,5,11.44,45.67,2008-2009,"Samsung ISU World Cup 2008/2009, GER, Dresden",1500m,m,Heats,7
4,11.37,56.91,3,11.11,56.69,2,10.88,56.55,1,11.09,56.49,5,11.23,56.91,2008-2009,"Samsung ISU World Cup 2008/2009, GER, Dresden",1500m,m,Heats,7
1,10.18,1:07.09,3,10.54,1:07.24,4,10.71,1:07.26,2,10.73,1:07.23,5,10.54,1:07.46,2008-2009,"Samsung ISU World Cup 2008/2009, GER, Dresden",1500m,m,Heats,7
2,10.01,1:17.10,3,10.00,1:17.24,4,10.02,1:17.28,1,9.85,1:17.08,5,9.90,1:17.36,2008-2009,"Samsung ISU World Cup 2008/2009, GER, Dresden",1500m,m,Heats,7
2,9.76,1:26.87,5,9.89,1:27.13,3,9.74,1:27.03,1,9.56,1:26.64,4,9.75,1:27.11,2008-2009,"Samsung ISU World Cup 2008/2009, GER, Dresden",1500m,m,Heats,7
2,9.49,1:36.36,3,9.40,1:36.53,4,9.54,1:36.57,1,9.39,1:36.04,5,9.55,1:36.66,2008-2009,"Samsung ISU World Cup 2008/2009, GER, Dresden",1500m,m,Heats,7
2,9.46,1:45.82,4,9.50,1:46.03,3,9.40,1:45.97,1,9.53,1:45.57,5,9.51,1:46.18,2008-2009,"Samsung ISU World Cup 2008/2009, GER, Dresden",1500m,m,Heats,7
2,9.16,1:54.99,4,9.20,1:55.24,3,9.23,1:55.21,1,9.23,1:54.81,5,9.98,1:56.16,2008-2009,"Samsung ISU World Cup 2008/2009, GER, Dresden",1500m,m,Heats,7
2,9.16,2:04.15,3,8.92,2:04.17,4,9.04,2:04.25,1,9.11,2:03.92,5,10.61,2:06.78,2008-2009,"Samsung ISU World Cup 2008/2009, GER, Dresden",1500m,m,Heats,7
2,9.31,2:13.46,5,19.54,2:23.71,3,9.27,2:13.53,1,9.32,2:13.24,4,11.33,2:18.12,2008-2009,"Samsung ISU World Cup 2008/2009, GER, Dresden",1500m,m,Heats,7
1,9.58,2:23.035,3,0.13,2:23.836,0,,DQ,2,9.81,2:23.045,4,12.41,2:30.529,2008-2009,"Samsung ISU World Cup 2008/2009, GER, Dresden",1500m,m,Heats,7
