START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,season,competition,event,gender,round,race
1,10.05,10.05,3,10.54,10.54,4,10.74,10.74,2,10.39,10.39,2015-2016,ISU Shanghai Trophy 2016,1500m,m,Heats,2
1,12.99,23.04,3,12.73,23.27,4,12.63,23.37,2,12.80,23.19,2015-2016,ISU Shanghai Trophy 2016,1500m,m,Heats,2
1,12.02,35.06,3,12.08,35.35,4,12.10,35.47,2,12.04,35.23,2015-2016,ISU Shanghai Trophy 2016,1500m,m,Heats,2
1,11.91,46.97,3,11.91,47.26,4,11.89,47.36,2,11.90,47.13,2015-2016,ISU Shanghai Trophy 2016,1500m,m,Heats,2
1,11.88,58.85,3,11.85,59.11,4,11.88,59.24,2,11.87,59.00,2015-2016,ISU Shanghai Trophy 2016,1500m,m,Heats,2
1,11.80,1:10.65,3,11.80,1:10.91,4,11.78,1:11.02,2,11.82,1:10.82,2015-2016,ISU Shanghai Trophy 2016,1500m,m,Heats,2
1,11.48,1:22.13,3,11.47,1:22.38,4,11.47,1:22.49,2,11.45,1:22.27,2015-2016,ISU Shanghai Trophy 2016,1500m,m,Heats,2
4,11.22,1:33.35,1,10.57,1:32.95,2,10.58,1:33.07,3,11.03,1:33.30,2015-2016,ISU Shanghai Trophy 2016,1500m,m,Heats,2
4,11.28,1:44.63,2,10.06,1:43.01,1,9.91,1:42.98,3,9.94,1:43.24,2015-2016,ISU Shanghai Trophy 2016,1500m,m,Heats,2
4,11.82,1:56.45,2,9.63,1:52.64,1,9.51,1:52.49,3,9.56,1:52.80,2015-2016,ISU Shanghai Trophy 2016,1500m,m,Heats,2
4,12.15,2:08.60,2,8.97,2:01.61,1,8.98,2:01.47,3,8.93,2:01.73,2015-2016,ISU Shanghai Trophy 2016,1500m,m,Heats,2
4,13.07,2:21.67,2,8.67,2:10.28,1,8.63,2:10.10,3,8.66,2:10.39,2015-2016,ISU Shanghai Trophy 2016,1500m,m,Heats,2
4,12.31,2:33.98,3,8.79,2:19.07,1,8.69,2:18.79,2,8.59,2:18.98,2015-2016,ISU Shanghai Trophy 2016,1500m,m,Heats,2
4,12.54,2:46.492,3,8.99,2:28.06,1,8.79,2:27.58,2,8.80,2:27.78,2015-2016,ISU Shanghai Trophy 2016,1500m,m,Heats,2
