START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,START_POS_7 POSITION,START_POS_7 LAP TIME,START_POS_7 ELAPSED TIME,season,competition,event,gender,round,race
1,9.05,,3,9.33,9.33,5,9.71,9.71,4,9.57,9.57,2,9.18,9.18,7,9.85,9.85,6,9.78,9.78,2017-2018,Audi ISU World Cup 2017/18 - Seoul (KOR),1500m,w,Heats,7
1,12.98,,3,12.94,22.27,6,12.99,22.70,5,12.97,22.54,2,12.98,22.16,7,12.91,22.76,4,12.64,22.42,2017-2018,Audi ISU World Cup 2017/18 - Seoul (KOR),1500m,w,Heats,7
1,12.38,,3,12.37,34.64,4,12.02,34.72,6,12.39,34.93,2,12.38,34.54,7,12.29,35.05,5,12.37,34.79,2017-2018,Audi ISU World Cup 2017/18 - Seoul (KOR),1500m,w,Heats,7
2,11.00,,4,10.94,45.58,1,10.59,45.31,6,10.91,45.84,3,10.94,45.48,7,10.91,45.96,5,10.89,45.68,2017-2018,Audi ISU World Cup 2017/18 - Seoul (KOR),1500m,w,Heats,7
1,11.20,,5,11.25,56.83,2,11.33,56.64,4,10.89,56.73,3,11.21,56.69,6,10.88,56.84,7,11.24,56.92,2017-2018,Audi ISU World Cup 2017/18 - Seoul (KOR),1500m,w,Heats,7
3,9.90,,7,10.03,1:06.86,6,10.11,1:06.75,1,9.61,1:06.34,4,9.93,1:06.62,2,9.59,1:06.43,5,9.71,1:06.63,2017-2018,Audi ISU World Cup 2017/18 - Seoul (KOR),1500m,w,Heats,7
3,9.89,,7,9.80,1:16.66,6,9.88,1:16.63,1,9.87,1:16.21,5,9.85,1:16.47,2,9.88,1:16.31,4,9.79,1:16.42,2017-2018,Audi ISU World Cup 2017/18 - Seoul (KOR),1500m,w,Heats,7
3,10.08,,7,10.14,1:26.80,4,9.97,1:26.60,1,10.04,1:26.25,5,10.14,1:26.61,2,10.08,1:26.39,6,10.32,1:26.74,2017-2018,Audi ISU World Cup 2017/18 - Seoul (KOR),1500m,w,Heats,7
3,10.06,,7,10.21,1:37.01,4,10.05,1:36.65,1,10.07,1:36.32,5,10.12,1:36.73,2,10.06,1:36.45,6,10.19,1:36.93,2017-2018,Audi ISU World Cup 2017/18 - Seoul (KOR),1500m,w,Heats,7
3,9.96,,7,9.95,1:46.96,4,9.97,1:46.62,1,10.08,1:46.40,5,9.97,1:46.70,2,9.99,1:46.44,6,9.95,1:46.88,2017-2018,Audi ISU World Cup 2017/18 - Seoul (KOR),1500m,w,Heats,7
7,23.93,,6,9.80,1:56.76,3,9.66,1:56.28,2,9.77,1:56.17,4,9.78,1:56.48,1,9.60,1:56.04,5,9.77,1:56.65,2017-2018,Audi ISU World Cup 2017/18 - Seoul (KOR),1500m,w,Heats,7
7,11.85,,6,9.76,2:06.52,2,9.69,2:05.97,3,9.83,2:06.00,4,9.75,2:06.23,1,9.84,2:05.88,5,9.79,2:06.44,2017-2018,Audi ISU World Cup 2017/18 - Seoul (KOR),1500m,w,Heats,7
7,11.17,,6,10.22,2:16.74,3,9.93,2:15.90,1,9.71,2:15.71,4,9.92,2:16.15,2,9.88,2:15.76,5,10.28,2:16.72,2017-2018,Audi ISU World Cup 2017/18 - Seoul (KOR),1500m,w,Heats,7
7,14.97,,5,10.15,2:26.874,3,10.12,2:26.002,1,9.49,2:25.198,4,10.18,2:26.318,2,9.82,2:25.569,6,10.89,2:27.592,2017-2018,Audi ISU World Cup 2017/18 - Seoul (KOR),1500m,w,Heats,7
