START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,season,competition,event,gender,round,race
5,8.53,8.53,3,8.24,8.24,1,7.88,7.88,4,8.52,8.52,2,8.19,8.19,2008-2009,"Samsung ISU World Cup 2008/2009, CHN, Beijing",1500m,m,RepQuarterfinals,1
4,11.44,19.98,2,11.42,19.66,1,11.60,19.48,5,11.63,20.15,3,11.47,19.66,2008-2009,"Samsung ISU World Cup 2008/2009, CHN, Beijing",1500m,m,RepQuarterfinals,1
4,10.96,30.94,3,10.89,30.56,1,10.86,30.35,5,10.97,31.13,2,10.89,30.55,2008-2009,"Samsung ISU World Cup 2008/2009, CHN, Beijing",1500m,m,RepQuarterfinals,1
4,10.83,41.78,2,10.89,41.45,1,10.97,41.33,5,10.82,41.95,3,10.90,41.46,2008-2009,"Samsung ISU World Cup 2008/2009, CHN, Beijing",1500m,m,RepQuarterfinals,1
4,10.70,52.48,1,10.64,52.10,2,10.79,52.12,5,10.75,52.71,3,10.75,52.22,2008-2009,"Samsung ISU World Cup 2008/2009, CHN, Beijing",1500m,m,RepQuarterfinals,1
4,10.69,1:03.18,3,10.76,1:02.87,1,10.60,1:02.73,5,10.53,1:03.24,2,10.62,1:02.84,2008-2009,"Samsung ISU World Cup 2008/2009, CHN, Beijing",1500m,m,RepQuarterfinals,1
4,10.53,1:13.71,2,10.44,1:13.31,1,10.27,1:13.00,5,10.63,1:13.88,3,10.53,1:13.37,2008-2009,"Samsung ISU World Cup 2008/2009, CHN, Beijing",1500m,m,RepQuarterfinals,1
4,10.20,1:23.91,2,10.20,1:23.51,1,10.46,1:23.47,5,10.21,1:24.09,3,10.22,1:23.60,2008-2009,"Samsung ISU World Cup 2008/2009, CHN, Beijing",1500m,m,RepQuarterfinals,1
4,10.04,1:33.96,3,10.18,1:33.70,1,9.90,1:33.37,5,10.12,1:34.21,2,10.00,1:33.60,2008-2009,"Samsung ISU World Cup 2008/2009, CHN, Beijing",1500m,m,RepQuarterfinals,1
5,17.19,1:51.15,2,9.29,1:42.99,1,9.59,1:42.96,4,9.45,1:43.67,3,9.71,1:43.31,2008-2009,"Samsung ISU World Cup 2008/2009, CHN, Beijing",1500m,m,RepQuarterfinals,1
5,10.20,2:01.35,2,9.75,1:52.75,1,9.47,1:52.43,4,9.66,1:53.33,3,9.64,1:52.96,2008-2009,"Samsung ISU World Cup 2008/2009, CHN, Beijing",1500m,m,RepQuarterfinals,1
5,9.18,2:10.54,1,9.64,2:02.39,2,9.97,2:02.41,4,9.68,2:03.02,3,9.54,2:02.51,2008-2009,"Samsung ISU World Cup 2008/2009, CHN, Beijing",1500m,m,RepQuarterfinals,1
5,9.42,2:19.97,3,9.69,2:12.09,1,9.41,2:11.82,4,9.59,2:12.62,2,9.54,2:12.05,2008-2009,"Samsung ISU World Cup 2008/2009, CHN, Beijing",1500m,m,RepQuarterfinals,1
5,9.83,2:29.792,1,9.41,2:21.498,2,9.91,2:21.724,4,9.83,2:22.447,3,10.02,2:22.070,2008-2009,"Samsung ISU World Cup 2008/2009, CHN, Beijing",1500m,m,RepQuarterfinals,1
