START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,season,competition,event,gender,round,race
2,8.174,8.174,3,8.244,8.244,4,8.471,8.471,1,7.924,7.924,5,8.779,8.779,2002-2003,2002 World Cup 4 Italy,1500M,m,Heats,3
2,10.177,18.350,3,10.215,18.459,4,10.101,18.571,1,10.230,18.153,5,10.051,18.829,2002-2003,2002 World Cup 4 Italy,1500M,m,Heats,3
1,10.257,28.606,3,10.188,28.646,4,10.301,28.871,2,10.456,28.609,5,10.229,29.058,2002-2003,2002 World Cup 4 Italy,1500M,m,Heats,3
2,10.406,39.011,3,10.446,39.092,4,10.422,39.293,1,10.293,38.901,5,10.429,39.487,2002-2003,2002 World Cup 4 Italy,1500M,m,Heats,3
1,9.774,48.785,3,9.831,48.923,4,9.780,49.073,2,9.915,48.816,5,9.799,49.285,2002-2003,2002 World Cup 4 Italy,1500M,m,Heats,3
2,9.729,58.513,3,9.691,58.613,4,9.625,58.698,1,9.604,58.419,5,9.600,58.884,2002-2003,2002 World Cup 4 Italy,1500M,m,Heats,3
1,9.625,1:08.137,3,9.619,1:08.232,5,9.735,1:08.432,2,9.774,1:08.193,4,9.535,1:08.419,2002-2003,2002 World Cup 4 Italy,1500M,m,Heats,3
4,9.652,1:17.789,2,9.430,1:17.661,5,9.646,1:18.078,3,9.591,1:17.784,1,9.179,1:17.597,2002-2003,2002 World Cup 4 Italy,1500M,m,Heats,3
3,9.619,1:27.408,2,9.583,1:27.244,5,9.727,1:27.804,4,9.767,1:27.550,1,9.535,1:27.131,2002-2003,2002 World Cup 4 Italy,1500M,m,Heats,3
3,9.536,1:36.943,1,9.606,1:36.850,5,9.957,1:37.760,4,9.573,1:37.123,2,9.796,1:36.926,2002-2003,2002 World Cup 4 Italy,1500M,m,Heats,3
3,9.552,1:46.495,2,9.574,1:46.423,5,10.498,1:48.258,4,9.571,1:46.694,1,9.472,1:46.397,2002-2003,2002 World Cup 4 Italy,1500M,m,Heats,3
3,9.393,1:55.888,1,9.280,1:55.703,5,11.045,1:59.302,4,9.320,1:56.013,2,9.321,1:55.718,2002-2003,2002 World Cup 4 Italy,1500M,m,Heats,3
3,9.355,2:05.243,1,9.107,2:04.809,5,11.498,2:10.800,4,9.449,2:05.462,2,9.468,2:05.185,2002-2003,2002 World Cup 4 Italy,1500M,m,Heats,3
3,9.53,2:14.764,1,9.31,2:14.114,5,11.91,2:22.709,4,9.55,2:15.006,2,9.36,2:14.540,2002-2003,2002 World Cup 4 Italy,1500M,m,Heats,3
