START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
3,7.932,7.932,2,7.896,7.896,4,8.089,8.089,5,8.261,8.261,1,7.871,7.871,6,8.270,8.270,2007-2008,"Samsung ISU World Cup 2007/2008, USA, Salt Lake City",1500m,m,Semifinals,1
4,11.164,19.096,3,11.092,18.988,1,10.724,18.814,6,10.922,19.183,2,10.984,18.855,5,10.888,19.158,2007-2008,"Samsung ISU World Cup 2007/2008, USA, Salt Lake City",1500m,m,Semifinals,1
4,10.151,29.247,2,10.107,29.095,3,10.382,29.195,6,10.240,29.422,1,10.225,29.081,5,10.094,29.252,2007-2008,"Samsung ISU World Cup 2007/2008, USA, Salt Lake City",1500m,m,Semifinals,1
4,9.716,38.963,3,9.785,38.880,1,9.373,38.568,5,9.667,39.090,2,9.752,38.833,6,9.864,39.116,2007-2008,"Samsung ISU World Cup 2007/2008, USA, Salt Lake City",1500m,m,Semifinals,1
4,9.303,48.266,3,9.224,48.103,1,9.350,47.918,2,8.854,47.943,5,9.502,48.335,6,9.398,48.513,2007-2008,"Samsung ISU World Cup 2007/2008, USA, Salt Lake City",1500m,m,Semifinals,1
2,8.685,56.951,1,8.654,56.757,6,12.202,1:00.119,3,9.268,57.211,5,9.093,57.428,4,8.824,57.337,2007-2008,"Samsung ISU World Cup 2007/2008, USA, Salt Lake City",1500m,m,Semifinals,1
4,9.603,1:06.554,3,9.792,1:06.549,1,6.149,1:06.268,2,9.168,1:06.379,5,9.202,1:06.630,6,9.330,1:06.667,2007-2008,"Samsung ISU World Cup 2007/2008, USA, Salt Lake City",1500m,m,Semifinals,1
1,8.807,1:15.361,6,9.369,1:15.918,2,9.127,1:15.395,3,9.099,1:15.478,4,9.159,1:15.788,5,9.230,1:15.897,2007-2008,"Samsung ISU World Cup 2007/2008, USA, Salt Lake City",1500m,m,Semifinals,1
1,9.478,1:24.839,5,9.402,1:25.320,3,9.581,1:24.976,2,9.394,1:24.872,4,9.413,1:25.201,6,9.571,1:25.467,2007-2008,"Samsung ISU World Cup 2007/2008, USA, Salt Lake City",1500m,m,Semifinals,1
1,9.505,1:34.344,5,9.440,1:34.760,3,9.494,1:34.470,2,9.489,1:34.361,4,9.530,1:34.730,6,9.394,1:34.861,2007-2008,"Samsung ISU World Cup 2007/2008, USA, Salt Lake City",1500m,m,Semifinals,1
2,9.319,1:43.663,4,9.336,1:44.097,3,9.460,1:43.931,1,9.263,1:43.624,5,9.405,1:44.136,6,9.388,1:44.250,2007-2008,"Samsung ISU World Cup 2007/2008, USA, Salt Lake City",1500m,m,Semifinals,1
1,9.006,1:52.669,3,9.477,1:53.573,4,10.195,1:54.125,2,9.054,1:52.678,6,10.195,1:54.330,5,10.028,1:54.278,2007-2008,"Samsung ISU World Cup 2007/2008, USA, Salt Lake City",1500m,m,Semifinals,1
2,9.152,2:01.821,3,9.510,2:03.083,6,11.099,2:05.224,1,8.992,2:01.670,5,10.802,2:05.132,4,9.424,2:03.702,2007-2008,"Samsung ISU World Cup 2007/2008, USA, Salt Lake City",1500m,m,Semifinals,1
2,9.306,2:11.128,3,9.820,2:12.903,5,10.960,2:16.184,1,9.238,2:10.907,6,11.939,2:17.071,4,10.020,2:13.722,2007-2008,"Samsung ISU World Cup 2007/2008, USA, Salt Lake City",1500m,m,Semifinals,1
