START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,season,competition,event,gender,round,race
5,10.47,10.47,3,10.33,10.33,2,10.07,10.07,4,10.43,10.43,1,9.92,9.92,2013-2014,"ISU World Cup 2013/2014, Torino (ITA)",1500m,m,Preliminaries,14
3,14.01,24.48,4,14.15,24.48,2,14.26,24.33,5,14.15,24.58,1,14.28,24.20,2013-2014,"ISU World Cup 2013/2014, Torino (ITA)",1500m,m,Preliminaries,14
1,12.16,36.64,4,12.52,37.00,3,12.56,36.89,5,12.55,37.13,2,12.57,36.77,2013-2014,"ISU World Cup 2013/2014, Torino (ITA)",1500m,m,Preliminaries,14
1,12.19,48.83,4,12.21,49.21,3,12.20,49.09,5,12.21,49.34,2,12.19,48.96,2013-2014,"ISU World Cup 2013/2014, Torino (ITA)",1500m,m,Preliminaries,14
1,12.39,1:01.22,4,12.36,1:01.57,3,12.39,1:01.48,5,12.35,1:01.69,2,12.38,1:01.34,2013-2014,"ISU World Cup 2013/2014, Torino (ITA)",1500m,m,Preliminaries,14
1,11.89,1:13.11,3,11.78,1:13.35,5,12.00,1:13.48,4,11.71,1:13.40,2,11.87,1:13.21,2013-2014,"ISU World Cup 2013/2014, Torino (ITA)",1500m,m,Preliminaries,14
2,10.43,1:23.54,4,10.46,1:23.81,5,10.42,1:23.90,1,10.00,1:23.40,3,10.42,1:23.63,2013-2014,"ISU World Cup 2013/2014, Torino (ITA)",1500m,m,Preliminaries,14
2,10.14,1:33.68,4,10.20,1:34.01,5,10.19,1:34.09,1,10.20,1:33.60,3,10.17,1:33.80,2013-2014,"ISU World Cup 2013/2014, Torino (ITA)",1500m,m,Preliminaries,14
2,10.07,1:43.75,4,10.03,1:44.04,5,10.08,1:44.17,1,10.06,1:43.66,3,10.09,1:43.89,2013-2014,"ISU World Cup 2013/2014, Torino (ITA)",1500m,m,Preliminaries,14
2,9.79,1:53.54,4,9.76,1:53.80,5,9.80,1:53.97,1,9.80,1:53.46,3,9.67,1:53.56,2013-2014,"ISU World Cup 2013/2014, Torino (ITA)",1500m,m,Preliminaries,14
3,9.90,2:03.44,4,9.93,2:03.73,5,9.78,2:03.75,1,9.59,2:03.05,2,9.76,2:03.32,2013-2014,"ISU World Cup 2013/2014, Torino (ITA)",1500m,m,Preliminaries,14
2,9.53,2:12.97,5,27.70,2:31.43,4,9.95,2:13.70,1,9.66,2:12.71,3,9.65,2:12.97,2013-2014,"ISU World Cup 2013/2014, Torino (ITA)",1500m,m,Preliminaries,14
2,9.28,2:22.25,5,14.16,2:45.59,4,10.34,2:24.04,1,9.42,2:22.13,3,10.00,2:22.97,2013-2014,"ISU World Cup 2013/2014, Torino (ITA)",1500m,m,Preliminaries,14
2,9.47,2:31.719,5,12.13,2:57.711,4,10.77,2:34.804,1,9.39,2:31.513,3,10.78,2:33.748,2013-2014,"ISU World Cup 2013/2014, Torino (ITA)",1500m,m,Preliminaries,14
