START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,START_POS_7 POSITION,START_POS_7 LAP TIME,START_POS_7 ELAPSED TIME,season,competition,event,gender,round,race
1,8.81,8.81,3,8.97,8.97,5,9.14,9.14,6,9.27,9.27,2,8.95,,4,9.12,9.12,7,9.42,9.42,2015-2016,ISU World Cup 2015/16 - Shanghai (CHN),1500m(1),m,Semifinals,1
3,12.13,20.94,4,12.09,21.06,6,12.10,21.24,5,11.87,21.14,1,11.85,,2,11.75,20.87,7,11.90,21.32,2015-2016,ISU World Cup 2015/16 - Shanghai (CHN),1500m(1),m,Semifinals,1
4,10.66,31.60,6,10.75,31.81,7,10.70,31.94,2,10.27,31.41,3,10.72,,5,10.83,31.70,1,10.01,31.33,2015-2016,ISU World Cup 2015/16 - Shanghai (CHN),1500m(1),m,Semifinals,1
5,10.43,42.03,1,9.93,41.74,7,10.35,42.29,3,10.45,41.86,4,10.44,,6,10.43,42.13,2,10.44,41.77,2015-2016,ISU World Cup 2015/16 - Shanghai (CHN),1500m(1),m,Semifinals,1
5,9.86,51.89,1,9.78,51.52,7,9.88,52.17,3,9.85,51.71,4,9.85,,6,9.88,52.01,2,9.83,51.60,2015-2016,ISU World Cup 2015/16 - Shanghai (CHN),1500m(1),m,Semifinals,1
2,9.89,1:01.78,1,10.19,1:01.71,7,10.00,1:02.17,3,10.08,1:01.79,4,10.00,,6,9.98,1:01.99,4,10.21,1:01.81,2015-2016,ISU World Cup 2015/16 - Shanghai (CHN),1500m(1),m,Semifinals,1
1,9.03,1:10.81,2,9.28,1:10.99,6,9.35,1:11.52,3,9.32,1:11.11,4,9.43,,5,9.37,1:11.36,7,9.85,1:11.66,2015-2016,ISU World Cup 2015/16 - Shanghai (CHN),1500m(1),m,Semifinals,1
1,9.44,1:20.25,2,9.36,1:20.35,6,9.27,1:20.79,3,9.35,1:20.46,4,9.31,,5,9.32,1:20.68,7,9.29,1:20.95,2015-2016,ISU World Cup 2015/16 - Shanghai (CHN),1500m(1),m,Semifinals,1
1,9.55,1:29.80,2,9.55,1:29.90,6,9.60,1:30.39,3,9.57,1:30.03,4,9.58,,5,9.57,1:30.25,7,9.55,1:30.50,2015-2016,ISU World Cup 2015/16 - Shanghai (CHN),1500m(1),m,Semifinals,1
1,9.41,1:39.21,2,9.44,1:39.34,6,9.46,1:39.85,3,9.44,1:39.47,4,9.42,,5,9.54,1:39.79,7,9.47,1:39.97,2015-2016,ISU World Cup 2015/16 - Shanghai (CHN),1500m(1),m,Semifinals,1
1,9.14,1:48.35,2,9.13,1:48.47,6,9.20,1:49.05,3,9.10,1:48.57,4,9.12,,5,9.14,1:48.93,7,9.18,1:49.15,2015-2016,ISU World Cup 2015/16 - Shanghai (CHN),1500m(1),m,Semifinals,1
1,8.89,1:57.24,3,8.90,1:57.37,7,9.42,1:58.47,2,8.78,1:57.35,4,8.87,,5,9.09,1:58.02,6,9.16,1:58.31,2015-2016,ISU World Cup 2015/16 - Shanghai (CHN),1500m(1),m,Semifinals,1
1,8.96,2:06.20,4,9.08,2:06.45,6,9.34,2:07.81,2,8.96,2:06.31,3,8.90,,5,9.40,2:07.42,7,9.76,2:08.07,2015-2016,ISU World Cup 2015/16 - Shanghai (CHN),1500m(1),m,Semifinals,1
1,8.99,2:15.174,2,9.54,2:15.969,3,9.31,2:17.107,6,25.44,2:31.662,2,8.88,,4,9.86,2:17.259,5,10.30,2:18.347,2015-2016,ISU World Cup 2015/16 - Shanghai (CHN),1500m(1),m,Semifinals,1
