START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
4,12.45,12.45,1,11.93,11.93,5,12.65,12.65,3,12.26,12.26,2,12.10,12.10,6,12.85,12.85,2014-2015,ISU World Cup 2014/15 - Erzurum (TUR),1500m,w,RepHeats,2
4,16.13,28.58,1,16.19,28.12,5,16.07,28.72,3,16.16,28.42,2,16.19,28.29,6,16.09,28.94,2014-2015,ISU World Cup 2014/15 - Erzurum (TUR),1500m,w,RepHeats,2
4,14.19,42.77,1,14.18,42.30,5,14.18,42.90,3,14.14,42.56,2,14.14,42.43,6,14.16,43.10,2014-2015,ISU World Cup 2014/15 - Erzurum (TUR),1500m,w,RepHeats,2
4,13.47,56.24,1,13.55,55.85,5,13.46,56.36,3,13.51,56.07,2,13.53,55.96,6,13.42,56.52,2014-2015,ISU World Cup 2014/15 - Erzurum (TUR),1500m,w,RepHeats,2
4,13.56,1:09.80,1,13.55,1:09.40,5,13.55,1:09.91,3,13.51,1:09.58,2,13.55,1:09.51,6,13.54,1:10.06,2014-2015,ISU World Cup 2014/15 - Erzurum (TUR),1500m,w,RepHeats,2
2,13.20,1:23.00,1,13.51,1:22.91,5,13.29,1:23.20,4,13.53,1:23.11,3,13.51,1:23.02,6,13.32,1:23.38,2014-2015,ISU World Cup 2014/15 - Erzurum (TUR),1500m,w,RepHeats,2
1,12.13,1:35.13,2,12.32,1:35.23,6,12.32,1:35.52,4,12.22,1:35.33,3,12.24,1:35.26,5,11.98,1:35.36,2014-2015,ISU World Cup 2014/15 - Erzurum (TUR),1500m,w,RepHeats,2
2,10.21,1:45.34,5,10.67,1:45.90,6,10.59,1:46.11,4,10.18,1:45.51,3,10.17,1:45.43,1,9.76,1:45.12,2014-2015,ISU World Cup 2014/15 - Erzurum (TUR),1500m,w,RepHeats,2
2,10.08,1:55.42,5,9.78,1:55.68,6,9.65,1:55.76,4,10.08,1:55.59,3,10.01,1:55.44,1,10.22,1:55.34,2014-2015,ISU World Cup 2014/15 - Erzurum (TUR),1500m,w,RepHeats,2
2,10.41,2:05.83,5,10.50,2:06.18,6,10.55,2:06.31,4,10.50,2:06.09,3,10.48,2:05.92,1,10.37,2:05.71,2014-2015,ISU World Cup 2014/15 - Erzurum (TUR),1500m,w,RepHeats,2
1,10.19,2:16.02,3,10.02,2:16.20,4,10.01,2:16.32,2,9.98,2:16.07,5,10.49,2:16.41,6,22.39,2:28.10,2014-2015,ISU World Cup 2014/15 - Erzurum (TUR),1500m,w,RepHeats,2
1,9.57,2:25.59,3,9.96,2:26.16,2,9.76,2:26.08,4,10.22,2:26.29,5,9.93,2:26.34,6,12.80,2:40.90,2014-2015,ISU World Cup 2014/15 - Erzurum (TUR),1500m,w,RepHeats,2
1,9.72,2:35.31,2,9.65,2:35.81,3,9.89,2:35.97,5,10.18,2:36.47,4,9.70,2:36.04,6,11.34,2:52.24,2014-2015,ISU World Cup 2014/15 - Erzurum (TUR),1500m,w,RepHeats,2
6,43.82,3:19.129,1,9.74,2:45.545,3,10.19,2:46.156,4,10.49,2:46.956,2,9.78,2:45.819,5,11.11,3:03.348,2014-2015,ISU World Cup 2014/15 - Erzurum (TUR),1500m,w,RepHeats,2
