START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
1,9.12,9.12,4,9.42,9.42,2,9.22,9.22,6,9.47,9.47,5,9.44,9.44,3,9.33,9.33,2008-2009,"2009 ISU World Championships, Austria",1500M,w,Quarterfinals,8
3,12.12,21.25,4,12.13,21.56,2,12.01,21.24,5,12.09,21.56,1,11.42,20.87,6,12.37,21.71,2008-2009,"2009 ISU World Championships, Austria",1500M,w,Quarterfinals,8
3,10.82,32.08,6,10.77,32.34,2,10.78,32.02,5,10.76,32.33,1,11.00,31.87,4,10.58,32.30,2008-2009,"2009 ISU World Championships, Austria",1500M,w,Quarterfinals,8
2,11.03,43.12,4,11.06,43.40,3,11.11,43.13,5,11.11,43.45,1,11.13,43.01,6,11.21,43.51,2008-2009,"2009 ISU World Championships, Austria",1500M,w,Quarterfinals,8
3,11.06,54.18,4,10.98,54.38,2,10.96,54.10,5,10.96,54.41,1,10.93,53.94,6,11.10,54.62,2008-2009,"2009 ISU World Championships, Austria",1500M,w,Quarterfinals,8
2,10.77,1:04.96,4,10.78,1:05.17,3,10.86,1:04.97,5,10.83,1:05.25,1,10.84,1:04.79,6,10.77,1:05.39,2008-2009,"2009 ISU World Championships, Austria",1500M,w,Quarterfinals,8
1,10.59,1:15.55,4,10.82,1:15.99,3,10.66,1:15.63,5,10.77,1:16.02,2,10.78,1:15.58,6,10.86,1:16.25,2008-2009,"2009 ISU World Championships, Austria",1500M,w,Quarterfinals,8
3,11.02,1:26.57,4,10.72,1:26.72,1,10.71,1:26.34,5,10.75,1:26.78,2,10.82,1:26.40,6,10.54,1:26.79,2008-2009,"2009 ISU World Championships, Austria",1500M,w,Quarterfinals,8
5,10.59,1:37.16,4,10.27,1:37.00,2,10.26,1:36.60,1,9.74,1:36.52,3,10.60,1:37.00,6,10.80,1:37.60,2008-2009,"2009 ISU World Championships, Austria",1500M,w,Quarterfinals,8
5,9.92,1:47.09,4,9.87,1:46.87,2,9.98,1:46.59,1,9.89,1:46.41,6,10.26,1:47.26,3,9.14,1:46.75,2008-2009,"2009 ISU World Championships, Austria",1500M,w,Quarterfinals,8
5,10.09,1:57.18,3,9.96,1:56.84,2,9.95,1:56.54,1,10.11,1:56.53,6,10.79,1:58.06,4,10.13,1:56.88,2008-2009,"2009 ISU World Championships, Austria",1500M,w,Quarterfinals,8
5,9.67,2:06.86,4,9.96,2:06.81,1,9.78,2:06.33,2,9.80,2:06.33,6,11.09,2:09.16,3,9.85,2:06.73,2008-2009,"2009 ISU World Championships, Austria",1500M,w,Quarterfinals,8
5,11.19,2:18.05,4,10.46,2:17.27,2,10.06,2:16.39,1,9.87,2:16.21,6,11.98,2:21.14,3,10.30,2:17.04,2008-2009,"2009 ISU World Championships, Austria",1500M,w,Quarterfinals,8
4,10.83,2:28.879,3,10.65,2:27.915,2,10.45,2:26.837,1,10.18,2:26.381,5,12.43,2:33.568,0,,DQ,2008-2009,"2009 ISU World Championships, Austria",1500M,w,Quarterfinals,8
