START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
3,8.92,8.92,1,8.84,8.84,5,9.08,9.08,4,8.93,8.93,6,9.18,9.18,2,8.90,8.90,2010-2011,"ISU World Cup 2010/2011, CAN, Montreal",1500m(1),w,Heats,1
3,12.69,21.61,2,12.55,21.39,6,12.92,22.00,4,12.79,21.72,1,12.06,21.24,5,12.96,21.86,2010-2011,"ISU World Cup 2010/2011, CAN, Montreal",1500m(1),w,Heats,1
4,11.44,33.05,2,11.51,32.90,6,11.29,33.29,3,11.24,32.96,1,11.58,32.82,5,11.32,33.18,2010-2011,"ISU World Cup 2010/2011, CAN, Montreal",1500m(1),w,Heats,1
4,11.09,44.14,3,11.09,43.99,6,11.08,44.37,1,10.86,43.82,2,11.06,43.88,5,11.10,44.28,2010-2011,"ISU World Cup 2010/2011, CAN, Montreal",1500m(1),w,Heats,1
1,10.71,54.85,2,11.00,54.99,4,10.69,55.06,5,11.31,55.13,3,11.14,55.02,6,10.87,55.15,2010-2011,"ISU World Cup 2010/2011, CAN, Montreal",1500m(1),w,Heats,1
2,10.39,1:05.24,3,10.35,1:05.34,1,10.08,1:05.14,6,10.57,1:05.70,4,10.46,1:05.48,5,10.45,1:05.60,2010-2011,"ISU World Cup 2010/2011, CAN, Montreal",1500m(1),w,Heats,1
2,10.66,1:15.90,3,10.69,1:16.03,1,10.66,1:15.80,5,10.53,1:16.23,6,10.85,1:16.33,4,10.52,1:16.12,2010-2011,"ISU World Cup 2010/2011, CAN, Montreal",1500m(1),w,Heats,1
4,11.06,1:26.96,2,10.72,1:26.75,1,10.92,1:26.72,5,10.82,1:27.05,6,10.85,1:27.18,3,10.69,1:26.81,2010-2011,"ISU World Cup 2010/2011, CAN, Montreal",1500m(1),w,Heats,1
4,10.16,1:37.12,1,10.01,1:36.76,2,10.15,1:36.87,5,10.16,1:37.21,6,10.33,1:37.51,3,10.15,1:36.96,2010-2011,"ISU World Cup 2010/2011, CAN, Montreal",1500m(1),w,Heats,1
2,10.03,1:47.15,1,10.28,1:47.04,3,10.38,1:47.25,5,10.12,1:47.33,6,10.13,1:47.64,4,10.35,1:47.31,2010-2011,"ISU World Cup 2010/2011, CAN, Montreal",1500m(1),w,Heats,1
2,10.12,1:57.27,1,10.10,1:57.14,3,10.12,1:57.37,5,10.52,1:57.85,6,10.34,1:57.98,4,10.16,1:57.47,2010-2011,"ISU World Cup 2010/2011, CAN, Montreal",1500m(1),w,Heats,1
2,9.97,2:07.24,1,10.00,2:07.14,4,10.16,2:07.53,5,10.38,2:08.23,6,10.38,2:08.36,3,9.90,2:07.37,2010-2011,"ISU World Cup 2010/2011, CAN, Montreal",1500m(1),w,Heats,1
2,10.13,2:17.37,1,10.10,2:17.24,4,10.28,2:17.81,5,10.63,2:18.86,6,10.50,2:18.86,3,10.01,2:17.38,2010-2011,"ISU World Cup 2010/2011, CAN, Montreal",1500m(1),w,Heats,1
3,10.68,2:28.041,1,10.32,2:27.552,4,10.89,2:28.698,6,11.38,2:30.234,5,10.89,2:29.743,2,10.27,2:27.648,2010-2011,"ISU World Cup 2010/2011, CAN, Montreal",1500m(1),w,Heats,1
