START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
6,12.48,12.48,1,11.82,11.82,2,11.93,11.93,4,12.23,12.23,3,12.05,12.05,5,12.40,12.40,2018-2019,ISU World Cup 2018/19 - Salt Lake City (USA),1500m,m,Rep.Quarterfinals,2
6,15.30,27.78,3,15.44,27.26,2,15.17,27.10,5,15.35,27.58,4,15.43,27.48,1,14.64,27.04,2018-2019,ISU World Cup 2018/19 - Salt Lake City (USA),1500m,m,Rep.Quarterfinals,2
6,11.91,39.69,3,12.26,39.52,2,12.41,39.51,5,12.02,39.60,4,12.10,39.58,1,12.31,39.35,2018-2019,ISU World Cup 2018/19 - Salt Lake City (USA),1500m,m,Rep.Quarterfinals,2
3,10.63,50.32,2,10.67,50.19,4,10.87,50.38,5,10.89,50.49,6,11.16,50.74,1,10.82,50.17,2018-2019,ISU World Cup 2018/19 - Salt Lake City (USA),1500m,m,Rep.Quarterfinals,2
3,10.28,1:00.60,2,10.30,1:00.49,4,10.31,1:00.69,5,10.28,1:00.77,6,10.14,1:00.88,1,10.18,1:00.35,2018-2019,ISU World Cup 2018/19 - Salt Lake City (USA),1500m,m,Rep.Quarterfinals,2
3,10.30,1:10.90,2,10.32,1:10.81,4,10.32,1:11.01,5,10.31,1:11.08,5,10.20,1:11.08,1,10.37,1:10.72,2018-2019,ISU World Cup 2018/19 - Salt Lake City (USA),1500m,m,Rep.Quarterfinals,2
3,10.12,1:21.02,2,10.11,1:20.92,4,10.06,1:21.07,6,10.25,1:21.33,5,10.15,1:21.23,1,10.12,1:20.84,2018-2019,ISU World Cup 2018/19 - Salt Lake City (USA),1500m,m,Rep.Quarterfinals,2
2,9.34,1:30.36,3,9.51,1:30.43,4,9.46,1:30.53,5,9.35,1:30.68,6,9.48,1:30.71,1,9.41,1:30.25,2018-2019,ISU World Cup 2018/19 - Salt Lake City (USA),1500m,m,Rep.Quarterfinals,2
2,9.31,1:39.67,3,9.33,1:39.76,4,9.38,1:39.91,5,9.32,1:40.00,6,9.42,1:40.13,1,9.31,1:39.56,2018-2019,ISU World Cup 2018/19 - Salt Lake City (USA),1500m,m,Rep.Quarterfinals,2
2,9.15,1:48.82,3,9.15,1:48.91,4,9.09,1:49.00,5,9.20,1:49.20,6,9.14,1:49.27,1,9.17,1:48.73,2018-2019,ISU World Cup 2018/19 - Salt Lake City (USA),1500m,m,Rep.Quarterfinals,2
2,9.08,1:57.90,3,9.02,1:57.93,4,9.06,1:58.06,6,9.17,1:58.37,5,8.91,1:58.18,1,9.10,1:57.83,2018-2019,ISU World Cup 2018/19 - Salt Lake City (USA),1500m,m,Rep.Quarterfinals,2
4,9.14,2:07.04,3,9.04,2:06.97,2,8.83,2:06.89,6,9.20,2:07.57,5,8.92,2:07.10,1,8.96,2:06.79,2018-2019,ISU World Cup 2018/19 - Salt Lake City (USA),1500m,m,Rep.Quarterfinals,2
5,24.70,2:31.74,6,33.52,2:40.49,1,8.96,2:15.85,4,9.74,2:17.31,3,9.09,2:16.19,2,9.17,2:15.96,2018-2019,ISU World Cup 2018/19 - Salt Lake City (USA),1500m,m,Rep.Quarterfinals,2
5,15.49,2:47.231,6,14.74,2:55.232,1,9.18,2:25.03,4,10.99,2:28.306,0,9.26,2:25.45,0,9.46,2:25.42,2018-2019,ISU World Cup 2018/19 - Salt Lake City (USA),1500m,m,Rep.Quarterfinals,2
