START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,START_POS_7 POSITION,START_POS_7 LAP TIME,START_POS_7 ELAPSED TIME,season,competition,event,gender,round,race
1,8.74,8.74,2,8.91,8.91,5,9.40,9.40,3,9.05,9.05,6,9.51,9.51,4,9.22,9.22,7,9.66,9.66,2017-2018,Audi ISU World Cup 2017/18 - Budapest (HUN),1500m,m,Preliminaries,2
1,11.65,20.39,2,11.62,20.53,5,11.48,20.88,3,11.58,20.63,6,11.50,21.01,4,11.53,20.75,7,11.48,21.14,2017-2018,Audi ISU World Cup 2017/18 - Budapest (HUN),1500m,m,Preliminaries,2
1,11.17,31.56,2,11.15,31.68,5,11.12,32.00,3,11.13,31.76,6,11.13,32.14,4,11.12,31.87,7,11.11,32.25,2017-2018,Audi ISU World Cup 2017/18 - Budapest (HUN),1500m,m,Preliminaries,2
1,11.17,42.73,2,11.19,42.87,5,11.19,43.19,3,11.18,42.94,6,11.16,43.30,4,11.19,43.06,7,11.16,43.41,2017-2018,Audi ISU World Cup 2017/18 - Budapest (HUN),1500m,m,Preliminaries,2
2,10.61,53.34,4,10.58,53.45,3,10.16,53.35,5,10.73,53.67,6,10.40,53.70,1,10.21,53.27,7,10.49,53.90,2017-2018,Audi ISU World Cup 2017/18 - Budapest (HUN),1500m,m,Preliminaries,2
2,9.87,1:03.21,4,9.90,1:03.35,3,9.95,1:03.30,5,9.77,1:03.44,6,9.85,1:03.55,1,9.84,1:03.11,7,9.74,1:03.64,2017-2018,Audi ISU World Cup 2017/18 - Budapest (HUN),1500m,m,Preliminaries,2
1,10.01,1:13.22,4,10.15,1:13.50,3,10.11,1:13.41,5,10.08,1:13.52,6,10.15,1:13.70,2,10.13,1:13.24,7,10.23,1:13.87,2017-2018,Audi ISU World Cup 2017/18 - Budapest (HUN),1500m,m,Preliminaries,2
2,9.79,1:23.01,4,9.74,1:23.24,3,9.74,1:23.15,5,9.87,1:23.39,6,9.80,1:23.50,1,9.74,1:22.98,7,9.72,1:23.59,2017-2018,Audi ISU World Cup 2017/18 - Budapest (HUN),1500m,m,Preliminaries,2
2,9.50,1:32.51,4,9.46,1:32.70,3,9.46,1:32.61,6,9.62,1:33.01,5,9.48,1:32.98,1,9.44,1:32.42,7,9.60,1:33.19,2017-2018,Audi ISU World Cup 2017/18 - Budapest (HUN),1500m,m,Preliminaries,2
2,9.36,1:41.87,3,9.25,1:41.95,4,9.46,1:42.07,7,9.72,1:42.73,5,9.22,1:42.20,1,9.35,1:41.77,6,9.30,1:42.49,2017-2018,Audi ISU World Cup 2017/18 - Budapest (HUN),1500m,m,Preliminaries,2
2,9.26,1:51.13,3,9.26,1:51.21,4,9.30,1:51.37,7,9.93,1:52.66,5,9.25,1:51.45,1,9.29,1:51.06,6,9.53,1:52.02,2017-2018,Audi ISU World Cup 2017/18 - Budapest (HUN),1500m,m,Preliminaries,2
2,9.24,2:00.37,3,9.18,2:00.39,5,9.43,2:00.80,7,10.25,2:02.91,4,9.20,2:00.65,1,9.27,2:00.33,6,9.82,2:01.84,2017-2018,Audi ISU World Cup 2017/18 - Budapest (HUN),1500m,m,Preliminaries,2
3,9.57,2:09.94,2,9.35,2:09.74,5,9.64,2:10.44,7,10.50,2:13.41,4,9.52,2:10.17,1,9.29,2:09.62,6,10.18,2:12.02,2017-2018,Audi ISU World Cup 2017/18 - Budapest (HUN),1500m,m,Preliminaries,2
3,,2:19.120,1,9.25,2:18.981,5,9.94,2:20.358,7,10.89,2:24.282,4,9.71,2:19.865,2,,2:19.096,6,10.69,2:22.697,2017-2018,Audi ISU World Cup 2017/18 - Budapest (HUN),1500m,m,Preliminaries,2
