START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
6,10.22,10.22,5,10.18,10.18,4,10.15,10.15,1,9.90,9.90,2,10.05,,3,10.06,10.06,2019-2020,ISU World Junior Short Track Championships 2020 - Bormio (ITA),1500m,m,Quarterfinals,2
4,13.21,23.43,2,13.19,23.37,6,13.47,23.62,3,13.51,23.41,5,13.46,,1,13.22,23.28,2019-2020,ISU World Junior Short Track Championships 2020 - Bormio (ITA),1500m,m,Quarterfinals,2
1,11.00,34.43,3,11.31,34.68,5,11.40,35.02,4,11.59,35.00,6,11.60,,2,11.30,34.58,2019-2020,ISU World Junior Short Track Championships 2020 - Bormio (ITA),1500m,m,Quarterfinals,2
1,11.56,45.99,4,11.48,46.16,2,11.02,46.04,6,11.22,46.22,4,11.05,,3,11.50,46.08,2019-2020,ISU World Junior Short Track Championships 2020 - Bormio (ITA),1500m,m,Quarterfinals,2
5,11.58,57.57,5,11.41,57.57,1,11.19,57.23,3,11.12,57.34,4,11.26,,2,11.23,57.31,2019-2020,ISU World Junior Short Track Championships 2020 - Bormio (ITA),1500m,m,Quarterfinals,2
5,9.97,1:07.54,6,10.04,1:07.61,3,10.13,1:07.36,1,9.88,1:07.22,2,9.88,,4,10.11,1:07.42,2019-2020,ISU World Junior Short Track Championships 2020 - Bormio (ITA),1500m,m,Quarterfinals,2
6,9.93,1:17.47,5,9.85,1:17.46,1,9.66,1:17.02,2,9.97,1:17.19,3,9.97,,4,9.87,1:17.29,2019-2020,ISU World Junior Short Track Championships 2020 - Bormio (ITA),1500m,m,Quarterfinals,2
6,9.27,1:26.74,5,9.26,1:26.72,1,9.21,1:26.23,2,9.21,1:26.40,3,9.26,,4,9.35,1:26.64,2019-2020,ISU World Junior Short Track Championships 2020 - Bormio (ITA),1500m,m,Quarterfinals,2
6,9.25,1:35.99,5,9.11,1:35.83,1,9.09,1:35.32,2,9.09,1:35.49,3,9.08,,4,9.06,1:35.70,2019-2020,ISU World Junior Short Track Championships 2020 - Bormio (ITA),1500m,m,Quarterfinals,2
6,8.97,1:44.96,5,8.79,1:44.62,1,8.95,1:44.27,2,8.90,1:44.39,3,8.89,,4,8.83,1:44.53,2019-2020,ISU World Junior Short Track Championships 2020 - Bormio (ITA),1500m,m,Quarterfinals,2
6,9.03,1:53.99,3,8.77,1:53.39,2,8.82,1:53.09,1,8.69,1:53.08,5,9.31,,4,9.09,1:53.62,2019-2020,ISU World Junior Short Track Championships 2020 - Bormio (ITA),1500m,m,Quarterfinals,2
5,9.28,2:03.27,3,8.85,2:02.24,2,8.98,2:02.07,1,8.86,2:01.94,6,9.82,,4,9.23,2:02.85,2019-2020,ISU World Junior Short Track Championships 2020 - Bormio (ITA),1500m,m,Quarterfinals,2
5,9.57,2:12.84,3,8.92,2:11.16,2,8.90,2:10.97,1,8.93,2:10.87,6,10.76,,4,9.58,2:12.43,2019-2020,ISU World Junior Short Track Championships 2020 - Bormio (ITA),1500m,m,Quarterfinals,2
5,9.88,2:22.72,3,9.16,2:20.32,2,9.09,2:20.06,1,9.01,2:19.88,6,11.64,,4,10.19,2:22.62,2019-2020,ISU World Junior Short Track Championships 2020 - Bormio (ITA),1500m,m,Quarterfinals,2
