START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,season,competition,event,gender,round,race
1,12.14,12.14,2,12.32,12.32,3,12.39,12.39,4,12.56,12.56,2019-2020,ISU World Cup 2019/20 - Dordrecht (NED),2000mRelay,x,Semifinals,2
1,9.07,21.21,2,8.98,21.30,3,9.00,21.39,4,8.94,21.50,2019-2020,ISU World Cup 2019/20 - Dordrecht (NED),2000mRelay,x,Semifinals,2
1,8.96,30.17,3,8.98,30.28,2,8.88,30.27,4,9.02,30.52,2019-2020,ISU World Cup 2019/20 - Dordrecht (NED),2000mRelay,x,Semifinals,2
1,8.80,38.97,3,8.97,39.25,2,8.84,39.11,4,8.81,39.33,2019-2020,ISU World Cup 2019/20 - Dordrecht (NED),2000mRelay,x,Semifinals,2
1,8.97,47.94,3,8.83,48.08,2,8.89,48.00,4,8.84,48.17,2019-2020,ISU World Cup 2019/20 - Dordrecht (NED),2000mRelay,x,Semifinals,2
1,8.84,56.78,3,8.97,57.05,2,8.92,56.92,4,8.99,57.16,2019-2020,ISU World Cup 2019/20 - Dordrecht (NED),2000mRelay,x,Semifinals,2
1,8.56,1:05.34,3,8.51,1:05.56,2,8.53,1:05.45,4,8.49,1:05.65,2019-2020,ISU World Cup 2019/20 - Dordrecht (NED),2000mRelay,x,Semifinals,2
1,8.59,1:13.93,3,8.56,1:14.12,2,8.52,1:13.97,4,13.46,1:19.11,2019-2020,ISU World Cup 2019/20 - Dordrecht (NED),2000mRelay,x,Semifinals,2
1,8.49,1:22.42,3,8.54,1:22.66,2,8.55,1:22.52,4,10.48,1:29.59,2019-2020,ISU World Cup 2019/20 - Dordrecht (NED),2000mRelay,x,Semifinals,2
1,8.54,1:30.96,3,8.52,1:31.18,2,8.55,1:31.07,4,8.81,1:38.40,2019-2020,ISU World Cup 2019/20 - Dordrecht (NED),2000mRelay,x,Semifinals,2
1,8.74,1:39.70,3,9.00,1:40.18,2,8.73,1:39.80,4,9.12,1:47.52,2019-2020,ISU World Cup 2019/20 - Dordrecht (NED),2000mRelay,x,Semifinals,2
1,8.72,1:48.42,3,8.83,1:49.01,2,8.75,1:48.55,4,9.12,1:56.64,2019-2020,ISU World Cup 2019/20 - Dordrecht (NED),2000mRelay,x,Semifinals,2
1,8.96,1:57.38,3,8.94,1:57.95,2,9.02,1:57.57,4,9.92,2:06.56,2019-2020,ISU World Cup 2019/20 - Dordrecht (NED),2000mRelay,x,Semifinals,2
1,8.97,2:06.35,3,8.98,2:06.93,2,8.87,2:06.44,4,10.07,2:16.63,2019-2020,ISU World Cup 2019/20 - Dordrecht (NED),2000mRelay,x,Semifinals,2
1,8.87,2:15.22,3,8.71,2:15.64,2,8.89,2:15.33,4,9.57,2:26.20,2019-2020,ISU World Cup 2019/20 - Dordrecht (NED),2000mRelay,x,Semifinals,2
1,8.55,2:23.77,3,8.46,2:24.10,2,8.52,2:23.85,4,8.91,2:35.11,2019-2020,ISU World Cup 2019/20 - Dordrecht (NED),2000mRelay,x,Semifinals,2
1,8.67,2:32.44,3,8.49,2:32.59,2,8.63,2:32.48,4,8.85,2:43.96,2019-2020,ISU World Cup 2019/20 - Dordrecht (NED),2000mRelay,x,Semifinals,2
1,8.58,2:41.02,2,8.47,2:41.06,3,8.72,2:41.20,4,8.85,2:52.81,2019-2020,ISU World Cup 2019/20 - Dordrecht (NED),2000mRelay,x,Semifinals,2
