START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,season,competition,event,gender,round,race
1,10.32,10.32,2,10.47,10.47,3,10.67,10.67,5,11.00,11.00,4,10.81,10.81,2017-2018,Audi ISU World Cup 2017/18 - Seoul (KOR),1500m,m,Preliminaries,1
1,15.50,25.82,2,15.49,25.96,3,15.51,26.18,5,15.51,26.51,4,15.49,26.30,2017-2018,Audi ISU World Cup 2017/18 - Seoul (KOR),1500m,m,Preliminaries,1
1,14.01,39.83,2,13.97,39.93,3,13.90,40.08,5,13.86,40.37,4,13.91,40.21,2017-2018,Audi ISU World Cup 2017/18 - Seoul (KOR),1500m,m,Preliminaries,1
2,12.48,52.31,4,12.46,52.39,2,12.23,52.31,5,12.22,52.59,1,12.05,52.26,2017-2018,Audi ISU World Cup 2017/18 - Seoul (KOR),1500m,m,Preliminaries,1
3,10.92,1:03.23,4,10.92,1:03.31,2,10.79,1:03.10,5,10.89,1:03.48,1,10.72,1:02.98,2017-2018,Audi ISU World Cup 2017/18 - Seoul (KOR),1500m,m,Preliminaries,1
3,10.15,1:13.38,4,10.16,1:13.47,1,10.15,1:13.25,5,10.12,1:13.60,2,10.36,1:13.34,2017-2018,Audi ISU World Cup 2017/18 - Seoul (KOR),1500m,m,Preliminaries,1
4,10.13,1:23.51,1,9.62,1:23.09,2,10.08,1:23.33,5,10.07,1:23.67,3,10.13,1:23.47,2017-2018,Audi ISU World Cup 2017/18 - Seoul (KOR),1500m,m,Preliminaries,1
3,9.63,1:33.14,1,9.85,1:32.94,2,9.71,1:33.04,5,9.69,1:33.36,4,9.74,1:33.21,2017-2018,Audi ISU World Cup 2017/18 - Seoul (KOR),1500m,m,Preliminaries,1
3,9.87,1:43.01,1,9.83,1:42.77,2,9.85,1:42.89,5,9.85,1:43.21,4,9.88,1:43.09,2017-2018,Audi ISU World Cup 2017/18 - Seoul (KOR),1500m,m,Preliminaries,1
3,9.50,1:52.51,2,9.65,1:52.42,1,9.42,1:52.31,5,9.60,1:52.81,4,9.57,1:52.66,2017-2018,Audi ISU World Cup 2017/18 - Seoul (KOR),1500m,m,Preliminaries,1
3,9.13,2:01.64,2,9.13,2:01.55,1,9.16,2:01.47,5,9.49,2:02.30,4,9.36,2:02.02,2017-2018,Audi ISU World Cup 2017/18 - Seoul (KOR),1500m,m,Preliminaries,1
3,9.02,2:10.66,2,8.97,2:10.52,1,8.92,2:10.39,5,9.84,2:12.14,4,9.49,2:11.51,2017-2018,Audi ISU World Cup 2017/18 - Seoul (KOR),1500m,m,Preliminaries,1
3,8.78,2:19.44,2,8.71,2:19.23,1,8.69,2:19.08,5,10.19,2:22.33,4,9.82,2:21.33,2017-2018,Audi ISU World Cup 2017/18 - Seoul (KOR),1500m,m,Preliminaries,1
3,9.03,2:28.460,2,8.96,2:28.166,1,8.87,2:27.939,5,10.49,2:32.806,4,10.21,2:31.523,2017-2018,Audi ISU World Cup 2017/18 - Seoul (KOR),1500m,m,Preliminaries,1
