START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,season,competition,event,gender,round,race
2,10.65,10.65,1,10.50,10.50,3,10.80,10.80,4,11.02,11.02,5,11.20,11.20,2019-2020,ISU Four Continents Short Track Championships 2020 - Montreal (CAN),1500m,w,Semifinals,2
2,13.82,24.47,1,13.87,24.37,3,13.82,24.62,4,13.81,24.83,5,13.72,24.92,2019-2020,ISU Four Continents Short Track Championships 2020 - Montreal (CAN),1500m,w,Semifinals,2
1,12.73,37.20,2,12.97,37.34,3,12.92,37.54,4,12.91,37.74,5,12.94,37.86,2019-2020,ISU Four Continents Short Track Championships 2020 - Montreal (CAN),1500m,w,Semifinals,2
1,11.89,49.09,2,11.86,49.20,3,11.75,49.29,4,11.76,49.50,5,11.74,49.60,2019-2020,ISU Four Continents Short Track Championships 2020 - Montreal (CAN),1500m,w,Semifinals,2
1,11.99,1:01.08,2,12.00,1:01.20,3,12.01,1:01.30,4,11.98,1:01.48,5,11.96,1:01.56,2019-2020,ISU Four Continents Short Track Championships 2020 - Montreal (CAN),1500m,w,Semifinals,2
2,11.92,1:13.00,3,11.96,1:13.16,1,11.58,1:12.88,5,11.97,1:13.45,4,11.69,1:13.25,2019-2020,ISU Four Continents Short Track Championships 2020 - Montreal (CAN),1500m,w,Semifinals,2
2,11.79,1:24.79,3,11.76,1:24.92,1,11.80,1:24.68,5,11.70,1:25.15,4,11.73,1:24.98,2019-2020,ISU Four Continents Short Track Championships 2020 - Montreal (CAN),1500m,w,Semifinals,2
3,10.99,1:35.78,4,10.96,1:35.88,2,11.02,1:35.70,5,10.75,1:35.90,1,10.60,1:35.58,2019-2020,ISU Four Continents Short Track Championships 2020 - Montreal (CAN),1500m,w,Semifinals,2
5,9.94,1:45.72,4,9.75,1:45.63,3,9.76,1:45.46,2,9.48,1:45.38,1,9.75,1:45.33,2019-2020,ISU Four Continents Short Track Championships 2020 - Montreal (CAN),1500m,w,Semifinals,2
5,9.33,1:55.05,4,9.27,1:54.90,3,9.41,1:54.87,1,9.15,1:54.53,2,9.33,1:54.66,2019-2020,ISU Four Continents Short Track Championships 2020 - Montreal (CAN),1500m,w,Semifinals,2
3,9.28,2:04.33,4,9.60,2:04.50,5,9.80,2:04.67,1,9.39,2:03.92,1,9.26,2:03.92,2019-2020,ISU Four Continents Short Track Championships 2020 - Montreal (CAN),1500m,w,Semifinals,2
3,9.35,2:13.68,4,9.31,2:13.81,5,9.60,2:14.27,2,9.21,2:13.13,1,8.97,2:12.89,2019-2020,ISU Four Continents Short Track Championships 2020 - Montreal (CAN),1500m,w,Semifinals,2
4,9.42,2:23.10,3,9.20,2:23.01,5,9.81,2:24.08,2,9.11,2:22.24,1,9.16,2:22.05,2019-2020,ISU Four Continents Short Track Championships 2020 - Montreal (CAN),1500m,w,Semifinals,2
4,9.75,2:32.85,3,9.74,2:32.75,5,10.22,2:34.30,2,9.44,2:31.68,1,9.47,2:31.52,2019-2020,ISU Four Continents Short Track Championships 2020 - Montreal (CAN),1500m,w,Semifinals,2
