START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,season,competition,event,gender,round,race
3,9.91,9.91,4,9.97,9.97,5,10.06,10.06,1,9.81,9.81,2,9.88,9.88,2009-2010,"ISU World Cup 2009/2010, USA, Marquette",1500m,m,Preliminaries,13
3,12.87,22.78,5,13.18,23.15,4,12.74,22.80,2,12.78,22.59,1,12.64,22.52,2009-2010,"ISU World Cup 2009/2010, USA, Marquette",1500m,m,Preliminaries,13
3,12.35,35.13,5,12.29,35.44,4,12.44,35.24,2,12.43,35.02,1,12.39,34.91,2009-2010,"ISU World Cup 2009/2010, USA, Marquette",1500m,m,Preliminaries,13
3,12.26,47.39,5,12.09,47.53,4,12.22,47.46,2,12.24,47.26,1,12.22,47.13,2009-2010,"ISU World Cup 2009/2010, USA, Marquette",1500m,m,Preliminaries,13
4,12.11,59.50,5,12.43,59.96,3,12.03,59.49,2,12.06,59.32,1,12.16,59.29,2009-2010,"ISU World Cup 2009/2010, USA, Marquette",1500m,m,Preliminaries,13
1,11.51,1:11.01,5,11.58,1:11.54,4,11.60,1:11.09,3,11.74,1:11.06,2,11.75,1:11.04,2009-2010,"ISU World Cup 2009/2010, USA, Marquette",1500m,m,Preliminaries,13
4,10.77,1:21.78,5,10.46,1:22.00,2,10.48,1:21.57,3,10.54,1:21.60,1,10.53,1:21.57,2009-2010,"ISU World Cup 2009/2010, USA, Marquette",1500m,m,Preliminaries,13
2,9.44,1:31.22,5,21.16,1:43.16,4,9.76,1:31.33,1,9.39,1:30.99,3,9.69,1:31.26,2009-2010,"ISU World Cup 2009/2010, USA, Marquette",1500m,m,Preliminaries,13
3,9.41,1:40.63,5,20.52,2:03.68,1,9.21,1:40.54,2,9.59,1:40.58,4,9.44,1:40.70,2009-2010,"ISU World Cup 2009/2010, USA, Marquette",1500m,m,Preliminaries,13
3,9.52,1:50.15,5,15.55,2:19.23,1,9.55,1:50.09,2,9.53,1:50.11,4,9.66,1:50.36,2009-2010,"ISU World Cup 2009/2010, USA, Marquette",1500m,m,Preliminaries,13
4,9.35,1:59.50,5,13.19,2:32.42,2,9.21,1:59.30,1,9.01,1:59.12,3,9.04,1:59.40,2009-2010,"ISU World Cup 2009/2010, USA, Marquette",1500m,m,Preliminaries,13
4,9.48,2:08.98,5,13.12,2:45.54,2,9.04,2:08.34,1,9.01,2:08.13,3,9.07,2:08.47,2009-2010,"ISU World Cup 2009/2010, USA, Marquette",1500m,m,Preliminaries,13
4,9.56,2:18.54,5,12.54,2:58.08,2,9.06,2:17.40,1,9.15,2:17.28,3,9.01,2:17.48,2009-2010,"ISU World Cup 2009/2010, USA, Marquette",1500m,m,Preliminaries,13
4,10.50,2:29.038,5,13.45,3:11.527,2,9.34,2:26.737,1,9.27,2:26.541,3,9.26,2:26.737,2009-2010,"ISU World Cup 2009/2010, USA, Marquette",1500m,m,Preliminaries,13
