START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
4,9.34,9.34,0,,,1,8.49,8.49,5,9.64,9.64,3,9.12,9.12,2,8.93,8.93,2008-2009,"Samsung ISU World Cup 2008/2009, CAN, BC, Vancouver",1500m,m,Heats,8
3,12.32,21.67,0,,,2,13.06,21.55,5,12.35,22.00,4,12.72,21.84,1,12.47,21.41,2008-2009,"Samsung ISU World Cup 2008/2009, CAN, BC, Vancouver",1500m,m,Heats,8
4,11.67,33.34,3,0.00,33.25,1,11.37,32.93,6,11.54,33.55,5,11.67,33.51,2,11.58,32.99,2008-2009,"Samsung ISU World Cup 2008/2009, CAN, BC, Vancouver",1500m,m,Heats,8
4,11.56,44.91,2,11.56,44.81,3,11.89,44.82,6,11.61,45.16,5,11.57,45.09,1,11.64,44.63,2008-2009,"Samsung ISU World Cup 2008/2009, CAN, BC, Vancouver",1500m,m,Heats,8
4,11.55,56.47,3,11.51,56.33,2,11.23,56.05,6,11.50,56.66,5,11.46,56.55,1,11.34,55.98,2008-2009,"Samsung ISU World Cup 2008/2009, CAN, BC, Vancouver",1500m,m,Heats,8
5,10.32,1:06.79,4,10.44,1:06.77,1,10.37,1:06.43,6,10.40,1:07.07,3,10.10,1:06.65,2,10.49,1:06.47,2008-2009,"Samsung ISU World Cup 2008/2009, CAN, BC, Vancouver",1500m,m,Heats,8
5,9.88,1:16.68,2,9.70,1:16.47,1,9.76,1:16.20,6,9.67,1:16.74,4,9.83,1:16.48,3,10.00,1:16.47,2008-2009,"Samsung ISU World Cup 2008/2009, CAN, BC, Vancouver",1500m,m,Heats,8
5,9.86,1:26.55,3,9.97,1:26.45,1,9.82,1:26.03,6,9.94,1:26.69,2,9.70,1:26.19,4,10.05,1:26.52,2008-2009,"Samsung ISU World Cup 2008/2009, CAN, BC, Vancouver",1500m,m,Heats,8
5,9.58,1:36.13,3,9.53,1:35.98,2,9.83,1:35.86,4,9.38,1:36.08,1,9.46,1:35.65,6,9.70,1:36.23,2008-2009,"Samsung ISU World Cup 2008/2009, CAN, BC, Vancouver",1500m,m,Heats,8
4,9.63,1:45.76,3,9.37,1:45.36,6,19.65,1:55.51,2,8.94,1:45.02,1,8.99,1:44.64,5,9.94,1:46.18,2008-2009,"Samsung ISU World Cup 2008/2009, CAN, BC, Vancouver",1500m,m,Heats,8
4,9.60,1:55.37,3,9.33,1:54.69,6,15.79,2:11.30,2,9.21,1:54.24,1,9.30,1:53.95,5,9.29,1:55.47,2008-2009,"Samsung ISU World Cup 2008/2009, CAN, BC, Vancouver",1500m,m,Heats,8
5,10.18,2:05.56,3,9.64,2:04.34,6,11.85,2:23.16,2,9.16,2:03.40,1,9.43,2:03.38,4,9.76,2:05.24,2008-2009,"Samsung ISU World Cup 2008/2009, CAN, BC, Vancouver",1500m,m,Heats,8
5,10.42,2:15.98,3,9.90,2:14.24,6,12.04,2:35.20,1,9.22,2:12.63,2,9.53,2:12.91,4,9.92,2:15.16,2008-2009,"Samsung ISU World Cup 2008/2009, CAN, BC, Vancouver",1500m,m,Heats,8
4,10.97,2:26.941,0,,DQ,5,12.33,2:47.521,1,9.82,2:22.446,2,10.60,2:23.509,3,10.52,2:25.677,2008-2009,"Samsung ISU World Cup 2008/2009, CAN, BC, Vancouver",1500m,m,Heats,8
